"PLAN","SPECIES","130J","131J","132J","133J","134J","135J","136J","137J","138J","139J","140J","141J","142J","143J","144J","145J","146J","147J","148J","149J","150J","151J","152J","153J","154J","155J","156J","157J","158J","159J","160J","161J","162J","163J","164J","165J","166J","167J"
"palmO","calriv",1,1,-2,1,-2,-2,-2,-2,1,-2,-2,1,1,1,-2,1,-2,-2,-2,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2 
"grayO","canlup",2,2,2,2,2,-3,-3,-3,2,-3,-3,2,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,2,-3,2,2,-3,-3 
"eastR","canlup",2,2,2,2,-2,2,1,-2,2,1,-2,2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,2,-2,-2,-2,-1,2,2,2,-2,2,2,-2,-2 
"redwR","canruf",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"ashmO","cennam",1,1,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,1,-2,-2,-2,1,1,1,-2,1,-2,-2,-2,-2,-2,1,1,-2,-2 
"cuiuR","chacuj",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"pineO","chagar",-3,2,-2,-2,-2,-3,-3,-3,-3,-3,-2,1,2,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-2,-2,-2,-3,-3,2,-2 
"oahpO","charoc",1,-3,-2,-2,-2,-3,-3,-3,1,-3,-3,1,-3,-3,-3,1,0,-3,0,1,-2,-2,0,1,-2,0,0,0,1,-2,0,-2,-2,-2,1,-3,-3,-3 
"flogO","chrflo",-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2 
"nortO","cicdor",-2,-2,-2,-2,-2,1,1,-2,-3,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2 
"maskR","colvir",2,1,1,2,-3,2,2,-3,1,-3,1,1,-3,1,-3,0,2,1,2,2,2,2,2,2,2,1,2,2,1,1,-3,-3,0,-3,2,0,-3,-3 
"hawcO","corhaw",1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,1,1,-1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,1,1,-2,-2 
"amcrR","croacu",2,2,2,2,-3,2,2,2,2,-3,-3,2,-3,2,-3,2,-3,-3,2,-3,2,2,2,2,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,2,2,-3,-3 
"newmO","crowil",1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,1,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,0,-2,-2,-2,-2,1,1,1,1,1,-2,-2,-2 
"sccyO","cupabr",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"moloO","cyaman",1,0,-2,-2,-2,1,-2,-2,1,-2,0,0,1,0,0,0,-2,0,0,0,0,-2,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1 
"biplO","cyashi",-3,0,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,0,-2,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,1,-2,-2 
"fishR","cypfor",0,0,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,0,0,-2,-2 
"kauaO","cyrcya",-2,-2,-2,-2,-2,0,0,-2,2,-2,-2,2,2,0,-2,0,0,-2,0,0,0,0,0,0,-2,0,0,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2 
"biplO","cyrgif",0,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,1,1,0,-3,0,-3,-3,0,0,0,0,0,0,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,0,0,-2,-3 
"oahpO","cyrvir",0,-2,-2,-2,-2,1,-2,-2,1,-2,-2,1,-2,1,-2,-2,-2,-2,0,1,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0,1,-2,-2,1,1,-2,-2 
"kirtR","denkir",-1,-2,-2,-1,-1,-2,-1,-2,-1,-1,-2,-1,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2 
"flomO","dicchr",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tennR","echten",-2,2,-2,-2,-2,2,2,-2,2,-2,-2,2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,1,2 
"tarrR","ellste",1,1,1,1,-2,1,-2,-2,-2,-2,1,1,-2,1,-2,1,1,-2,1,1,1,-2,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"cavpO","eryari",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"antiR","erycap",-1,-1,-2,-2,-2,1,1,-2,0,0,-2,1,-2,1,-2,1,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1 
"flscR","erycun",1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2 
"seveO","erymen",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-1,-2,-2 
"threO","eryter",-1,0,-2,-2,-2,-1,-1,-1,0,-2,-2,0,0,0,-1,0,0,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,0,0,-1,-1 
"slacO","ethbos",2,2,-2,2,2,-1,-1,-2,2,-2,-2,1,-2,1,-2,2,-2,-2,2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,0,-2,-2,-2 
"edwaR","ethfon",-3,-2,-2,-2,-2,-3,-3,-2,-3,-2,-2,-3,-2,-3,-3,-3,-3,-2,-3,-3,-3,-2,-3,-3,-2,-3,-3,-3,-2,-2,-2,-3,-3,-2,-3,-3,-3,-2 
"wateR","ethnuc",2,1,-2,-2,-2,1,1,-2,-2,-2,1,1,-2,1,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"okalO","ethoka",1,1,-2,-2,-2,1,1,-2,1,-2,-2,1,1,-1,1,-2,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,1,1,1,-2,1,-2,1,-2 
"bayoR","ethrub",-3,-3,-2,-2,-2,-3,-3,-2,-2,-2,-2,-2,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",1,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",0,1,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2 
"edwaR","eurnan",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"pereO","falper",-2,-2,2,2,0,2,2,1,1,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,0,0,-2,-2,-2 
"ampeO","falper",-2,2,2,2,2,2,2,2,2,-2,-2,2,-2,2,2,2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,2,-2,-2 
"hawwR","fulame",1,1,1,1,1,1,1,-1,1,-1,-2,1,1,1,1,1,-1,-2,0,-2,1,-2,1,1,-2,-2,-2,-2,-2,-2,0,1,0,-2,1,-2,-2,-2 
