"PLAN","SPECIES","443WWW","444WWW","445WWW","446WWW","447WWW","448WWW","449WWW","450WWW","451WWW","452WWW","453WWW","454WWW","455WWW","456WWW","457WWW","458WWW"
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",1,1,1,1,1,1,-2,-2,0,0,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",-2,1,-2,-2,-2,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2 
"edwaR","eurnan",1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2 
"pereO","falper",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0 
"ampeO","falper",-2,-2,-2,-2,-2,-2,0,1,1,1,-2,0,-2,1,0,1 
"hawwR","fulame",1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,-2 
"lanaO","gahlan",0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,-2 
"hawwR","galchl",1,1,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",1,-2,-2,-2,-2,-2,0,1,1,1,-2,-2,-2,-2,-2,0 
"hawgO","garbri",1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"unarR","gasacu",-2,1,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2 
"maplO","gerarb",1,1,1,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"humpR","gilcyp",-2,1,-2,-2,-2,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"chihO","gilnig",-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,1,-2 
"fishR","gilpur",1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0 
"whooR","gruame",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"missR","grucan",1,-2,-2,-2,-2,-2,0,1,1,-2,0,-2,-2,1,-2,-2 
"cacoR","gymcal",1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0 
"gnomO","gymlin",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"todsO","hedtod",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0 
"moloO","hibarn",-2,1,1,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,1 
"kaupO","hibcla",1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0 
"kauaO","hibwoo",0,1,1,0,0,0,0,0,0,0,0,0,-2,0,0,0 
"hawwR","himmex",1,-2,-2,-2,-2,-2,-2,0,1,-2,-2,-2,-2,-2,0,-2 
"flscO","hypcum",-2,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,-2,1,-2 
"smalR","isomed",1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1 
"beacO","jacrec",-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","labcyr",-1,1,1,-1,1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1 
"pinkO","lamabr",0,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,0,-2 
"snakO","lanxsp",-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"caroO","lasdec",1,1,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2 
"praiO","leslep",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,-2 
"kaupO","lipfau",1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0 
"oahpO","loboah",1,1,1,0,0,0,-2,-2,-2,1,-2,-2,-2,1,-2,-2 
"flscR","lupari",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1 
"lotiO","lycarg",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1 
"roleO","lysasp",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0 
"apalO","macalb",-2,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2 
"mohrO","marmoh",1,1,1,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,1,1 
