"PLAN","SPECIES","405GGG","406GGG","407GGG","408GGG","409GGG","410GGG","411GGG","412GGG","413GGG","414GGG","415GGG","416GGG","417GGG","418GGG","419GGG","420GGG"
"seveO","erymen",20,20,20,20,20,20,20,20,20,20,-2,-2,-2,-2,21,-2 
"threO","eryter",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-2 
"slacO","ethbos",-2,-2,-1,-1,-2,-1,-2,-1,-1,-1,-2,-2,-2,-1,-1,-2 
"edwaR","ethfon",-1,-2,-2,-1,-2,-2,-1,-2,-2,-1,-2,-2,-1,-2,-2,-2 
"wateR","ethnuc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",10,10,10,10,10,10,10,10,10,-2,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",-2,-1,-2,-2,-2,10,-2,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"edwaR","eurnan",-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2 
"pereO","falper",6,-2,-2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,-2,-2 
"ampeO","falper",-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-1,-2,5,-1,-1 
"hawwR","fulame",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2 
"lanaO","gahlan",5,5,5,5,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","galchl",6,6,-2,6,6,6,6,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",-1,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1 
"hawgO","garbri",10,10,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,10,-2 
"unarR","gasacu",-2,5,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"maplO","gerarb",5,5,5,5,-2,-2,-2,-2,5,-2,-2,-2,-2,-2,-2,-2 
"humpR","gilcyp",-2,-1,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"chihO","gilnig",-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","gilpur",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"whooR","gruame",10,10,10,10,10,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"missR","grucan",10,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-2,-2,10,-2,-2 
"cacoR","gymcal",14,14,14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"gnomO","gymlin",-2,10,-2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"todsO","hedtod",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",5,5,5,-2,-2,-2,5,-2,5,-1,-2,-2,-2,-2,-2,-2 
"moloO","hibarn",-2,5,5,-2,-2,5,-2,-2,-2,5,-2,-2,-2,-2,-2,-1 
"kaupO","hibcla",5,5,5,5,5,5,-2,-2,-2,-2,5,-2,-2,5,-2,-2 
"kauaO","hibwoo",5,5,5,-1,-1,-1,-1,-1,-1,-1,5,-1,-2,-1,-1,-1 
"hawwR","himmex",3,-2,-2,-2,-2,-2,-2,3,-1,-2,-2,-2,-2,-2,-1,-2 
"flscO","hypcum",-2,-2,-2,-2,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"smalR","isomed",3,3,3,10,10,10,-1,-1,-1,999,-1,-2,-2,10,-1,-2 
"beacO","jacrec",-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","labcyr",-1,5,5,-1,-1,5,-1,-1,-1,5,-1,-1,-1,-1,-1,-1 
"pinkO","lamabr",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snakO","lanxsp",-2,-2,-2,5,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"caroO","lasdec",-2,-1,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2 
"praiO","leslep",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",-2,-1,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2 
"kaupO","lipfau",5,5,5,5,5,5,-2,-2,-2,-2,5,-2,-2,5,-2,-2 
"oahpO","loboah",5,5,5,-1,-1,-1,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,9999,-2,-2,-2,-2,-2,-2,-2,9999999 
"lotiO","lycarg",-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
