"PLAN","SPECIES","89B","90B","91B","92B","93B","94B","95B","96B","97B","98B","99B","100B","101B","102B","103B","104B","105B","106B","107B","108B","109B","110B","111B","112B","113B","114B","115B","116B","117B","118B","119B","120B","121B","122B","123B","124B","125B","126B"
"palmO","calriv",2,-2,-2,-2,-2,2,2,-2,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,2,-2,-2,-2 
"grayO","canlup",3,3,3,3,3,2,3,3,3,3,-2,3,-2,3,-2,3,-2,-2,-2,-2,3,3,3,3,-2,-2,-2,-2,-2,-2,3,2,2,2,3,-2,-2,-2 
"eastR","canlup",2,3,2,2,-2,2,2,2,3,2,-2,3,3,3,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,3,2,2,-2,-2 
"redwR","canruf",-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,4,-2,4,-2,4,4,-2,4,4,4,4,4,4,4,4,4,4,4,4,-2,-2,-2,-2,-2,3,-2,-2 
"ashmO","cennam",2,1,-2,-2,-2,-2,-2,2,3,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-1,-1,-2,-2,-2,-1,-1,-1,-2,7,-2,-2,-2,-2,-2,-1,-1,-2,-2 
"cuiuR","chacuj",3,3,2,3,-2,3,3,2,2,2,-2,3,-2,3,-2,3,-2,-2,3,2,3,3,3,2,-2,2,-2,-2,-2,-2,-2,3,-2,-2,2,-2,-2,-2 
"pineO","chagar",2,3,-2,-2,-2,2,2,6,3,2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"oahpO","charoc",2,1,-2,-2,-2,2,-2,2,2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"flogO","chrflo",2,2,-2,-2,-2,2,2,2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"nortO","cicdor",2,2,2,2,-2,2,2,2,2,-2,-2,3,-2,2,-2,-2,4,-2,-2,2,-2,-2,6,-2,-2,4,4,4,-2,-2,4,4,4,-2,4,-2,-2,-2 
"maskR","colvir",3,2,-2,-2,-2,2,-2,2,2,-2,-2,3,3,3,-2,3,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,3,3,-2,-2 
"hawcO","corhaw",2,2,2,2,-2,-2,-2,2,3,-2,-2,3,1,-2,-2,3,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,2,3,2,-2,2,2,-2,-2 
"amcrR","croacu",2,2,-2,2,-2,2,2,2,2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,2,3,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,2,-2,-2,2,2,-2,-2 
"newmO","crowil",2,3,-2,-2,-2,2,2,-2,1,1,-2,-2,-2,3,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,3,2,-2,3,-2,-2,-2 
"sccyO","cupabr",1,1,-2,-2,-2,2,1,-2,1,1,2,3,3,-2,-2,3,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"moloO","cyaman",2,2,-2,-2,-2,2,-2,1,1,-2,-2,2,3,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2 
"biplO","cyashi",2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
