"PLAN","SPECIES","443ABC","444ABC","445ABC","446ABC","447ABC","448ABC","449ABC","450ABC","451ABC","452ABC","453ABC","454ABC","455ABC","456ABC","457ABC","458ABC"
"seveO","erymen",12,12,12,12,12,12,-2,-2,-2,12,-2,-2,-2,-2,-1,-2 
"threO","eryter",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"slacO","ethbos",-2,-2,12,12,-2,12,-2,10,10,-2,-2,-2,-2,-2,-2,-2 
"edwaR","ethfon",-3,-2,-2,-3,-2,-2,-3,-2,-2,-3,-2,-2,-3,-2,-2,-2 
"wateR","ethnuc",12,-2,-2,12,-2,-2,12,12,12,12,-2,-2,-2,-2,11,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",-3,-3,-3,-3,-3,-3,-2,-2,-3,-3,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","eurnan",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"pereO","falper",1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"ampeO","falper",-2,-2,-2,-2,-2,-2,-2,12,12,12,-2,-2,-2,12,-2,12 
"hawwR","fulame",1,-2,-2,1,-2,-2,12,12,12,12,-2,-2,-2,12,12,-2 
"lanaO","gahlan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2 
"hawwR","galchl",12,12,-2,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",-1,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2 
"hawgO","garbri",12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,8,-2 
"unarR","gasacu",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"maplO","gerarb",12,12,12,12,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"humpR","gilcyp",-2,12,-2,-2,-2,12,-2,-2,12,12,-2,-2,-2,-2,-2,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3 
"chihO","gilnig",-2,-3,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-3,-2 
"fishR","gilpur",-3,-3,-2,-2,-3,-2,-3,-3,-3,-2,-2,-2,-2,-3,-2,-2 
"whooR","gruame",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"missR","grucan",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2 
"cacoR","gymcal",12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,8,-3,-2 
"gnomO","gymlin",-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2 
"todsO","hedtod",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",-2,-2,-2,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"moloO","hibarn",-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,12 
"kaupO","hibcla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","hibwoo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","himmex",12,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2 
"flscO","hypcum",-2,-2,-2,-2,1,1,1,12,12,-2,-2,-2,-2,-2,12,-2 
"smalR","isomed",12,12,12,12,12,12,12,12,12,12,12,-2,-2,12,12,-2 
"beacO","jacrec",-2,12,-2,2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","labcyr",-1,2,2,-1,2,2,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1 
"pinkO","lamabr",-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2 
"snakO","lanxsp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"caroO","lasdec",1,1,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2 
"praiO","leslep",-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",12,12,12,12,-2,-2,12,-2,12,-2,-2,-2,-2,-2,12,-2 
"kaupO","lipfau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","loboah",12,12,12,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,12,-2,-2 
