"PLAN","SPECIES","347SS","348SS","349SS","350SS","351SS","352SS","353SS","354SS","355SS","356SS","357SS","358SS","359SS","360SS","361SS","362SS","363SS","364SS","365SS","366SS","367SS","368SS","369SS","370SS"
"soccO","thethe",-2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"prfeO","theyau",-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2 
"westR","triman",-2,-1,1,-2,1,-2,1,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2 
"bariO","tritri",-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"grizR","ursarc",3,3,3,3,3,3,3,3,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,3,-2 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"cachO","xanriv",1,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2 
"flscR","zizcel",1,-2,1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"edwaR","ziztex",1,1,1,1,1,2,1,1,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,2,2,1,1,-2 
