"PLAN","SPECIES","405EEE","406EEE","407EEE","408EEE","409EEE","410EEE","411EEE","412EEE","413EEE","414EEE","415EEE","416EEE","417EEE","418EEE","419EEE","420EEE"
"fishR","cypfor",-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-1,-2 
"kauaO","cyrcya",1,1,1,3,1,3,-1,-1,-1,3,3,-1,-2,3,-2,-2 
"biplO","cyrgif",-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",1,-2,-2,1,-2,-2,1,-2,-2,3,-2,-2,-2,-2,5,-2 
"kirtR","denkir",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flomO","dicchr",3,-2,-2,-2,-2,-2,-2,3,3,3,-2,-2,-2,-2,3,-2 
"tennR","echten",3,3,3,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2 
"tarrR","ellste",-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1 
"cavpO","eryari",-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","erycap",-2,-2,-2,3,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",-2,6,-2,-2,-2,-2,-2,6,-2,-2,-2,-2,-2,-2,6,-2 
"seveO","erymen",3,1,3,3,1,3,-2,6,6,6,-2,-2,-2,-2,5,-2 
"threO","eryter",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-2 
"slacO","ethbos",-2,-2,1,1,-2,1,-2,3,3,5,-2,-2,-2,6,5,-2 
"edwaR","ethfon",1,-2,-2,3,-2,-2,1,-2,-2,1,-2,-2,1,-2,-2,-2 
"wateR","ethnuc",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",1,1,1,1,1,1,2,2,2,-2,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",-2,3,-2,-2,-2,3,-2,6,-1,-2,-2,-2,-2,-2,6,-2 
"edwaR","eurnan",1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2 
"pereO","falper",1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"ampeO","falper",-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-1,-2,-1,5,1 
"hawwR","fulame",1,1,1,1,1,1,1,1,1,1,-1,1,5,1,5,-2 
"lanaO","gahlan",1,1,1,1,1,1,-1,-1,-1,-1,-1,-2,-2,-2,-1,-2 
"hawwR","galchl",1,1,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",-1,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1 
"hawgO","garbri",1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"unarR","gasacu",-2,1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"maplO","gerarb",1,1,1,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2 
"humpR","gilcyp",-2,-2,-2,-2,-2,3,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"chihO","gilnig",-2,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,6,-2 
"fishR","gilpur",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"whooR","gruame",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"missR","grucan",-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-2,-2,-1,-2,-2 
"cacoR","gymcal",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"gnomO","gymlin",-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,-2 
"todsO","hedtod",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",1,1,1,-2,-2,-2,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"moloO","hibarn",-2,1,3,-2,-2,3,-2,-2,-2,6,-2,-2,-2,-2,-2,6 
"kaupO","hibcla",1,1,1,1,1,1,-2,-2,-2,5,1,-2,-2,1,-2,-2 
"kauaO","hibwoo",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-2 
"hawwR","himmex",1,-2,-2,-2,-2,-2,-2,6,-1,-2,-2,-2,-2,-2,-1,-2 
"flscO","hypcum",-2,-2,-2,-2,1,1,1,5,1,-2,-2,-2,-2,-2,5,-2 
