"PLAN","SPECIES","347XX","348XX","349XX","350XX","351XX","352XX","353XX","354XX","355XX","356XX","357XX","358XX","359XX","360XX","361XX","362XX","363XX","364XX","365XX","366XX","367XX","368XX","369XX","370XX"
"newmO","crowil",-2,12,12,12,12,12,3,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"sccyO","cupabr",-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-3,-3,-2,-3,-2,-3,-2,-2 
"moloO","cyaman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"biplO","cyashi",-2,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",1,1,1,1,-2,1,1,1,1,1,-2,-2,-2,1,1,1,1,1,-2,1,1,1,1,-2 
"kauaO","cyrcya",3,3,3,3,-2,2,12,12,3,2,-2,12,12,-2,3,12,-2,12,-2,-2,-2,-2,-2,-2 
"biplO","cyrgif",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",-2,2,2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2 
"kirtR","denkir",-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-1,-2 
"flomO","dicchr",-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-3,-2,-2 
"tennR","echten",-2,3,3,3,3,3,-2,-2,-2,-2,-2,3,3,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2 
"tarrR","ellste",12,12,-2,-2,-2,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cavpO","eryari",-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2 
"antiR","erycap",-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",12,1,-2,12,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2 
"seveO","erymen",-2,12,12,12,12,12,-1,-1,-1,-2,-2,-2,-2,-2,-2,12,-1,12,-2,-1,-2,-2,-2,-2 
"threO","eryter",3,3,3,3,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1 
"slacO","ethbos",10,1,1,-2,-2,1,10,10,10,-2,10,10,-2,10,-2,-1,-2,-2,-2,10,10,10,10,-2 
"edwaR","ethfon",-3,-3,-3,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2,-3,-2,-3,-3,-3,-3,-2 
"wateR","ethnuc",-2,-2,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,12,12,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-3,-3,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2 
"elseO","eupbat",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","eurnan",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"pereO","falper",1,1,-2,-2,-2,1,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"ampeO","falper",12,12,12,-2,-2,-2,-1,-1,-2,-2,12,-2,12,-1,-1,-2,-1,-2,-2,12,-2,12,-2,12 
"hawwR","fulame",1,1,1,1,1,1,1,-1,-1,-1,1,-1,-2,1,1,1,1,1,-2,1,1,1,1,-2 
"lanaO","gahlan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","galchl",-3,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-3,-2,-2 
"edwaR","gamgeo",-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-1,-2 
"hawgO","garbri",-2,12,-2,-2,-2,-2,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"unarR","gasacu",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"maplO","gerarb",-2,12,12,12,12,-2,12,-2,12,-2,-2,-2,-2,-2,2,2,-1,2,-2,12,12,12,12,-2 
"humpR","gilcyp",-2,12,12,12,12,-2,12,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12 
"chihO","gilnig",-2,-3,-3,-2,-2,-2,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-3,-3,-2 
"fishR","gilpur",-2,-2,-3,-3,-2,-2,-2,-2,-2,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-3,-2,-3,-2,-2 
"whooR","gruame",-2,-2,-2,-2,-2,-2,-2,-2,-2,12,1,-2,-2,12,-2,-2,12,-2,-2,-2,12,-2,12,-2 
"missR","grucan",1,1,1,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
