"PLAN","SPECIES","130K","131K","132K","133K","134K","135K","136K","137K","138K","139K","140K","141K","142K","143K","144K","145K","146K","147K","148K","149K","150K","151K","152K","153K","154K","155K","156K","157K","158K","159K","160K","161K","162K","163K","164K","165K","166K","167K"
"kaupO","briins",12,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,12,-2,12,-2,-2,12,-2,12,12,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"palmO","calriv",1,1,-2,1,-2,-2,-2,-2,1,-2,-2,1,1,1,-2,1,-2,-2,-2,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2 
"grayO","canlup",12,12,12,12,12,-3,-3,-3,12,-3,-3,12,-3,12,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,12,-3,12,-3,12,12,-3,-3 
"eastR","canlup",12,12,12,12,-2,12,12,-2,12,12,-2,12,12,12,-2,-2,-2,-2,12,12,12,12,-2,-2,-2,12,-2,-2,-2,-1,12,12,12,-2,12,12,-2,-2 
"redwR","canruf",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2 
"ashmO","cennam",12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,-2 
"cuiuR","chacuj",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"pineO","chagar",-3,12,-2,-2,-2,-3,-3,-3,-3,-3,-2,12,12,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-2,-2,-2,-3,-3,12,-2 
"oahpO","charoc",12,-3,-2,-2,-2,-3,-3,-3,12,-3,-3,12,-3,-3,-3,10,-2,-3,-2,10,-2,-2,-2,10,-2,-2,-2,-2,10,-2,-2,-2,-2,-2,10,-3,-3,-3 
"flogO","chrflo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2 
"nortO","cicdor",-2,-2,-2,-2,-2,12,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2 
"maskR","colvir",12,12,12,12,-3,12,12,-3,12,-3,12,12,-3,12,-3,-2,12,12,12,12,12,12,12,12,12,12,12,12,12,1,-3,-3,-2,-3,12,-2,-3,-3 
"hawcO","corhaw",1,12,-2,-2,-2,-2,-2,-2,12,-2,-2,12,-2,12,12,-1,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,1,-2,12,12,-2,-2 
"amcrR","croacu",12,12,12,12,-3,12,12,12,2,-3,-3,12,-3,12,-3,12,-3,-3,12,-3,12,2,12,12,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,12,12,-3,-3 
"newmO","crowil",3,12,-2,-2,-2,-2,-2,-2,12,-2,-2,12,12,12,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,3,3,-2,-2,-2 
