"PLAN","SPECIES","130K","131K","132K","133K","134K","135K","136K","137K","138K","139K","140K","141K","142K","143K","144K","145K","146K","147K","148K","149K","150K","151K","152K","153K","154K","155K","156K","157K","158K","159K","160K","161K","162K","163K","164K","165K","166K","167K"
"oahpO","melsai",8,8,-2,-2,-2,8,8,-2,8,-2,-2,8,8,8,8,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"armaO","miccal",12,12,-2,-2,-2,-2,2,-2,2,-2,-2,12,-2,12,12,12,-2,-2,-2,-2,-2,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2 
"hualO","micmex",12,-2,-2,-2,-2,-1,-2,-2,12,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"blacR","musnig",-2,-3,-3,-3,-2,-3,-2,-2,-2,-2,-2,-3,-3,-2,-2,-3,-3,-2,-2,-2,-3,-3,-3,-3,-2,-2,-3,-2,-3,-2,-2,-3,-3,-3,-3,-3,-2,-2 
"kaufO","myapal",-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,-2 
"woodO","mycame",-1,-2,-1,-1,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-1 
"indiR","myosod",12,12,12,12,-2,12,-2,-2,12,-2,-2,-2,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2 
"oahpO","nothum",-2,12,-2,-2,-2,-2,-2,-2,12,-2,-2,12,12,12,-2,-2,-2,-2,-2,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,-2 
"capeO","notmek",12,12,-2,-2,-2,12,12,-2,12,-2,-2,-2,12,12,-2,12,-2,-2,12,12,12,12,12,12,-2,-2,12,-2,-2,-2,-2,-2,12,-2,12,12,-2,12 
"neosO","notpla",2,-2,-2,12,-2,-2,12,-2,-2,-2,-2,10,12,12,-2,12,-2,-2,-2,-2,12,-2,-2,-2,12,-2,-2,-2,-2,-2,10,2,-2,-2,-2,-2,-2,12 
"ringO","oboret",12,12,-2,-2,-2,12,12,-2,12,-2,-2,12,12,12,-2,12,-1,-2,12,12,-2,12,12,12,-2,12,-2,-2,-2,-2,12,12,-2,-2,12,12,-2,-2 
"keydR","odvicl",-2,-2,-2,-2,-2,1,2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,1,-2,-2,-2 
"coluR","odvile",-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,12,12,12,-2,12,-2,-2,-2,-2,12,-2,12,-2,-2,-2,-2,-2,-2,12,-2,10,12,-2,3,-2,-2,-2 
"antiR","oendel",-1,1,-2,-2,-2,-2,-2,12,-2,12,-2,1,-3,-3,-3,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-3 
"arizR","oncapa",12,12,12,12,-2,-2,-2,12,12,12,-2,12,12,-2,-2,-2,-2,12,-2,-2,12,12,-2,-2,12,12,1,1,12,12,12,12,12,-2,12,-2,-2,-1 
"grcuR","onccla",-3,-3,-3,-3,-2,-2,-2,-3,-3,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2,-2 
"gilaR","oncgil",3,12,-2,-2,-2,12,-2,-2,-2,-2,.,-2,-2,12,12,12,-2,-2,-2,-2,-2,-2,12,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",12,12,-2,-2,-2,12,-2,-2,-2,-2,-2,12,12,-2,-2,12,-2,-2,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","parcha",-2,12,-2,-2,-2,12,12,-2,12,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2 
"mamoO","parfla",1,1,3,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,12,-2,-2,-2,-2,-2,-2,12,12,12,12,12,12,-2,12,-2,-2,-2,-2,-2,-2,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-1 
"furbR","pedfur",-2,-2,-2,-2,-2,-2,12,-2,12,-2,-2,-2,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,12,-2 
"prcrO","pellem",12,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,12,12,12,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,12,12,-2,-2 
"anasO","perpol",-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,12,-2 
"snaiR","pertan",-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"lanaO","phygla",12,12,-2,-2,-2,-2,-2,-2,12,-2,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,-2 
"biadO","phyrac",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,-2,12,12,-2,-2,-2,-2,12,-2,-2,12,12,12,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,10,12,-2,-2,-2,-2,-2,-2,12,10,10,-2,12 
"ropiO","pleple",12,12,-2,-2,-2,12,-2,-2,12,-2,-2,12,12,12,-2,12,12,-2,12,12,12,12,12,12,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,12,-2,-2,-2 
"shenO","pleshe",-2,2,2,2,-3,2,2,-3,2,-2,-3,-2,2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-1,-3,-2,-2,-2,-3,-1,-3,2,-3 
"fishR","poeocc",12,12,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,12,12,-2,-2,-2,-2,-2,12,12,-2,-2,-2 
"cavpO","pognud",-2,-1,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1 
"flscR","polbas",10,10,-2,-2,-2,-2,10,-2,-2,-2,-2,10,10,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fatpR","potcap",12,12,-2,-2,-2,-2,-2,-2,12,-2,-2,12,-2,12,-2,-2,-2,-2,-2,-2,-2,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2 
"flscR","prugen",-2,12,-2,-2,-2,12,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2 
"guamO","ptemar",3,-3,3,-2,3,3,-3,-3,3,-3,-3,12,-3,12,-3,3,-3,-3,-3,-3,-3,3,-3,3,-3,-2,-3,-3,-3,-2,-3,-3,3,-3,-3,-3,-3,-3 
"harpO","ptinod",-3,-3,-2,-2,-2,-3,-2,-2,-2,-2,-2,-3,-2,-2,-3,-3,-2,-2,-2,-3,-3,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"coloR","ptyluc",-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-3,-2,-3,-2,-2,-2,-2,-2,-2,-3,-2,-3,-3,-2,-2,-2,-3,-2,-2,-3,-3,-2,-2,-3,-3,-2,-2 
"flopR","pumcon",-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-2,-2,-2 
"alamO","pyrneo",-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"yumaO","raloyu",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,12,-2,-2,-2,-2,12,-2,-2,12,12,12,12,-2,-2,-2,-2,-2,-2,12,12,-2,12,-2,1,-2 
"selkR","rantar",12,12,12,12,12,2,2,-2,12,-2,-2,3,-2,12,-2,12,2,-2,-2,-2,-2,-2,12,12,-2,2,2,-2,-2,-2,-2,-2,-2,-2,12,2,2,-2 
"kendO","rhiosc",2,2,-2,-2,-2,2,2,-2,-2,-2,2,2,-2,10,-2,-2,-2,2,10,-2,10,10,-2,-2,-2,10,-2,-2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",12,12,12,12,-2,-2,-2,12,12,-2,-2,-2,-2,12,-2,12,-2,12,-2,-2,12,-2,-2,-2,-2,12,-2,-2,-2,-2,-1,12,-1,-1,12,-1,-2,-2 
"grpiR","sarore",12,12,-2,-2,-2,12,-2,-2,12,-2,-2,12,12,-2,10,12,-2,-2,-2,-2,-1,-1,12,-2,-2,-2,12,12,-2,-2,-2,-2,-2,-2,-2,12,12,-2 
"pallO","scaalb",12,12,12,12,12,-2,-2,-2,12,12,-2,12,-2,12,-2,12,-2,-2,12,-2,-2,12,-2,-2,12,-2,-2,12,12,12,12,-2,12,12,12,-2,12,12 
"maplO","schhal",-1,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,2,-1,-2,-1,2,2,-1,-1,2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,2,-1,2,-2 
"oahpO","schkaa",12,12,-2,-2,-2,12,12,-2,12,12,12,12,-2,12,-2,10,-2,1,-2,10,10,10,-1,-1,-2,12,12,-2,-3,-2,-2,-2,-2,-2,12,-2,-2,12 
"oahpO","schkea",-2,-2,-2,-2,-2,-2,-2,-2,8,-2,-2,8,8,-2,-2,-2,-2,-2,-2,10,-2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,10,-2,-2 
"kaupO","schspe",12,3,-2,-2,-2,-2,-2,-2,12,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"delmR","scinig",12,12,-2,-2,-2,-2,-2,-2,12,12,12,12,12,12,12,12,-2,-2,-2,12,12,-2,-2,-2,-2,10,10,10,-2,-2,12,-2,-2,-2,-2,-2,12,-2 
"enruO","soldry",3,3,-2,-2,-2,3,3,3,3,3,-2,3,3,3,3,3,3,-2,-2,3,3,-2,3,3,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2 
"hougO","solhou",-2,12,-2,-2,-2,12,12,-2,12,-2,-2,-2,12,12,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2 
"alabR","spepou",12,12,-3,-3,-3,3,-3,-3,-1,-3,-3,12,12,12,-3,12,-3,12,12,-3,-3,12,12,-3,12,-3,-3,-3,-3,-3,-3,-3,12,-3,-1,-3,-3,12 
"caleO","steant",-2,12,12,12,12,12,-2,-2,12,-2,-2,12,12,12,-2,12,-2,-2,12,-2,12,12,12,12,-2,-2,-2,-2,-2,-2,12,12,12,-2,12,-2,-2,-2 
"kaupO","stecam",12,12,-2,-2,-2,-2,-2,-2,12,-2,-2,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mexiO","strocc",-3,2,-3,-3,-3,2,2,-3,-3,10,12,12,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,10,10,-3,10,-3,-3,10,-3,-3,-3,-3 
"loweO","sylpal",2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2 
"lanaO","tetrem",12,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,-2 
"karsO","texred",12,12,-2,-2,-2,12,12,-2,12,-2,1,-2,12,-1,-1,-1,-1,12,-1,12,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-1,12,12,12,12 
"coolO","thacoo",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-2,1,1,1,1 
"pedaO","theste",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"soccO","thethe",3,3,-2,-2,-2,3,3,-2,-2,-2,-2,3,-2,3,-2,3,-2,-2,3,-2,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2 
"prfeO","theyau",-2,-3,-2,-2,-2,-2,-2,-2,-3,-2,-2,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",12,12,12,12,12,12,12,-2,-2,-2,-2,12,-2,12,-2,12,12,12,12,-2,-2,12,12,12,12,12,12,12,12,12,12,-2,12,12,-2,-2,-2,-2 
"bariO","tritri",12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,12,-2,-2,12,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",12,12,12,12,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,12,12,-2,-2,-2,-2,-2,12,12,-2,12,12,12,12,-2,12,12,12,-2,12,12,-2,-2 
"grizR","ursarc",12,12,-2,-2,-2,12,-2,-2,12,1,-2,12,-2,-2,12,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,12,-2,-2,-2,12,-2 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cachO","xanriv",2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","ziztex",12,12,-2,-2,-2,12,12,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,12,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,12,-2 
