"PLAN","SPECIES","374CCC","375CCC","376CCC","377CCC"
"chapO","rhocha",-2,-2,-2,-3 
"everR","rossoc",-1,2,-1,-2 
"grpiR","sarore",2,2,2,2 
"pallO","scaalb",1,1,-2,2 
"maplO","schhal",1,1,-2,-2 
"oahpO","schkaa",-3,-3,-3,-3 
"oahpO","schkea",1,-2,1,-2 
"kaupO","schspe",0,0,0,0 
"delmR","scinig",1,1,1,1 
"enruO","soldry",-2,-2,-2,1 
"hougO","solhou",1,-2,1,1 
"alabR","spepou",-3,-3,-3,-3 
"caleO","steant",1,-2,-2,1 
"kaupO","stecam",0,0,0,0 
"mexiO","strocc",-3,-3,-3,-3 
"loweO","sylpal",1,-2,1,2 
"lanaO","tetrem",1,1,0,-1 
"karsO","texred",1,1,1,1 
"coolO","thacoo",-2,-2,-2,-2 
"pedaO","theste",-2,-2,1,-2 
"soccO","thethe",0,0,-2,1 
"prfeO","theyau",-3,-3,-2,-3 
"westR","triman",1,1,1,1 
"bariO","tritri",1,-2,-2,1 
"attwR","tymcup",2,1,1,1 
"grizR","ursarc",2,2,2,2 
"flscR","warcar",1,-2,1,1 
"cachO","xanriv",2,2,2,0 
"flscR","zizcel",-1,-2,-2,1 
"edwaR","ziztex",1,1,1,1 
