"PLAN","SPECIES","425RRR","426RRR","427RRR","428RRR","429RRR","430RRR","431RRR","432RRR","433RRR","434RRR","435RRR","436RRR","437RRR","438RRR","439RRR"
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",0,0,0,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",0,-2,-2,-2,0,-2,0,0,-2,-2,-2,-2,-2,0,-2 
"edwaR","eurnan",-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2 
"pereO","falper",-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"ampeO","falper",-2,-2,-2,-2,-2,0,0,0,0,-2,0,-2,0,0,0 
"hawwR","fulame",0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-2 
"lanaO","gahlan",0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,-2 
"hawwR","galchl",0,0,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",-2,-2,-2,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,0 
"hawgO","garbri",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"unarR","gasacu",0,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2 
"maplO","gerarb",0,0,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2 
"humpR","gilcyp",0,-2,-2,-2,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"chihO","gilnig",0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,0,-2 
"fishR","gilpur",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"whooR","gruame",0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"missR","grucan",-2,-2,-2,-2,-2,-2,0,0,-2,0,-2,-2,0,-2,-2 
"cacoR","gymcal",0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,0,-2 
"gnomO","gymlin",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"todsO","hedtod",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2 
"moloO","hibarn",0,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,0 
"kaupO","hibcla",0,0,0,0,0,-2,-2,-2,0,0,-2,-2,0,-2,-2 
"kauaO","hibwoo",0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0 
"hawwR","himmex",-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,0,-2 
"flscO","hypcum",-2,-2,-1,-1,-2,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"smalR","isomed",0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,-2 
"beacO","jacrec",0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","labcyr",0,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1 
"pinkO","lamabr",0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0,-2 
"snakO","lanxsp",-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"caroO","lasdec",0,-2,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2 
"praiO","leslep",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",1,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2 
"kaupO","lipfau",0,0,0,0,0,-2,-2,-2,0,0,-2,-2,0,-2,-2 
"oahpO","loboah",0,0,0,0,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,0,0 
"lotiO","lycarg",0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"roleO","lysasp",0,-2,-2,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2 
"apalO","macalb",1,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2 
"mohrO","marmoh",0,0,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,0,0 
"kaupO","melpal",0,0,0,0,0,0,-2,-2,0,0,-2,-2,-2,-2,-2 
"oahpO","melsai",0,0,0,0,0,0,-1,-1,0,-1,-1,-2,-1,-1,-2 
"armaO","miccal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hualO","micmex",0,-2,-2,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2 
"blacR","musnig",0,0,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0 
"kaufO","myapal",-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"indiR","myosod",0,0,-2,0,0,-2,0,0,0,-2,-2,-2,-2,0,-2 
"oahpO","nothum",0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",0,0,-2,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,-2 
"neosO","notpla",0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0,-2 
"ringO","oboret",0,0,0,0,0,0,-2,0,0,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",-2,-2,0,-2,-2,0,0,0,0,0,-2,-2,-2,0,0 
"coluR","odvile",0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"antiR","oendel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"grcuR","onccla",0,0,0,0,0,-2,0,0,0,0,-2,-2,0,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"flscR","parcha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"furbR","pedfur",0,0,0,0,0,0,0,0,0,-2,-2,0,-2,0,-2 
"prcrO","pellem",0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,-2,-2 
"lanaO","phygla",0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,0 
"biadO","phyrac",0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",0,0,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",0,-2,-2,-2,0,-2,-2,0,0,0,-2,0,-2,-2,-2 
"cavpO","pognud",-2,-2,0,-2,0,-2,-2,0,0,-2,-2,-2,-2,0,-2 
"flscR","polbas",0,-2,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,0,-2 
"fatpR","potcap",0,0,0,0,-2,0,0,-2,-2,0,-2,-2,0,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"guamO","ptemar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2 
"harpO","ptinod",0,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2 
"coloR","ptyluc",0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,-2,0,-2 
"flopR","pumcon",-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2 
"alamO","pyrneo",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",-2,-2,0,-2,-2,0,0,-2,-2,-2,0,-2,-2,0,-2 
"selkR","rantar",-2,-2,0,-2,0,0,0,0,-2,-2,-2,-2,-2,0,-2 
"kendO","rhiosc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"grpiR","sarore",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"pallO","scaalb",0,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0,0,0 
"maplO","schhal",0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2 
"oahpO","schkaa",1,1,-1,-1,-1,-2,-1,-1,1,-2,-2,-2,-2,-2,-2 
"oahpO","schkea",0,0,0,0,0,-2,-2,-2,0,-2,-2,-2,-2,-2,0 
"kaupO","schspe",0,0,0,0,0,-1,-1,-1,0,0,-2,-2,0,0,-2 
"delmR","scinig",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"enruO","soldry",-2,-2,-1,-2,-2,-1,-1,0,0,-1,-1,-2,0,0,0 
"hougO","solhou",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",-2,-2,0,-2,-2,0,1,1,1,0,0,0,0,0,-2 
"caleO","steant",0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","stecam",0,0,0,0,0,-1,-1,-1,0,0,-2,-2,0,0,-2 
"mexiO","strocc",-2,-2,1,-2,1,-2,1,1,1,-2,1,-2,-2,-2,-2 
"loweO","sylpal",0,0,-2,-2,-2,-1,0,0,-1,-1,-1,-2,-1,0,0 
"lanaO","tetrem",0,0,-2,-2,0,0,-2,-2,0,-2,-2,-2,-2,-2,0 
"karsO","texred",-2,-2,-2,-2,-2,0,0,0,0,-2,-2,0,0,0,-2 
"coolO","thacoo",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"pedaO","theste",1,-2,1,1,-2,0,0,0,0,-2,-2,-2,1,0,-2 
"soccO","thethe",0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,0,-2,0,-2 
"prfeO","theyau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bariO","tritri",0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",0,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,0,-2 
"grizR","ursarc",-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,1 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"cachO","xanriv",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2 
"edwaR","ziztex",-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,-2,0,-2 
