"anthO","athant","anthO","athant","Fink101","Athearni","anthonyi","-2","Redfield","Anthony'",1,2,1994,4,15,0,-2,-2,-2,"-1",0,0,0,8,-1,-2,-2,-1,-2,3,21,1,-2,9,0,1,"USFWS4",-2,-1,-1,1,1,0 
"virgR","betube","virgR","betube","Spakes68","Betula","uber","-2","-1","Virginia",1,2,1978,4,26,0,-2,-2,-2,"8",-2,0,0,14,1,0,-1,-1,2,1,5,1,1,9,0,0,"USFWS5",2,4,2,1,1,0 
"flscR","bongra","flscR","bongra","pico148","Bonamia","grandifl","-2","-1","Florida",1,1,1987,12,2,0,-2,-2,-2,"-3",0,0,0,14,1,0,-1,-1,4,2,10,1,1,9,0,0,"USFWS4",3,3,-3,1,1,1 
"aleuR","bracan","aleuR","bracan","Mosher15","Branta","canadens","leucopar","-2","Aleutian",2,1,1991,1,11,0,-2,-2,-2,"-3",0,0,0,2,2,-1,6,3,6,3,27,2,-1,24,1,1,"USFWS7",3,3,2,1,1,0 
"cavpO","brasan","cavpO","brasan","Neville1","Branchin","sandiego","-2","Fugate","San Dieg",1,2,1997,2,3,0,-2,-2,-2,"2c",0,0,0,7,4,-1,3,2,3,2,27,1,-2,4,1,0,"USFWS1",3,3,-2,1,1,0 
"kaupO","briins","kaupO","briins","Green57","Brighami","insignis","-2","-1","Olulu",1,2,1994,2,25,0,-2,-2,-2,"5",0,0,0,13,1,0,2,-1,2,3,16,1,-1,2,0,0,"USFWS1",1,-1,-1,1,1,0 
"palmO","calriv","palmO","calriv","Eaton27","Calyptro","rivalis","-2","-2","Palma de",1,1,1990,3,8,0,-2,-2,-2,"-3",0,0,0,14,1,0,3,2,3,2,1,1,-1,14,0,0,"USFWS4",2,2,-3,0,-2,0 
"grayO","canlup","grayO","canlup","wieland9","canis","lupus","irremotu","-1","Northern",2,2,1973,6,4,0,-2,-2,-2,"-3",0,0,0,1,3,-1,5,1,1,3,27,2,-1,24,1,1,"USFWS6",2,2,-1,1,0,0 
"eastR","canlup","eastR","canlup","Minnemey","Canis","lupus","lycaon","-1","eastern",2,2,1974,8,-1,1,1978,3,9,"14C",0,0,0,1,3,6,6,-1,5,-1,5,2,2,24,1,1,"USFWS3",-1,2,-3,1,1,0 
"redwR","canruf","redwR","canruf","Gripne17","Canis","rufus","-2","-1","Red Wolf",1,2,1967,2,24,0,-2,-2,-2,"-3",0,0,0,1,3,-1,-1,1,3,1,27,2,-2,9,0,1,"USFWS4",4,4,-3,0,1,0 
"ashmO","cennam","ashmO","cennam","lawrence","Centauri","namophil","-2","Reveal e","spring-l",1,1,1985,6,10,1,1985,5,20,"8",0,0,0,14,1,0,-1,-1,2,1,19,1,2,5,0,0,"USFWS1",3,1,1,1,0,0 
"cuiuR","chacuj","cuiuR","chacuj","Rahn, Be","Chasmist","cujus","-2","-2","Cui-ui",1,2,1967,3,11,0,-2,-2,-2,"2c",0,0,0,5,4,5,3,1,3,1,27,1,-2,5,0,0,"USFWS1",1,4,2,1,1,0 
"pineO","chagar","pineO","chagar","Goldstei","Euphorbi","garberi","-2","Engelman","Garber's",1,1,1985,7,18,0,-2,-2,-2,"-1",0,0,0,14,1,0,-1,-1,2,3,7,1,2,9,0,0,"USFWS4",3,-1,-1,1,0,0 
"oahpO","charoc","oahpO","charoc","Gibbons;","Chamaesy","rockii","-2","-2","akoko",1,2,1998,8,10,0,-2,-2,-2,"8",0,0,0,14,1,0,3,1,2,1,-3,1,3,2,0,0,"USFWS1",2,1,-3,0,1,1 
