1,2,3,4,5,6,7,8,9,Date of Most Current RP (fixed),10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,PLAN,SPECIES
keydR,odvicl,Temple99,keydR,1,1,46,24,1980,1985,6,10,1,1985,,,,1,4,4,1,0,0,0,0,0,0,0,4,0,0,10,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,keydR,odvicl 
coluR,odvile,Reed110,coluR,1,1,75,28,1976,1983,6,14,1,1983,,,,1,2,1,2,0,3,0,0,0,0,0,3,0,0,3,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,coluR,odvile 
antiR,oendel,Hanni128,antiR,33,2,66,30,1980,1984,3,21,1,1984,,,,1,-1,4,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,7,0,-1,-1,-1,-1,0,0,14,1,1,-1,0,antiR,oendel 
arizR,oncapa,Dayton10,arizR,1,1,36,11,1979,1983,9,22,1,1983,,,,1,2,1,3,3,4,0,2,0,0,0,0,0,0,3,15,1,0,2,1,0,1,0,0,0,2,0,0,arizR,oncapa 
grcuR,onccla,Morse75,grcuR,1,1,62,32,1977,1998,3,0,3,1983,1998,,,4,3,1,1,3,1,0,0,0,0,0,0,0,0,-1,6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,grcuR,onccla 
gilaR,oncgil,Myers34,gilaR,1,1,113,18,1979,1993,12,8,3,1983,1984,1993,,3,-1,1,1,1,1,0,0,1,0,0,1,0,0,9,3,1,0,1,1,1,0,1,15,0,1,6,1,gilaR,oncgil 
nashR,orcsho,Morse75,nashR,1,1,-1,13,1987,1989,2,8,1,1989,,,,1,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,10,0,0,0,0,0,3,0,0,nashR,orcsho 
flscR,parcha,Minnemey,flscR,19,2,134,35,1990,1996,6,20,1,1996,,,,1,-1,4,-1,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,4,0,3,0,1,0,0,0,4,0,flscR,parcha 
mamoO,parfla,Vege113,mamoO,7,2,110,86,1984,1984,5,30,0,,,,,0,-1,1,2,2,4,0,0,0,0,0,0,0,0,1,2,0,1,1,0,2,0,0,0,0,0,0,0,mamoO,parfla 
bradO,pedbra,Goldsmit,bradO,1,1,72,25,1985,1985,3,28,0,,,,,0,-2,5,-1,-1,0,0,0,0,2,0,3,0,-1,12,5,1,0,6,1,0,0,0,0,0,0,1,0,bradO,pedbra 
furbR,pedfur,Leger179,furbR,1,1,61,21,1983,1991,4,29,1,1991,,,,1,2,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,furbR,pedfur 
prcrO,pellem,Campbell,prcrO,1,1,19,17,1992,1992,8,7,0,,,,,0,-2,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,2,0,1,0,1,prcrO,pellem 
anasO,perpol,Bean29,anasO,2,2,24,15,1993,1993,9,23,0,,,,,0,-2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,0,0,0,0,0,0,0,0,anasO,perpol 
snaiR,pertan,Roon181,snaiR,1,1,46,17,1979,1983,7,5,2,1983,,,,1,2,1,3,0,2,0,0,0,0,2,2,0,0,1,4,0,0,0,9,0,0,0,0,3,8,0,0,snaiR,pertan 
lanaO,phygla,Allen20,lanaO,9,2,138,43,1995,1995,9,29,0,,,,,0,-2,5,-1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,2,0,lanaO,phygla 
biadO,phyrac,Funk44,biadO,13,2,104,21,1998,1998,5,11,1,1998,,,,1,-1,4,-1,0,0,0,0,0,0,0,0,0,0,1,11,1,0,1,2,0,0,0,0,0,0,1,0,biadO,phyrac 
redcR,picbor,Latty22,redcR,1,1,86,31,1979,1985,8,24,1,1985,,,,1,-1,5,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,redcR,picbor 
ropiO,pleple,Pauliuko,ropiO,1,1,55,24,1984,1984,9,6,0,,,,,0,-2,4,1,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2,11,0,0,4,0,9,4,0,ropiO,pleple 
shenO,pleshe,Glushkof,shenO,1,1,37,21,1994,1994,9,29,0,,,,,0,-2,4,1,-1,0,0,0,0,0,0,0,0,0,1,-1,1,0,2,1,0,0,0,0,0,3,1,1,shenO,pleshe 
fishR,poeocc,Allison1,fishR,8,3,48,29,1984,1995,3,29,1,1995,,,,1,6,4,1,3,2,0,0,0,0,0,0,0,1,1,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fishR,poeocc 
cavpO,pognud,Baum66,cavpO,6,3,151,11,1998,1998,9,3,0,,,,,-2,-2,1,1,0,0,0,0,0,0,0,2,0,0,10,2,1,-1,-1,-1,-1,0,0,0,1,8,0,0,cavpO,pognud 
flscR,polbas,Powell10,flscR,19,2,134,27,1990,1996,6,20,1,1996,,,,1,3,4,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,4,1,2,0,1,0,0,1,0,3,flscR,polbas 
fatpR,potcap,Collins1,fatpR,1,1,22,10,1985,1989,11,14,1,1989,,,,1,-1,2,1,0,0,0,0,1,0,0,0,0,0,9,1,0,1,2,8,0,0,2,0,2,7,0,0,fatpR,potcap 
littO,potcly,Eustace2,littO,1,1,84,31,1994,1994,6,20,0,,,,,0,-2,4,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,3,0,1,1,0,littO,potcly 
flscR,prugen,Sorice89,flscR,19,2,134,35,1990,1996,6,20,1,1996,,,,1,3,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,1,0,0,1,0,3,flscR,prugen 
guamO,ptemar,Westfall,guamO,2,2,63,107,1990,1990,11,2,0,,,,,0,-2,5,0,0,1,0,0,0,0,0,0,0,0,5,1,0,2,8,4,4,0,0,0,0,3,1,0,guamO,ptemar 
harpO,ptinod,Nevin195,harpO,1,1,60,25,1990,1990,3,5,0,,,,,0,-2,2,0,0,1,0,0,0,0,0,0,1,0,8,2,0,3,1,8,0,0,0,0,0,2,4,0,harpO,ptinod 
coloR,ptyluc,Nielsen2,coloR,1,1,62,42,1978,1991,8,6,1,1991,,,,1,-1,1,3,2,8,0,0,0,0,0,0,0,0,2,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,coloR,ptyluc 
flopR,pumcon,Abbitt15,flopR,1,1,69,72,1981,1995,3,13,2,1987,1995,,,2,2,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,flopR,pumcon 
alamO,pyrneo,Mazzei21,alamO,2,2,24,15,1994,1994,8,31,-1,,,,,0,-2,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,0,0,0,0,0,1,1,1,0,0,alamO,pyrneo 
tombO,quasta,Counard5,tombO,5,2,18,7,1989,1989,11,14,0,,,,,0,-2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,tombO,quasta 
saltO,raloob,Grenier8,saltO,2,2,141,67,1984,1984,11,16,0,,,,,0,-2,4,-1,1,0,0,0,0,0,0,1,0,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,saltO,raloob 
yumaO,raloyu,Miner114,yumaO,1,1,51,34,1983,1983,2,4,0,,,,,0,-2,1,1,2,2,0,0,0,0,0,1,0,0,3,-1,0,6,4,2,0,0,0,0,0,0,0,0,yumaO,raloyu 
selkR,rantar,Frisch13,selkR,1,1,71,63,1985,1994,3,4,1,1994,,,,1,2,1,1,1,5,0,0,0,0,0,1,0,1,0,-1,1,-1,-1,-1,-1,-1,-1,149,-1,-1,-1,-1,selkR,rantar 
kendO,rhiosc,Hu18,kendO,1,1,30,27,1982,1982,7,12,0,,,,,0,-2,4,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,kendO,rhiosc 
chapO,rhocha,van Mant,chapO,1,1,41,39,1983,1983,9,8,0,,,,,0,-2,2,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,chapO,rhocha 
everR,rossoc,Froelich,everR,1,1,62,53,1983,1986,9,9,1,1986,,,,1,-1,1,2,0,1,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,everR,rossoc 
grpiR,sarore,Breuer18,grpiR,7,1,24,18,1983,1994,5,11,2,1985,1994,,,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,grpiR,sarore 
pallO,scaalb,Latty22,pallO,1,1,55,56,1993,1993,11,7,0,,,,,0,-2,1,2,1,4,0,0,0,0,0,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,pallO,scaalb 
maplO,schhal,Cade55,maplO,21,2,106,41,1997,1997,7,29,0,,,,,0,-2,5,2,6,1,-1,-1,-1,1,3,4,2,-1,-1,-1,1,-1,1,3,-1,-1,2,1,-1,-1,-1,-1,maplO,schhal 
oahpO,schkaa,Robison1,oahpO,66,2,452,27,1998,1998,8,10,0,,,,,0,-2,4,4,3,2,0,0,1,0,0,1,3,3,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,oahpO,schkaa 
oahpO,schkea,Campbell,oahpO,66,2,345,23,1998,1998,8,10,0,,,,,0,-2,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,15,38,14,4,0,2,11,0,11,11,14,oahpO,schkea 
kaupO,schspe,McCrumb8,kaupO,37,2,305,45,1995,1995,9,20,0,,,,,0,-2,-1,10,4,4,0,0,0,0,0,0,0,0,1,6,1,1,4,1,0,0,0,0,0,0,0,0,kaupO,schspe 
delmR,scinig,Morse75,delmR,1,1,104,34,1979,1993,6,8,2,1983,1993,,,2,2,1,1,2,3,1,0,0,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,delmR,scinig 
enruO,soldry,Temple99,enruO,1,1,17,15,1992,1992,7,9,0,,,,,0,-2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,enruO,soldry 
hougO,solhou,Satterth,hougO,1,1,58,29,1997,1997,9,17,0,,,,,0,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,9,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,hougO,solhou 
alabR,spepou,Lord104,alabR,1,1,17,16,1982,1990,10,25,2,1985,1990,,,2,2,5,1,0,0,0,0,0,1,0,0,0,0,1,1,0,5,3,4,1,0,0,2,0,4,3,0,alabR,spepou 
caleO,steant,Sullivan,caleO,1,1,63,76,1980,1980,4,2,1,,,,,-1,-1,1,2,0,4,1,0,1,0,0,2,0,0,3,5,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,caleO,steant 
kaupO,stecam,McCrumb8,kaupO,37,2,305,45,1995,1995,9,20,0,,,,,0,-2,-1,10,4,4,0,0,0,0,0,0,0,0,1,6,1,1,4,1,0,0,0,0,0,0,0,0,kaupO,stecam 
mexiO,strocc,Kuhn124,mexiO,1,1,317,157,1995,1995,10,16,0,,,,,0,-2,1,1,5,0,0,0,0,0,0,4,0,0,2,3,0,7,64,3,2,0,0,3,2,5,22,0,mexiO,strocc 
loweO,sylpal,Cade55,loweO,1,1,18,18,1994,1994,1,5,0,,,,,0,-2,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,loweO,sylpal 
lanaO,tetrem,uriarte6,lanaO,9,2,138,46,1995,1995,9,29,0,,,,,0,-2,5,-1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,2,0,lanaO,tetrem 
karsO,texred,belak72,karsO,7,3,154,22,1994,1994,8,5,0,,,,,0,-2,4,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,2,1,0,0,1,2,0,1,4,3,3,3,6,karsO,texred 
coolO,thacoo,Benedict,coolO,1,1,34,19,1994,1994,4,21,0,,,,,0,-2,3,1,0,0,0,0,0,1,0,0,0,0,10,51,0,1,0,9,6,0,0,1,1,5,16,1,coolO,thacoo 
pedaO,theste,Thayer12,pedaO,2,2,68,22,1998,1998,7,31,0,,,,,0,-2,4,-1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,0,0,2,1,0,pedaO,theste 
soccO,thethe,Hohenloh,soccO,1,1,16,17,1982,1982,2,16,0,,,,,0,-2,5,0,0,1,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,soccO,thethe 
prfeO,theyau,Miller73,prfeO,7,2,28,16,1995,1995,1,17,0,,,,,-2,-2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,prfeO,theyau 
westR,triman,newby42,westR,1,1,98,73,1980,1989,7,24,1,1989,,,,1,5,1,3,1,4,2,-2,-2,-2,4,2,-2,-2,0,63,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,westR,triman 
bariO,tritri,Regetz13,bariO,1,1,21,22,1991,1991,8,20,1,,,,,0,-2,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,0,1,bariO,tritri 
attwR,tymcup,Bedford8,attwR,1,1,55,45,1983,1993,2,8,1,1993,,,,1,-1,1,1,0,1,0,0,0,0,1,1,1,0,10,2,1,0,0,0,0,0,0,2,1,1,1,0,attwR,tymcup 
grizR,ursarc,Siegel84,grizR,1,1,181,50,1982,1993,1,29,1,1993,,,,1,4,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,2005,27,19,46,15,grizR,ursarc 
flscR,warcar,Morse75,flscR,19,2,134,21,1990,1996,6,20,1,1996,,,,1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,6,2,0,0,1,0,0,1,0,3,flscR,warcar 
cachO,xanriv,hilderbr,cachO,7,2,165,53,1984,1984,1,26,0,,,,,0,-2,4,0,3,0,0,0,3,0,0,2,0,2,9,2,0,-1,-1,-1,-1,0,0,0,0,0,0,0,cachO,xanriv 
flscR,zizcel,Morse75,flscR,19,2,134,35,1990,1996,6,20,1,1996,,,,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,flscR,zizcel 
edwaR,ziztex,Musquiz1,edwaR,5,3,120,8,1985,1996,4,8,1,1996,,,,1,1,1,1,-2,2,-2,-2,-2,1,-2,3,-2,-2,10,-1,1,1,-2,3,1,0,0,1,2,2,1,15,edwaR,ziztex 
