1,2,3,4,5,6,7,8,9,Date of Most Current RP (fixed),10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,PLAN,SPECIES
kaupO,briins,Green57,kaupO,37,2,270,45,1995,1995,9,20,0,,,,,0,-2,4,2,6,1,0,0,0,0,0,0,0,2,1,0,1,3,0,3,0,0,0,0,0,1,1,6,kaupO,briins 
palmO,calriv,Eaton27,palmO,1,1,18,18,1992,1992,6,25,0,,,,,0,-2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,1,1,palmO,calriv 
grayO,canlup,wieland9,grayO,1,1,119,33,1987,1987,8,3,0,,,,,0,-2,1,1,5,2,0,0,0,0,0,1,1,1,1,0,0,1,6,3,0,0,0,0,7,0,10,2,grayO,canlup 
eastR,canlup,Minnemey,eastR,1,1,73,133,1978,1992,1,31,1,1992,,,,1,-1,1,1,3,2,0,0,0,0,0,0,0,2,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,eastR,canlup 
redwR,canruf,Gripne17,redwR,1,1,110,40,1982,1990,10,26,1,1990,,,,1,2,4,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,29,14,0,0,0,2,4,0,17,0,redwR,canruf 
ashmO,cennam,lawrence,ashmO,32,3,123,37,1990,1990,9,28,0,,,,,0,-2,1,2,3,0,0,0,0,0,0,1,0,0,1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,ashmO,cennam 
cuiuR,chacuj,"Rahn, Be",cuiuR,1,1,139,44,1978,1992,5,15,2,1983,1992,,,2,2,1,1,1,2,0,1,0,0,0,2,0,0,2,3,0,12,21,9,19,4,5,7,6,7,11,0,cuiuR,chacuj 
pineO,chagar,Goldstei,pineO,5,2,31,14,1988,1988,10,7,0,,,,,0,-2,4,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,pineO,chagar 
oahpO,charoc,Gibbons;,oahpO,66,2,423,23,1998,1998,8,10,0,,,,,-2,-2,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,0,9,12,2,2,0,0,0,0,0,4,2,oahpO,charoc 
flogO,chrflo,Bloch35,flogO,1,1,26,12,1988,1988,8,29,0,,,,,0,-2,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,flogO,chrflo 
nortO,cicdor,Morris19,nortO,1,1,48,19,1994,1994,9,29,0,,,,,0,-2,2,1,0,1,0,0,0,2,0,1,2,0,11,2,0,1,1,2,0,0,0,1,0,1,0,1,nortO,cicdor 
maskR,colvir,Dullum36,maskR,1,1,86,56,1978,1995,4,21,1,1984,1995,,,2,-2,4,2,0,0,0,0,0,0,0,0,0,0,1,24,1,0,1,0,0,0,0,7,1,0,1,0,maskR,colvir 
hawcO,corhaw,Bunn183,hawcO,1,1,43,35,1982,1982,8,-1,0,,,,,0,-2,1,4,1,4,0,0,0,0,0,0,0,0,3,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,hawcO,corhaw 
amcrR,croacu,Wyrick52,amcrR,1,1,37,36,1979,1984,2,2,1,1984,,,,1,-1,1,0,3,2,0,0,0,0,0,0,1,0,3,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,amcrR,croacu 
newmO,crowil,Cilimbur,newmO,1,1,59,22,1985,1985,3,22,0,,,,,0,-2,5,-1,0,2,0,0,0,0,0,0,0,0,3,18,1,2,1,2,0,0,0,0,0,0,0,0,newmO,crowil 
sccyO,cupabr,Gray54,sccyO,1,1,62,26,1998,1998,9,0,0,,,,,0,-2,5,1,0,0,0,0,0,0,0,0,2,0,8,13,1,0,1,2,1,0,0,2,0,3,4,0,sccyO,cupabr 
moloO,cyaman,Webb23,moloO,16,2,143,24,1996,1996,9,26,0,,,,,0,-2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,0,0,0,1,moloO,cyaman 
biplO,cyashi,nielson1,biplO,22,2,202,39,1996,1996,9,26,0,,,,,0,-2,3,0,0,0,0,0,0,0,0,2,0,0,10,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,biplO,cyashi 
fishR,cypfor,Mayer150,fishR,4,2,48,29,1995,1995,3,29,0,,,,,0,-2,4,1,3,2,0,0,0,0,0,1,0,1,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fishR,cypfor 
kauaO,cyrcya,Temple99,kauaO,57,2,404,45,1998,1998,8,23,0,,,,,0,-2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,3,0,-1,kauaO,cyrcya 
biplO,cyrgif,nielson1,biplO,22,2,202,39,1996,1996,9,26,0,,,,,0,-2,3,0,0,0,0,0,0,0,0,2,0,0,10,0,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,biplO,cyrgif 
oahpO,cyrvir,Estill63,oahpO,66,2,360,28,1998,1998,8,10,0,,,,,0,-2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,0,0,0,2,0,2,6,0,oahpO,cyrvir 
kirtR,denkir,Robinson,kirtR,1,1,83,-2,1976,1985,9,30,1,1985,,,,1,-2,1,1,2,2,0,0,0,3,0,0,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,kirtR,denkir 
flomO,dicchr,Sin74,flomO,3,2,21,26,1987,1987,7,1,0,,,,,0,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,flomO,dicchr 
tennR,echten,Morse75,tennR,1,1,30,23,1983,1989,11,14,1,1989,,,,1,-1,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,tennR,echten 
tarrR,ellste,Kimberly,tarrR,1,1,44,17,1987,1992,5,5,1,1992,,,,1,-1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,tarrR,ellste 
cavpO,eryari,McKnight,cavpO,7,3,113,14,1998,1998,9,3,0,,,,,0,-2,1,1,0,0,0,0,0,0,0,2,0,0,0,1,1,-1,6,0,3,0,0,0,1,8,0,0,cavpO,eryari 
antiR,erycap,Kellogg1,antiR,3,2,70,30,1980,1984,3,21,1,1984,,,,1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,0,0,-1,13,1,1,1,1,antiR,erycap 
flscR,erycun,Stanley2,flscR,19,2,134,35,1990,1996,6,20,1,1996,,,,1,2,4,1,0,0,0,0,0,0,0,0,0,0,1,15,1,0,4,0,3,0,1,0,0,3,1,0,flscR,erycun 
seveO,erymen,hebblewh,seveO,8,2,141,43,1998,1998,9,29,0,,,,,-2,-2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,2,6,7,3,0,0,1,2,2,11,1,seveO,erymen 
threO,eryter,Temple99,threO,7,2,83,30,1998,1998,9,28,0,,,,,0,-2,4,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,2,0,2,15,0,6,1,0,threO,eryter 
slacO,ethbos,Davis129,slacO,1,1,51,12,1984,1984,3,8,0,,,,,0,-2,3,-1,0,0,0,0,0,0,0,1,0,0,10,1,0,2,1,4,0,0,0,0,0,0,0,0,slacO,ethbos 
