"PLAN","SPECIES","374ZZ","375ZZ","376ZZ","377ZZ"
"oahpO","schkaa",-2,-2,-2,-2 
"oahpO","schkea",1,-2,1,-2 
"kaupO","schspe",3,3,3,-2 
"delmR","scinig",2,2,2,2 
"enruO","soldry",-2,-2,-2,1 
"hougO","solhou",1,-2,1,1 
"alabR","spepou",-2,-2,-2,-2 
"caleO","steant",3,-2,-2,1 
"kaupO","stecam",3,3,3,-2 
"mexiO","strocc",-2,-2,-2,2 
"loweO","sylpal",2,-2,2,1 
"lanaO","tetrem",1,1,1,1 
"karsO","texred",1,1,1,1 
"coolO","thacoo",3,3,3,3 
"pedaO","theste",2,2,2,-2 
"soccO","thethe",2,2,-2,1 
"prfeO","theyau",2,2,-2,2 
"westR","triman",1,2,2,1 
"bariO","tritri",1,-2,-2,1 
"attwR","tymcup",1,1,1,2 
"grizR","ursarc",-2,1,1,1 
"flscR","warcar",1,-2,2,3 
"cachO","xanriv",-2,-2,2,-2 
"flscR","zizcel",1,-2,-2,3 
"edwaR","ziztex",1,1,1,2 
