"PLAN","SPECIES","173T","174T","175T","176T","177T","178T","179T","180T","181T","182T","183T","184T","185T","186T","187T","188T","189T","190T","191T","192T","193T","194T","195T","196T","197T","198T","199T","200T","201T","202T","203T","204T","205T","206T","207T","208T","209T","210T","211T","212T","213T","214T","215T","216T","217T","218T","219T","220T","221T","222T","223T","224T","225T","226T","227T","228T","229T","230T","231T"
"redwR","canruf",-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ashmO","cennam",3,3,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-1,-2,-2,-2,-1,-1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"cuiuR","chacuj",-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2,3,3,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,3,3,-2,3,-2,2,1,-2 
"pineO","chagar",3,3,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","charoc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2 
"flogO","chrflo",-2,3,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,3,-2,-1,-2,3,-2,1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2 
"nortO","cicdor",3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maskR","colvir",-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2 
"hawcO","corhaw",-2,3,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,-2,-2,3,-2,-2,-2,-1,-2,3,-2,-2,-2,-2,-2,-2,-2,-2 
"amcrR","croacu",-2,3,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
