"PLAN","SPECIES","443ZZZ","444ZZZ","445ZZZ","446ZZZ","447ZZZ","448ZZZ","449ZZZ","450ZZZ","451ZZZ","452ZZZ","453ZZZ","454ZZZ","455ZZZ","456ZZZ","457ZZZ","458ZZZ"
"threO","eryter",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"slacO","ethbos",-2,-2,1,1,-2,1,-2,2,-1,0,-2,-2,-2,0,0,-2 
"edwaR","ethfon",-3,-2,-2,-3,-2,-2,-3,-2,-2,-3,-2,-2,-3,-2,-2,-2 
"wateR","ethnuc",1,-2,-2,1,-2,-2,1,1,1,1,-2,-2,-2,-2,1,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",-3,-3,-3,-3,-3,-3,-2,-2,-3,-3,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",-2,0,-2,-2,-2,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2 
"edwaR","eurnan",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"pereO","falper",1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"ampeO","falper",-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,2,-2,2 
"hawwR","fulame",1,-2,-2,1,-2,-2,-3,-3,-3,-3,-2,-2,-2,-3,-3,-2 
"lanaO","gahlan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"hawwR","galchl",2,2,0,2,2,2,2,0,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",-1,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2 
"hawgO","garbri",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"unarR","gasacu",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"maplO","gerarb",1,1,1,1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"humpR","gilcyp",-2,2,-2,-2,-2,1,-2,-2,1,2,-2,-2,-2,-2,-2,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3 
