"PLAN","SPECIES","89C","90C","91C","92C","93C","94C","95C","96C","97C","98C","99C","100C","101C","102C","103C","104C","105C","106C","107C","108C","109C","110C","111C","112C","113C","114C","115C","116C","117C","118C","119C","120C","121C","122C","123C","124C","125C","126C"
"oahpO","nothum",2,-2,-2,-2,-2,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"neosO","notpla",2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ringO","oboret",-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",1,-2,-2,-2,-2,-2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,-2,-2 
"coluR","odvile",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,2,2,-2,2,3,3,-2 
"antiR","oendel",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",-1,-1,2,2,-2,-1,-1,2,5,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,3,3,-1,-2,-2,-1,-1,3,3,2,-2,-2,2,-1,-2,2,2,-2,-2 
"grcuR","onccla",3,3,3,3,-2,-2,-2,1,1,-2,-2,3,3,-2,-2,-2,-2,-2,-2,6,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,2,2,-2,-2 
"gilaR","oncgil",2,-2,-2,-2,-2,2,-2,1,1,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"nashR","orcsho",-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","parcha",-2,1,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mamoO","parfla",3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,3,-2,-2,-2,-2,-2,3,2,3,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"furbR","pedfur",-2,2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,3,-2 
"prcrO","pellem",-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",3,2,-1,-1,-1,-2,1,1,1,1,3,-1,1,2,-2,1,-1,-2,-1,-2,-1,-2,-2,-2,2,-1,-1,-1,-1,-2,3,-2,-2,-2,-2,3,3,-2 
"snaiR","pertan",1,2,-2,-2,-2,2,-2,-2,2,-2,-2,2,2,2,-2,-2,-2,-2,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"lanaO","phygla",3,3,-2,-2,-2,-2,-2,1,1,-2,-2,3,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"biadO","phyrac",-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",3,-2,4,-2,-2,-2,2,3,2,-2,-2,4,4,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,3,-2,-2,3,-2 
"ropiO","pleple",-2,1,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",2,2,1,2,-2,-2,-2,-2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cavpO","pognud",1,3,-2,-2,-2,3,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","polbas",3,-2,-2,-2,-2,2,2,-2,1,2,-2,-2,2,2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fatpR","potcap",1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"littO","potcly",3,1,-2,-2,-2,3,3,1,3,-2,-2,3,2,3,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,7,3,-2 
"flscR","prugen",2,2,-2,-2,-2,-2,2,-2,2,-2,-2,3,-2,2,-2,-2,3,-2,2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"guamO","ptemar",-2,1,2,2,-2,-1,-2,-2,2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"harpO","ptinod",-2,2,-2,-2,-2,2,-2,1,1,-2,-2,2,2,-3,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2 
"coloR","ptyluc",3,3,3,3,3,3,3,3,3,-2,-2,-2,3,2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,3,2,-2,3,3,3,-2 
"flopR","pumcon",-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,3,2,-2,3,-2,-2,-2 
"alamO","pyrneo",3,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",1,3,3,3,-2,-2,2,3,1,-2,-2,2,-2,-2,-2,3,-2,-3,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,3,-2,3,-2 
"yumaO","raloyu",3,-2,-2,-2,-2,-2,3,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"selkR","rantar",-2,-2,-2,-2,-2,-2,-2,-2,6,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2 
"kendO","rhiosc",3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"grpiR","sarore",3,3,-2,-2,-2,3,3,3,3,3,-2,2,-2,2,2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,3,-2,-2,-2,-2,2,-2,-2,-2,-1,-1,-2,-2 
"pallO","scaalb",2,-2,-2,-2,-2,5,2,1,1,3,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,3,-2 
"maplO","schhal",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2 
"oahpO","schkaa",1,1,-2,-2,-2,1,-2,1,1,-2,1,1,-2,-2,-2,-2,-2,1,-2,2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,3,-2,-2,2,2,-2,2 
"oahpO","schkea",-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","schspe",2,2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"delmR","scinig",3,3,-2,3,-2,3,2,2,2,-2,2,2,2,-2,-2,3,-2,-2,-2,2,2,-2,-2,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,3,-2 
"enruO","soldry",1,1,-2,-2,-2,1,1,1,1,-1,-1,3,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hougO","solhou",3,-2,-2,-2,-2,3,3,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"caleO","steant",2,2,2,2,-1,2,2,2,2,-2,-2,3,3,3,-2,3,-2,-2,-1,-1,3,-1,2,-1,-2,-2,-2,-2,-2,-2,-1,2,-1,-2,2,-2,2,-2 
"kaupO","stecam",2,2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mexiO","strocc",4,4,4,4,4,4,4,2,2,1,-2,-2,4,4,3,4,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,3,-2,4,-2 
"loweO","sylpal",1,1,3,-2,-2,-2,-2,-2,1,1,-2,4,4,4,-2,2,3,-2,-2,-2,3,-2,3,3,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2 
"lanaO","tetrem",3,3,-2,-2,-2,-2,1,1,2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2 
"karsO","texred",-2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2 
"coolO","thacoo",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2 
"pedaO","theste",-2,3,-2,-2,-2,-2,2,-2,2,2,-2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2 
"soccO","thethe",1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"prfeO","theyau",3,2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",-1,1,-2,-2,-2,-2,-2,1,1,-2,1,4,-2,2,-2,-2,-2,-1,-2,-2,3,3,-2,-2,2,-2,-2,-2,-2,-2,-2,-1,3,3,-2,-2,-2,-2 
"bariO","tritri",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",-2,-2,3,-2,-2,-2,-2,-2,1,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,3,-2,-2,-2 
"grizR","ursarc",1,1,-2,-2,-2,1,1,1,1,3,-2,2,2,3,-2,2,2,-2,2,-2,-2,-2,-2,3,-2,3,3,3,3,-2,-2,-2,-2,3,-2,-2,-2,-2 
"flscR","warcar",-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cachO","xanriv",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2 
"flscR","zizcel",2,1,-2,-2,-2,6,6,2,3,1,-2,1,-2,-2,-2,-2,2,-2,7,5,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"edwaR","ziztex",2,2,-2,-2,-2,6,-2,4,4,2,-2,-2,-2,3,-2,-2,-2,-2,-2,7,7,-2,-2,-2,-2,-2,-2,-2,-2,7,-2,-2,-2,-2,7,-2,-2,-2 
