"PLAN","SPECIES","443XXX","444XXX","445XXX","446XXX","447XXX","448XXX","449XXX","450XXX","451XXX","452XXX","453XXX","454XXX","455XXX","456XXX","457XXX","458XXX"
"redwR","canruf",2,2,2,2,-1,2,2,-1,-1,-1,2,-2,-2,-2,-2,1 
"ashmO","cennam",3,3,3,3,3,3,-1,-1,-1,-1,3,-1,1,3,2,-2 
"cuiuR","chacuj",1,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2 
"pineO","chagar",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","charoc",1,1,1,-2,-2,-2,-2,-2,1,1,-2,2,-2,-2,-2,-2 
"flogO","chrflo",-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nortO","cicdor",1,-2,-2,1,-2,-2,-2,-2,2,2,-2,-2,-2,-2,1,-2 
"maskR","colvir",-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawcO","corhaw",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"amcrR","croacu",2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"newmO","crowil",-2,-2,-2,-2,-2,-2,3,3,3,2,-2,-2,-2,-2,2,-2 
"sccyO","cupabr",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"moloO","cyaman",-2,1,3,-2,-2,3,-2,-2,-2,1,-2,-2,-2,-2,-2,1 
"biplO","cyashi",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",-2,-2,-2,2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2 
"kauaO","cyrcya",1,1,1,1,-1,1,-1,-1,-1,1,1,-2,-2,-2,-2,-2 
"biplO","cyrgif",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",1,-2,-2,3,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2 
"kirtR","denkir",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flomO","dicchr",1,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,1,-2 
"tennR","echten",2,2,2,-2,2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2 
"tarrR","ellste",-2,-2,-2,-2,2,-2,2,2,-2,-2,2,-2,-2,-2,-2,-2 
"cavpO","eryari",-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","erycap",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"seveO","erymen",3,3,3,3,3,3,-2,-2,-2,3,-2,-2,-2,-2,3,-2 
"threO","eryter",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"slacO","ethbos",-2,-2,3,3,-2,3,-2,3,3,2,-2,-2,-2,3,2,-2 
"edwaR","ethfon",1,-2,-2,1,-2,-2,1,-2,-2,1,-2,-2,1,-2,-2,-2 
"wateR","ethnuc",1,-2,-2,1,-2,-2,1,1,1,1,-2,-2,-2,-2,2,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",-2,2,-2,-2,-2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","eurnan",1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2 
"pereO","falper",3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2 
"ampeO","falper",-2,-2,-2,-2,-2,-2,-2,2,1,1,-2,-2,-2,1,-2,1 
"hawwR","fulame",1,-2,-2,3,-2,-2,1,1,2,1,-2,-2,-2,2,1,-2 
"lanaO","gahlan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","galchl",2,2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",1,-2,-2,-2,-2,-2,-2,3,1,1,-2,-2,-2,-2,-2,-2 
"hawgO","garbri",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"unarR","gasacu",-2,1,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2 
"maplO","gerarb",1,1,1,1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"humpR","gilcyp",-2,2,-2,-2,-2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"chihO","gilnig",-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,1,-2 
"fishR","gilpur",2,2,-2,-2,2,-2,2,2,2,-2,-2,-2,-2,2,-2,-2 
"whooR","gruame",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"missR","grucan",2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,-2,-2 
"cacoR","gymcal",1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"gnomO","gymlin",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"todsO","hedtod",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"moloO","hibarn",-2,3,3,-2,-2,3,-2,-2,-2,1,-2,-2,-2,-2,-2,1 
"kaupO","hibcla",1,1,1,1,1,1,-2,-2,-2,1,1,-2,-2,1,-2,-2 
