"PLAN","SPECIES","89A","90A","91A","92A","93A","94A","95A","96A","97A","98A","99A","100A","101A","102A","103A","104A","105A","106A","107A","108A","109A","110A","111A","112A","113A","114A","115A","116A","117A","118A","119A","120A","121A","122A","123A","124A","125A","126A"
"saltO","raloob",1,1,1,1,-2,1,1,1,1,1,-3,1,1,1,1,1,3,-3,3,1,1,3,3,3,1,3,3,3,1,-3,1,1,1,1,1,3,1,-3 
"yumaO","raloyu",1,2,2,2,3,1,1,1,1,3,2,1,3,1,3,2,3,3,2,-2,1,2,2,2,3,3,3,3,3,3,3,1,1,1,2,3,1,3 
"selkR","rantar",1,1,1,1,1,1,3,1,1,3,-2,1,1,1,3,1,3,-2,1,1,1,1,1,1,-2,1,3,3,3,-2,1,1,1,-2,1,1,1,-2 
"kendO","rhiosc",1,1,3,3,-2,1,1,1,1,1,2,1,-2,1,-2,3,3,2,3,3,3,2,3,3,-2,3,3,-2,-2,2,3,3,3,-2,3,3,3,-2 
"chapO","rhocha",1,1,-2,-2,-2,1,1,1,1,1,-2,1,1,1,3,1,3,-2,1,1,1,3,3,3,-2,3,1,3,3,-2,-2,-2,-2,-2,1,1,1,1 
"everR","rossoc",1,1,1,1,3,1,1,1,1,3,3,1,3,1,-2,1,3,3,3,1,1,1,3,3,3,3,3,3,3,3,1,1,1,3,1,1,1,3 
"grpiR","sarore",1,1,-2,-2,-2,1,1,1,1,1,3,1,2,1,1,3,3,3,3,1,1,3,3,3,3,1,3,3,3,3,1,-2,-2,3,1,1,2,3 
"pallO","scaalb",1,-2,1,1,1,1,1,1,1,1,3,2,3,1,3,1,1,3,1,1,1,1,3,3,1,-2,3,1,1,1,1,1,3,3,1,1,1,1 
"maplO","schhal",1,1,-2,-2,-2,3,3,2,1,3,-2,1,3,1,3,3,3,-2,1,1,3,3,-2,-2,-2,1,3,3,3,-2,1,-2,-2,-2,1,3,1,-2 
"oahpO","schkaa",1,1,-2,-2,-2,1,3,1,1,1,1,1,3,3,3,3,1,1,-1,1,1,3,3,3,-2,1,1,1,3,-2,3,1,-2,-2,1,1,3,1 
"oahpO","schkea",1,3,-2,-2,-2,3,3,1,1,3,3,1,1,3,-2,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,-2,-2,-2,-2,1,1,3,3 
"kaupO","schspe",1,1,-2,-2,-2,3,3,1,1,2,3,1,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2 
"delmR","scinig",1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,3,3,3,3,1,1,1,3,3,1,3,1,3,1,1,1,3 
"enruO","soldry",1,1,-2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,3,-2,3,1,1,1,1,1,1,3,3,3,3,3,1,-2,-2,-2,1,1,1,-2 
"hougO","solhou",1,1,-2,-2,-2,1,1,1,1,1,3,3,1,3,3,3,3,3,3,1,1,3,3,3,1,1,3,3,3,3,-2,-2,-2,-2,1,3,1,1 
"alabR","spepou",1,3,3,3,3,3,3,1,1,3,3,1,3,2,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,1,3,1,3,3,3,3,3 
"caleO","steant",1,1,1,1,2,1,1,1,1,3,3,1,1,1,3,1,3,3,1,1,1,1,1,1,3,3,3,3,3,3,2,1,1,3,1,3,1,3 
"kaupO","stecam",1,1,-2,-2,-2,1,1,1,1,2,3,1,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2 
"mexiO","strocc",1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,3,3,1,-2,1,1,1,1,3,1,3,1,2,3,1,1,1,3,1,1,1,2 
"loweO","sylpal",1,1,1,1,3,1,1,1,1,1,-2,1,1,1,3,1,1,-2,1,1,1,1,1,1,-2,3,3,3,1,-2,1,1,1,-2,1,3,3,-2 
"lanaO","tetrem",1,1,-2,-2,-2,1,1,1,1,3,2,1,1,1,3,3,3,3,1,2,2,2,2,-2,1,3,3,3,3,1,-2,-2,-2,-2,1,3,3,3 
"karsO","texred",1,1,2,2,2,1,1,2,1,1,-2,2,2,2,2,2,3,-2,2,2,2,2,2,2,2,1,3,3,2,2,1,2,1,3,1,1,1,3 
"coolO","thacoo",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-2,1,1,1,1 
"pedaO","theste",1,1,-2,-2,-2,1,1,2,1,1,-2,1,1,1,3,2,1,-2,2,2,2,2,2,2,1,3,3,3,3,-2,1,3,-2,-2,1,3,-2,-2 
"soccO","thethe",1,1,-2,-2,-2,3,3,1,1,-2,-2,1,-2,2,-2,1,3,-2,2,3,1,1,3,3,1,3,3,-2,-2,-2,3,3,3,-2,1,3,3,-2 
"prfeO","theyau",1,1,-2,-2,-2,3,3,3,1,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 
"westR","triman",1,1,3,3,3,2,2,1,1,3,1,1,3,1,3,2,3,1,2,1,1,1,2,2,1,3,3,3,3,3,3,1,1,1,3,3,3,3 
"bariO","tritri",1,1,-2,-2,-2,1,1,1,1,-3,-3,1,1,1,-2,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-3,-3,-3,-3 
"attwR","tymcup",1,1,1,1,3,1,1,1,1,1,3,1,1,1,3,3,3,3,3,1,1,3,1,3,3,3,3,3,1,2,1,1,1,3,1,1,1,3 
"grizR","ursarc",1,1,3,3,3,1,1,1,1,1,-2,1,1,1,1,1,1,-2,1,1,1,1,3,1,1,1,1,1,1,-2,1,1,1,1,3,1,3,-2 
"flscR","warcar",1,1,-2,-2,-2,3,1,1,1,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,1,3,3,3,3,3,1,-2,-2,3,3,3,1,3 
"cachO","xanriv",1,1,3,3,3,3,3,3,1,3,1,1,3,3,1,1,3,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,3,1,3,3,3 
"flscR","zizcel",1,1,-2,-2,-2,1,1,1,1,1,-2,1,3,3,3,3,1,-2,1,1,1,3,3,3,-2,3,3,3,3,-2,3,-2,-2,-2,3,3,1,-2 
"edwaR","ziztex",1,1,-2,-2,-2,1,3,1,1,1,3,3,3,1,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,1,-2,-2,-2,-2,1,3,3,3 
