"PLAN","SPECIES","89A","90A","91A","92A","93A","94A","95A","96A","97A","98A","99A","100A","101A","102A","103A","104A","105A","106A","107A","108A","109A","110A","111A","112A","113A","114A","115A","116A","117A","118A","119A","120A","121A","122A","123A","124A","125A","126A"
"pineO","chagar",1,1,-2,-2,-2,1,1,1,1,1,3,3,1,3,3,3,3,-2,3,3,3,3,3,3,3,3,3,3,3,3,3,-2,-2,-2,3,1,1,3 
"oahpO","charoc",1,1,-2,-2,-2,1,3,1,1,3,3,1,3,3,3,1,1,3,1,1,-2,-2,1,1,-2,1,1,1,1,3,1,-2,-2,3,1,3,3,3 
"flogO","chrflo",1,1,-2,-2,-2,1,1,2,1,3,-2,3,1,3,3,3,3,-2,3,1,3,3,3,3,-2,3,3,3,3,-2,-2,-2,-2,-2,3,3,1,-2 
"nortO","cicdor",1,1,1,1,3,1,1,1,1,3,3,1,3,1,3,3,1,3,3,1,3,3,1,3,3,1,1,1,3,3,1,1,1,3,1,3,3,3 
"maskR","colvir",1,1,3,3,-2,1,3,1,1,3,3,1,1,1,-2,1,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,1,1,3,1,1,3,3 
"hawcO","corhaw",1,1,1,1,-2,3,3,1,1,3,3,1,1,3,3,1,3,3,3,1,1,1,3,3,3,3,3,3,3,3,1,1,1,3,1,1,3,3 
"amcrR","croacu",1,1,3,1,3,1,1,1,1,3,3,1,3,1,3,2,3,3,3,1,1,3,2,2,3,1,3,3,3,3,3,1,3,3,1,1,3,3 
"newmO","crowil",1,1,3,3,3,1,1,2,1,1,3,2,2,1,3,3,3,3,3,1,3,3,3,3,3,2,3,3,3,3,1,1,1,3,1,3,3,3 
"sccyO","cupabr",1,1,-2,-2,-2,1,1,3,1,1,3,1,1,3,3,1,3,-3,1,1,1,1,3,3,3,1,1,1,3,1,3,3,3,3,3,3,1,3 
"moloO","cyaman",1,1,-2,-2,-2,1,3,1,1,3,3,1,1,3,3,3,3,2,1,2,2,2,2,2,1,1,3,3,3,3,-2,-2,-2,-2,1,1,1,3 
"biplO","cyashi",1,3,-2,-2,-2,3,3,1,1,3,-2,1,1,3,3,2,3,-2,2,2,2,2,2,2,2,3,3,3,3,-2,2,2,-2,-2,1,1,3,-2 
"fishR","cypfor",1,1,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2 
"kauaO","cyrcya",1,1,-2,-2,-2,3,3,3,1,3,3,1,1,3,2,2,2,3,2,2,2,2,2,2,3,2,2,3,2,3,-2,-2,-2,-2,1,3,3,3 
"biplO","cyrgif",1,3,-2,-2,-2,3,3,1,1,3,-2,1,1,3,3,2,3,-2,2,2,2,2,2,2,1,3,3,3,3,-2,2,2,-2,-2,1,1,3,-2 
"oahpO","cyrvir",1,1,-2,-2,-2,1,1,1,1,3,3,1,3,1,3,3,3,3,1,2,2,2,2,2,3,3,3,3,3,3,3,-2,-2,3,1,1,3,3 
"kirtR","denkir",1,1,-3,1,1,3,1,1,1,1,-3,1,3,1,3,3,3,-3,3,3,3,3,3,3,-3,3,3,3,3,3,3,3,3,-3,1,3,3,-3 
"flomO","dicchr",1,1,-2,-2,-2,1,1,1,1,1,1,1,3,1,-2,-2,-2,1,-1,1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,1,-2,1,1,1,1,1 
"tennR","echten",1,1,-2,-2,-2,1,1,1,1,1,-2,1,1,1,-2,1,3,-2,3,1,1,3,1,3,-2,3,3,3,3,-2,1,-2,-2,-2,1,1,1,1 
"tarrR","ellste",2,1,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,3,1,1,3,3 
"cavpO","eryari",1,1,-2,-2,-2,1,1,1,1,1,3,3,-1,1,3,3,2,3,3,1,3,3,3,-2,3,1,2,2,1,3,1,-2,-2,3,1,1,3,3 
"antiR","erycap",1,1,-2,-2,-2,1,1,3,1,3,-2,1,-2,2,2,2,-2,-2,3,1,2,1,2,2,-2,3,3,3,3,3,3,-2,-2,-2,2,2,2,3 
"flscR","erycun",1,1,-2,-2,-2,1,1,3,1,3,3,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,-2,-2,3,1,1,1,3 
"seveO","erymen",1,1,-2,-2,-2,3,3,3,1,1,-2,1,1,3,3,2,2,-2,1,1,3,3,3,3,-2,3,3,3,3,-2,1,1,3,3,1,1,1,-2 
"threO","eryter",1,1,-2,-2,-2,1,1,3,1,1,3,1,1,1,3,1,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,1,1,3 
"slacO","ethbos",1,1,3,1,3,1,1,3,1,3,3,1,1,2,3,1,3,3,1,1,1,1,3,3,3,1,3,1,1,3,3,1,3,3,1,1,3,3 
"edwaR","ethfon",1,1,1,3,3,1,1,1,1,3,-2,1,1,1,3,3,3,-2,3,1,1,3,3,3,-2,1,1,1,1,-2,3,1,1,-2,1,1,1,-2 
"wateR","ethnuc",1,1,1,1,-2,1,1,1,1,3,3,1,3,1,-2,2,2,1,2,2,2,2,2,2,1,2,2,2,3,3,3,1,1,3,1,1,3,3 
"okalO","ethoka",1,1,3,3,3,1,1,1,1,1,-2,3,3,2,1,3,3,-2,3,3,3,3,3,3,-2,3,3,3,3,-2,3,3,3,-2,1,3,3,-2 
"bayoR","ethrub",1,1,3,3,3,1,1,3,1,3,3,3,1,3,3,3,3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3 
"maryR","ethsel",1,1,3,3,3,3,1,1,1,3,3,1,1,3,-2,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3 
"elseO","eupbat",1,1,1,1,-2,3,3,1,1,1,3,1,1,3,3,3,3,3,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,3,1,1,3,3 
"edwaR","eurnan",1,1,1,1,3,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3 
"pereO","falper",1,1,1,1,1,1,1,1,1,3,-2,1,1,1,3,1,3,1,3,3,1,1,1,3,-2,3,3,3,3,-2,3,1,1,1,1,1,3,-2 
"ampeO","falper",1,1,1,1,1,1,1,1,1,3,-2,1,3,1,1,1,3,-2,3,1,1,3,3,3,-2,3,3,3,3,-2,1,1,1,-2,1,1,3,-2 
"hawwR","fulame",1,1,1,1,1,1,1,1,1,1,-2,2,1,1,1,1,1,-2,3,1,1,3,3,3,-2,3,3,3,3,3,1,1,1,-2,1,1,1,-2 
"lanaO","gahlan",1,1,-2,-2,-2,1,1,1,1,1,-2,1,-2,1,-2,2,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,3,3 
"hawwR","galchl",1,3,1,1,3,3,3,1,3,3,3,1,3,1,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 
"edwaR","gamgeo",1,1,-2,-2,-2,1,1,1,1,-2,-2,1,-2,1,-2,1,3,-2,3,1,1,3,3,3,-2,3,-2,-2,-2,1,3,3,3,-2,1,3,3,-2 
"hawgO","garbri",1,1,-2,-2,-2,3,1,1,1,1,-2,1,1,1,-2,3,3,-2,2,2,2,3,2,3,-2,2,1,1,-2,-2,-2,-2,-2,-2,1,1,3,-2 
"unarR","gasacu",1,3,3,3,3,1,3,1,1,3,3,3,1,3,3,3,3,3,1,1,1,3,3,3,3,1,3,1,3,3,3,1,1,3,1,3,3,3 
"maplO","gerarb",1,1,-2,-2,-2,1,1,1,1,1,3,1,1,1,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,-2,-2,-2,-2,1,1,3,1 
"humpR","gilcyp",1,1,3,3,3,1,1,1,1,1,3,1,1,2,3,3,3,3,2,-2,3,1,1,3,3,1,3,3,2,3,2,1,1,3,1,3,3,3 
"bonyR","gilele",1,1,3,1,3,1,1,1,1,1,3,1,3,1,3,1,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,3,1,3,3,1 
"chihO","gilnig",1,1,1,1,3,1,1,1,1,1,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,1,3,3,1,3,3,3 
"fishR","gilpur",1,1,3,3,-2,1,1,1,1,1,-2,3,1,1,1,1,3,-2,3,3,3,3,3,3,3,3,3,3,3,3,-2,1,1,1,3,1,3,-2 
"whooR","gruame",3,3,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,3,1,1,1,1,3,3,3,1,3,3,3,3,1,1,1,3,1,3,3,3 
"missR","grucan",1,1,1,1,-2,1,1,2,1,3,-2,1,-2,1,-2,1,2,-2,2,3,1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,1,1,-2,1,3,1,-2 
"cacoR","gymcal",3,3,1,1,3,3,3,1,1,3,1,1,1,1,3,3,1,3,3,3,3,3,1,1,3,1,3,3,3,3,3,1,1,3,3,3,3,3 
"gnomO","gymlin",1,1,-2,-2,-2,1,1,1,1,3,3,1,1,1,3,3,3,-2,3,1,3,3,3,3,-2,2,2,3,3,-2,-2,-2,-2,-2,1,1,1,-2 
"todsO","hedtod",1,1,-2,-2,-2,3,3,3,1,1,1,-1,2,2,2,3,3,3,3,1,1,3,3,3,1,1,3,3,3,3,1,1,-2,1,3,3,1,1 
"oahpO","hesarb",1,2,3,3,3,3,3,1,1,3,3,1,1,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,3,3,3 
"moloO","hibarn",1,1,-2,-2,-2,1,3,1,1,3,3,1,1,3,3,2,3,3,1,2,2,2,2,2,1,1,3,3,3,3,-2,-2,-2,-2,1,1,3,3 
"kaupO","hibcla",1,1,-2,-2,-2,1,1,1,1,1,3,1,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,-2,-2,-2,-2,1,1,1,3 
"kauaO","hibwoo",1,3,-2,-2,-2,1,3,3,1,3,3,1,-2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,-2,-2,3,-2,-2,-2,-2,1,1,3,3 
"hawwR","himmex",1,1,1,1,-2,1,1,1,1,3,3,1,3,1,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,1,1,1,3,1,3,3,3 
"flscO","hypcum",1,1,-2,-2,-2,1,1,3,1,1,-2,3,3,3,3,3,3,3,3,3,3,-2,3,3,-2,3,3,3,3,3,-2,-2,-2,-2,-2,1,-2,-2 
"smalR","isomed",1,1,-2,-2,-2,1,1,1,1,3,3,1,1,1,3,3,3,3,3,1,1,3,3,3,1,3,3,3,3,3,-2,-2,-2,-2,1,3,3,3 
"beacO","jacrec",1,1,-2,-2,-2,1,1,1,1,1,3,1,3,1,-2,3,3,3,3,1,1,3,3,3,3,1,3,3,3,3,-2,-2,-2,-2,1,1,1,3 
"oahpO","labcyr",1,1,-2,-2,-2,1,1,1,1,3,3,1,1,3,3,3,3,3,1,1,2,2,2,2,2,3,3,3,3,3,-2,-2,-2,-2,1,3,3,3 
"pinkO","lamabr",1,1,-2,-2,-2,1,1,1,1,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,3,1,3,3,3 
"snakO","lanxsp",1,1,3,3,3,1,3,2,1,1,3,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3 
"caroO","lasdec",1,1,3,3,-2,3,3,1,1,1,3,1,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-2,3,1,3,3,3 
"praiO","leslep",1,1,-2,-2,-2,3,3,1,1,2,3,1,1,1,2,1,3,3,1,1,1,1,1,2,3,2,1,1,1,3,2,-2,-2,-2,1,1,1,3 
"flscR","liaohl",1,1,-2,-2,-2,1,1,1,1,1,-2,2,1,2,-2,2,3,-2,1,1,1,3,3,3,-2,1,1,1,3,-2,-2,-2,-2,-2,3,3,1,-2 
"kaupO","lipfau",1,1,-2,-2,-2,1,1,1,1,1,3,1,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,-2,-2,-2,-2,1,1,1,3 
"oahpO","loboah",1,3,-2,-2,-2,1,3,1,1,3,3,1,1,3,3,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,-2,-2,-2,1,1,3,3 
"flscR","lupari",1,1,-2,-2,-2,3,1,3,1,3,-2,1,1,3,-2,3,3,-2,1,3,1,1,3,3,1,3,3,3,3,3,-2,-2,-2,-2,3,3,1,3 
"lotiO","lycarg",1,2,2,3,3,3,3,1,1,3,-2,1,3,3,3,2,3,-2,1,3,3,1,3,3,-2,3,3,-2,-2,-2,3,3,3,-2,1,3,-2,-2 
"roleO","lysasp",1,1,-2,-2,-2,1,1,1,1,1,3,3,1,3,3,3,3,3,3,1,1,3,3,3,3,3,2,1,3,3,3,-2,-2,3,1,3,1,3 
"apalO","macalb",1,3,-2,-2,-2,1,1,3,1,3,3,1,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-2,-2,-2,-2,-2,-2,1,3 
"mohrO","marmoh",1,3,-2,-2,-2,3,2,1,1,3,-2,1,1,2,3,3,2,-2,3,1,3,3,3,3,-2,1,3,3,3,-2,-2,-2,-2,-2,3,3,1,-2 
"kaupO","melpal",1,1,3,3,3,3,3,1,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 
"oahpO","melsai",1,1,-2,-2,-2,1,1,1,1,1,-2,1,1,1,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,1,3,3,3 
"armaO","miccal",1,1,1,1,3,1,1,3,1,1,-2,2,2,2,3,3,3,-2,1,1,1,1,1,1,-2,2,2,2,2,-2,1,1,1,-2,1,1,1,-2 
"hualO","micmex",1,1,3,3,3,1,1,1,1,1,3,2,1,1,3,1,3,3,3,1,1,3,3,3,1,3,3,3,1,3,3,3,1,2,1,1,1,1 
"blacR","musnig",1,2,2,2,2,3,1,1,1,1,3,1,2,1,3,1,1,3,1,1,1,1,3,3,3,1,1,3,2,3,1,1,1,1,1,3,3,3 
"kaufO","myapal",1,1,3,3,-2,1,1,1,1,3,-2,1,3,1,3,3,3,-2,2,2,2,2,2,2,-2,3,3,3,3,-2,3,1,1,-2,1,1,-2,-2 
"woodO","mycame",1,3,1,1,3,1,1,1,1,3,3,1,3,1,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,1,1,3,1,3,1,3 
"indiR","myosod",1,1,2,1,1,1,1,3,1,3,3,1,1,1,3,3,3,3,3,1,1,3,3,3,1,3,3,3,3,3,1,1,3,1,3,3,3,3 
"oahpO","nothum",1,1,-2,-2,-2,1,3,1,1,3,3,1,3,3,3,2,3,3,1,3,3,3,-2,-2,3,3,3,3,3,3,-2,-2,-2,-2,1,1,3,3 
"capeO","notmek",1,1,3,3,3,1,1,1,1,1,3,1,1,1,-2,2,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,2,1,3,2,3,3,3 
"neosO","notpla",1,1,3,2,3,1,1,1,1,1,3,2,1,1,1,3,3,3,1,1,3,3,3,3,3,3,1,2,2,3,2,1,1,3,1,3,1,3 
"ringO","oboret",1,1,-2,-2,-2,1,1,1,1,3,-2,3,1,1,-2,2,3,-2,3,1,-2,1,3,3,-2,3,3,3,3,-2,1,1,-2,-2,1,3,3,-2 
"keydR","odvicl",1,3,3,3,3,3,1,1,1,3,3,1,3,1,3,1,3,3,1,3,1,1,1,3,1,3,3,3,3,3,3,1,1,3,1,3,3,3 
"coluR","odvile",1,1,1,3,3,1,1,1,1,1,3,1,1,1,1,1,3,3,3,1,1,3,1,3,3,1,3,3,1,1,3,1,1,3,1,1,1,3 
"antiR","oendel",1,1,-2,-2,-2,1,1,2,1,1,-2,1,1,1,3,3,3,-2,1,1,1,1,1,-2,1,3,3,3,3,-2,-2,-2,-2,-2,1,3,1,-2 
"arizR","oncapa",1,1,1,1,3,1,1,1,1,3,3,1,1,3,3,3,3,3,3,1,1,1,3,3,1,1,1,1,1,3,3,1,1,3,1,1,3,3 
"grcuR","onccla",1,1,1,1,-2,3,3,1,1,3,-2,1,1,3,3,3,3,-2,3,1,1,1,3,3,-2,3,3,3,3,-2,3,1,1,-2,1,1,-2,-2 
"gilaR","oncgil",1,1,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,3,3,3,1,3,1,1,1,3,1,1,3,1,1,1,3 
"nashR","orcsho",1,1,2,2,3,1,3,1,1,3,3,1,3,3,3,2,3,3,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3 
"flscR","parcha",1,1,-2,-2,-2,1,1,3,1,1,-2,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,-2,-2,-2,-2,1,3,1,3 
"mamoO","parfla",1,2,2,3,3,1,1,1,1,3,3,1,3,3,3,2,3,3,3,1,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,3,-2 
