"PLAN","SPECIES","347RR","348RR","349RR","350RR","351RR","352RR","353RR","354RR","355RR","356RR","357RR","358RR","359RR","360RR","361RR","362RR","363RR","364RR","365RR","366RR","367RR","368RR","369RR",370RR"
"seveO","erymen",-2,2,2,2,2,2,3,3,3,-2,-2,-2,-2,-2,-2,3,2,3,-2,3,-2,-2,-2,-2 
"threO","eryter",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1 
"slacO","ethbos",2,2,2,-2,-2,2,3,2,2,-2,1,3,-2,1,-2,1,-2,-2,-2,2,2,1,1,-2 
"edwaR","ethfon",2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,2,2,2,2,-2 
"wateR","ethnuc",-2,2,2,-2,-2,2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,1,1,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2 
"elseO","eupbat",2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","eurnan",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,-2,1,-2,-2 
"pereO","falper",2,2,-2,-2,-2,2,-2,2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"ampeO","falper",2,2,2,-2,-2,-2,2,3,-2,-2,2,-2,3,3,3,-2,3,-2,-2,2,-2,1,-2,3 
"hawwR","fulame",2,2,2,2,2,2,2,-1,-1,-1,2,-1,-2,2,2,2,2,2,-2,2,2,2,2,-2 
"lanaO","gahlan",-2,3,-2,-1,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-1,-2,-2,3,-2,-2,-2,3,-2,-2 
"hawwR","galchl",1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2 
"edwaR","gamgeo",-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,3,-2 
"hawgO","garbri",-2,2,-2,2,-2,-2,1,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"unarR","gasacu",-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2 
"maplO","gerarb",-2,3,3,3,3,-2,3,-2,3,-2,-2,-2,-2,-2,-1,-1,1,-1,-2,3,3,3,3,-2 
"humpR","gilcyp",-2,3,3,3,-2,-2,3,-2,3,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"chihO","gilnig",-2,3,3,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,1,1,-2 
"fishR","gilpur",-2,-2,-1,-1,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2 
"whooR","gruame",-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,3,-2,-2,3,-2,-2,-2,3,-2,3,-2 
"missR","grucan",2,2,2,-2,-2,-2,2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cacoR","gymcal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
