"PLAN","SPECIES","308FF","309FF","310FF","311FF","312FF","313FF","314FF","315FF","316FF","317FF","318FF","319FF","320FF","321FF","322FF","323FF","324FF","325FF","326FF","327FF","328FF","329FF","330FF","331FF","332FF","333FF","334FF","335FF","336FF","337FF","338FF","339FF","340FF","341FF","342FF","343FF"
"harpO","ptinod",0,1,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"coloR","ptyluc",0,2,0,2,2,1,0,0,1,0,-2,4,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 
"flopR","pumcon",1,15,0,5,4,0,0,0,0,0,0,11,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1 
"alamO","pyrneo",-2,-2,5,5,-2,-2,-2,-2,-2,-2,-2,3,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tombO","quasta",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"saltO","raloob",0,3,0,1,0,0,0,0,1,0,0,48,33,12,6,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,12,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0 
"selkR","rantar",2,3,0,3,0,6,0,5,3,0,7,18,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0 
"kendO","rhiosc",0,0,0,0,0,2,0,0,0,0,-2,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 
"chapO","rhocha",-2,5,-2,3,1,-2,-2,-2,-2,1,5,-2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,8 
"everR","rossoc",0,1,0,0,1,0,0,0,3,0,0,0,0,0,4,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0 
"grpiR","sarore",-2,1,-2,-2,2,-2,-2,-2,-2,-2,-2,2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"pallO","scaalb",1,3,0,3,6,4,0,0,1,0,0,9,3,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"maplO","schhal",-2,5,0,0,2,0,1,1,2,-2,11,0,-2,0,1,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,0,-2,0,0,0,0,0,0,0,0 
"oahpO","schkaa",0,0,0,0,1,0,3,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0 
"oahpO","schkea",-2,2,0,2,1,-2,1,0,2,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"kaupO","schspe",-2,-2,-2,-2,-2,-2,-2,1,10,10,-2,2,3,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"delmR","scinig",0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1 
"enruO","soldry",-2,1,1,0,1,-2,-2,0,0,0,0,0,2,0,0,0,2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"hougO","solhou",0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0 
"alabR","spepou",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"caleO","steant",3,0,0,0,0,0,2,0,0,0,1,6,0,0,10,28,4,19,7,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,-2 
"kaupO","stecam",-2,6,-2,-2,-2,-2,-2,1,10,10,-2,2,3,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mexiO","strocc",0,0,0,0,0,0,0,0,0,0,0,47,0,15,47,47,0,47,0,47,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"loweO","sylpal",0,2,0,0,1,2,2,0,1,0,2,45,2,0,2,20,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0 
"lanaO","tetrem",-2,5,0,5,3,0,0,2,3,0,8,6,2,0,1,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1 
"karsO","texred",0,0,0,0,0,1,2,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"coolO","thacoo",0,3,3,3,3,3,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"pedaO","theste",-2,3,1,1,0,0,1,0,1,0,0,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2 
"soccO","thethe",0,1,3,0,2,0,0,0,1,0,0,8,4,0,1,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,-2 
"prfeO","theyau",0,2,5,0,2,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 
"westR","triman",0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2 
"bariO","tritri",0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0 
"attwR","tymcup",1,1,0,0,1,2,1,1,5,1,0,6,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1 
"grizR","ursarc",-2,-2,-2,5,-2,3,-2,-2,-2,-2,4,13,-2,-2,7,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","warcar",0,0,0,0,0,0,0,0,1,0,0,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0 
"cachO","xanriv",0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 
"flscR","zizcel",0,0,1,0,3,1,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0 
"edwaR","ziztex",-2,1,-2,-2,1,-2,-2,-2,2,2,-2,4,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,1 
