"PLAN","SPECIES","130H","131H","132H","133H","134H","135H","136H","137H","138H","139H","140H","141H","142H","143H","144H","145H","146H","147H","148H","149H","150H","151H","152H","153H","154H","155H","156H","157H","158H","159H","160H","161H","162H","163H","164H","165H","166H","167H"
"kaufO","myapal",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2 
"woodO","mycame",1,-2,1,1,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,3,1,-2,-2,-2,-2,-2,3,3,-2,3,-1,-1,-1,3,3,-2,-2,-2,-1,2,-1,3 
"indiR","myosod",3,3,3,3,-2,3,-2,-2,3,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2 
"oahpO","nothum",-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,1,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1 
"capeO","notmek",1,1,-2,-2,-2,2,2,-2,2,-2,-2,-2,2,2,-2,1,-2,-2,1,1,1,1,1,1,-2,-2,3,-2,-2,-2,-2,-2,1,-2,1,1,-2,1 
"neosO","notpla",2,3,-2,2,-2,-2,2,-2,-2,-2,-2,1,2,2,-2,1,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,1,1,2,-2,-2,1,-2,-2,2 
"ringO","oboret",1,1,-2,-2,-2,1,1,-2,1,-2,-2,2,2,2,-2,1,3,-2,1,1,-2,1,1,1,-2,1,-2,-2,-2,-2,1,1,-2,-2,1,1,-2,-2 
"keydR","odvicl",-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2 
"coluR","odvile",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,1,1,-2,2,-2,-2,-2 
"antiR","oendel",2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"arizR","oncapa",1,2,2,2,-2,-2,-2,3,3,3,-2,-2,1,-2,-2,-2,-2,2,-2,-2,2,2,-2,-2,2,1,3,3,1,2,2,2,2,-2,1,-2,-2,2 
"grcuR","onccla",1,1,1,1,-2,-2,-2,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2 
"gilaR","oncgil",2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,1,1,2,-2,-2,-2,-2,-2,-2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",2,2,-2,-2,-2,3,-2,-2,3,-2,-2,2,3,2,-2,2,-2,-2,2,-2,2,2,2,2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"flscR","parcha",-2,1,-2,-2,-2,1,1,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"mamoO","parfla",1,1,3,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,-2,2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,3 
"furbR","pedfur",-2,2,-2,-2,-2,2,2,-2,2,-2,-2,2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2 
"prcrO","pellem",2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,1,1,1,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"anasO","perpol",-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,1,-2 
"snaiR","pertan",3,3,-2,-2,-2,3,-2,-2,2,-2,-2,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"lanaO","phygla",2,1,-2,-2,-2,-2,-2,-2,1,-2,2,1,1,-2,-2,2,-2,-2,2,2,-2,-2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2 
"biadO","phyrac",2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,2 
"redcR","picbor",-2,-2,2,2,-2,-2,-2,-2,3,-2,-2,2,2,2,3,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,3,2,2,-2,2 
"ropiO","pleple",2,1,-2,-2,-2,2,-2,-2,3,-2,-2,3,3,3,-2,2,3,-2,2,2,2,2,2,2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,2,-2,-2,-2 
"shenO","pleshe",2,2,2,2,-2,2,2,-2,2,2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,1,1,2,-2,1,-2,2,-2 
"fishR","poeocc",3,3,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,1,1,-2,-2,-2,-2,-2,2,2,-2,-2,-2 
"cavpO","pognud",-2,1,-2,-2,-2,-2,-2,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1 
"flscR","polbas",3,3,-2,-2,-2,-2,3,-2,-2,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fatpR","potcap",2,1,-2,-2,-2,-2,-2,-2,3,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,2,2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"littO","potcly",1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,-2,-2,1,1,-2,-2,1,1,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,1,1,2,-2 
"flscR","prugen",-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"guamO","ptemar",2,2,-2,1,-2,-2,-2,-2,2,-2,2,2,-2,2,-2,2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,2,1,2,-2,1,3,-2,-2 
"harpO","ptinod",1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,1,1,-2,-2,-2,3,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"coloR","ptyluc",1,1,1,1,1,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,2,2,-2,-2,-2,2,-2,-2,2,2,-2,-2,2,1,-2,-2 
"flopR","pumcon",-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,1,1,1,-1,1,-2,-2,-2 
"alamO","pyrneo",3,2,3,3,-2,2,-2,2,-2,-2,-2,2,2,2,-2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,2,2,-2,-2 
"tombO","quasta",1,1,1,1,-2,1,1,-2,1,-2,-2,1,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1 
"saltO","raloob",2,2,2,2,-2,2,-2,-2,-2,-2,-2,2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,-2,2,-2 
"yumaO","raloyu",-2,-2,-2,2,-2,-2,-2,-2,3,-2,3,2,-2,2,-2,-2,-2,-2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,3,-2 
"selkR","rantar",2,1,1,2,2,1,1,-2,2,-2,-2,2,-2,1,-2,1,2,-2,-2,-2,-2,-2,1,1,-2,2,2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2 
"kendO","rhiosc",1,2,-2,-2,-2,2,2,-2,-2,-2,-1,-1,-2,2,-2,-2,-2,-1,-1,-2,-1,-1,-2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,1,-2,-2,-2,2,-2,1,1,-2,-2,2,1,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2 
"everR","rossoc",-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,1,2,3,3,1,1,-2,-2 
"grpiR","sarore",1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,-2,1,-2 
"pallO","scaalb",1,2,1,1,1,-2,-2,-2,2,2,-2,1,-2,1,-2,1,2,-2,1,-2,-2,1,-2,-2,1,-2,-2,1,1,1,1,-2,1,1,1,-2,1,1 
"maplO","schhal",2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,2,2,-1,2,2,2,2,2,2,-2,1,-2,-2,-2,-2,2,-2,-2,-2,1,-2,1,-2 
"oahpO","schkaa",-2,1,-2,-2,-2,1,1,-2,1,2,1,1,-2,2,-2,2,2,1,2,1,2,2,-1,-1,2,1,1,1,2,-2,-2,-2,-2,-2,1,-2,-2,1 
"oahpO","schkea",2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,-2,-2,1,-2,-2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,2,-2,-2 
"kaupO","schspe",2,2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"delmR","scinig",2,2,-2,-2,-2,-2,-2,-2,2,2,3,2,3,2,2,2,-2,-2,-2,2,2,-2,-2,-2,-2,3,3,3,-2,-2,2,-2,-2,-2,-2,-2,2,-2 
"enruO","soldry",2,2,-2,-2,-2,1,1,2,2,2,-2,2,2,2,2,2,2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2 
"hougO","solhou",-2,2,-2,-2,-2,2,2,-2,2,-2,-2,-2,1,2,-2,3,3,2,-2,-2,3,-2,-2,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"alabR","spepou",1,2,-1,-1,-1,1,-1,-1,3,-1,-1,2,3,2,-1,2,-1,2,2,-1,-1,2,2,-1,2,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2 
"caleO","steant",-2,2,2,2,2,2,-2,-2,2,-2,-2,1,1,1,-2,2,-2,-2,2,-2,1,2,1,1,-2,-2,-2,-2,-2,-2,2,1,2,-2,-1,-2,-2,-2 
"kaupO","stecam",2,2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mexiO","strocc",-2,1,-2,-2,-2,1,1,-2,-2,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,2,-2,-2,2,-2,-2,-2,-2 
"loweO","sylpal",1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"lanaO","tetrem",2,2,-2,-2,-2,-2,-2,-2,1,-2,2,1,1,-2,-2,2,-2,-2,2,2,-2,-2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2 
"karsO","texred",-2,1,-2,-2,-2,1,1,-2,1,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,3,3,3,3,3,-2,-2 
"coolO","thacoo",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-2,1,1,1,1 
"pedaO","theste",-2,1,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,-2,3,3,-2,3,3,3,3,3,3,-2,-2,3,3,-2,-2,3,-2,-2,-2,2,-2,-2,-2 
"soccO","thethe",2,1,-2,-2,-2,1,1,-2,-2,-2,-2,1,-2,1,-2,2,-2,-2,2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2 
"prfeO","theyau",-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",1,1,1,1,1,1,1,-2,-2,-2,-2,1,-2,1,-2,2,1,2,2,-2,-2,2,2,2,2,2,2,2,2,2,1,-2,3,1,-2,-2,-2,-2 
"bariO","tritri",2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",1,1,1,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,1,1,-2,1,1,1,1,-2,1,1,1,-2,1,1,-2,-2 
"grizR","ursarc",-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,1,-2,-2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,-2,-2,-2,3,-2 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cachO","xanriv",2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",3,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","ziztex",1,1,-2,-2,-2,1,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2 
