"PLAN","SPECIES","130H","131H","132H","133H","134H","135H","136H","137H","138H","139H","140H","141H","142H","143H","144H","145H","146H","147H","148H","149H","150H","151H","152H","153H","154H","155H","156H","157H","158H","159H","160H","161H","162H","163H","164H","165H","166H","167H"
"palmO","calriv",2,2,-2,2,-2,-2,-2,-2,2,-2,-2,1,2,1,-2,2,-2,-2,-2,2,1,-2,-2,2,2,-2,-2,-2,-2,-2,1,-2,-2,-2,2,-2,-2,-2 
"grayO","canlup",1,1,1,1,1,-2,-2,-2,2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,2,2,-2,-2 
"eastR","canlup",2,2,2,2,-2,3,3,-2,2,2,-2,2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,2,-2,-2,-2,2,2,2,2,-2,2,2,-2,-2 
"redwR","canruf",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"ashmO","cennam",2,3,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,2,2,-2,-2,-2,2,3,3,-2,2,-2,-2,-2,-2,-2,2,2,-2,-2 
"cuiuR","chacuj",1,1,1,1,-2,1,1,-2,-2,1,-2,1,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"pineO","chagar",1,1,-2,-2,-2,-2,-2,-2,2,-2,-2,2,2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"oahpO","charoc",1,-2,-2,-2,-2,-2,-1,-2,1,-1,-1,1,-1,-1,-1,2,2,-1,2,2,-2,-2,2,2,-2,2,2,2,2,-2,2,-2,-2,-2,2,-2,-2,-2 
"flogO","chrflo",-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2 
"nortO","cicdor",-2,-2,-2,-2,-2,2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"maskR","colvir",1,1,1,1,-2,1,1,-2,1,-2,1,3,-2,1,-2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-2,1,-2,1,1,-2,-2 
"hawcO","corhaw",1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,1,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,1,-2,-2,-2 
"amcrR","croacu",2,2,2,2,-2,1,1,3,2,-2,-2,2,-2,2,-2,2,-2,-2,2,-2,2,2,2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"newmO","crowil",3,3,-2,-2,-2,-2,-2,-2,3,-2,-2,3,3,3,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,3,3,3,3,3,-2,-2,-2 
"sccyO","cupabr",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,2,2,2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"moloO","cyaman",2,3,-2,-2,-2,2,-2,-2,1,-2,2,3,1,3,3,2,-2,2,2,2,2,-2,3,-2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2 
"biplO","cyashi",2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,2,-2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,1,1,1,-2 
"fishR","cypfor",3,2,-2,-2,-2,-2,-2,3,-2,-2,-2,2,-2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,1,1,1,1,1,-2,-2,-2,-2,3,3,-2,-2 
"kauaO","cyrcya",-2,-2,-2,-2,-2,1,1,-2,1,-2,-2,1,1,1,-2,2,2,-2,2,2,2,2,2,2,-2,2,2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"biplO","cyrgif",2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,2,-2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,1,1,1,-2 
"oahpO","cyrvir",2,-2,-2,-2,-2,2,-2,-2,1,-2,-2,2,-2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,2,-2,-2,1,1,-2,-2 
"kirtR","denkir",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flomO","dicchr",2,3,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"tennR","echten",-2,2,-2,-2,-2,2,2,-2,2,-2,-2,1,2,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,1,2 
"tarrR","ellste",2,2,2,2,-2,2,-2,-2,-2,-2,2,2,-2,2,-2,2,2,-2,2,2,2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"cavpO","eryari",1,1,-2,-2,-2,-2,-2,1,1,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,1,-2,-2,-2,1,1,-2,-2 
"antiR","erycap",2,2,-2,-2,-2,2,2,-2,2,2,-2,2,-2,2,-2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2 
"flscR","erycun",1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2 
