"PLAN","SPECIES","308KK","309KK","310KK","311KK","312KK","313KK","314KK","315KK","316KK","317KK","318KK","319KK","320KK","321KK","322KK","323KK","324KK","325KK","326KK","327KK","328KK","329KK","330KK","331KK","332KK","333KK","334KK","335KK","336KK","337KK","338KK","339KK","340KK","341KK","342KK","343KK"
"palmO","calriv",-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"grayO","canlup",-3,2,-3,2,-3,-3,-3,2,-3,-3,2,2,2,-3,-3,-3,2,-3,2,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"eastR","canlup",2,1,-2,-1,-2,2,-2,1,-2,-2,-2,2,-2,2,1,-2,-2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redwR","canruf",-2,-3,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ashmO","cennam",-2,0,-2,-2,-2,-2,-2,-2,1,-2,1,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cuiuR","chacuj",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"pineO","chagar",-3,0,-3,-3,2,2,-3,-3,2,2,-3,2,1,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3 
"oahpO","charoc",-2,0,-2,-2,1,-2,-2,-2,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flogO","chrflo",-2,1,1,-3,1,1,-2,-2,-2,-2,-2,1,-1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"nortO","cicdor",-2,-3,1,-2,-2,-2,-2,-2,-2,-2,-2,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
