"PLAN","SPECIES","89F","90F","91F","92F","93F","94F","95F","96F","97F","98F","99F","100F","101F","102F","103F","104F","105F","106F","107F","108F","109F","110F","111F","112F","113F","114F","115F","116F","117F","118F","119F","120F","121F","122F","123F","124F","125F","126F"
"littO","potcly",1,1,-2,-2,-2,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,-2,-2,-2,1,0,1,0 
"flscR","prugen",0,0,-2,-2,-2,-2,0,-2,0,-2,-2,0,-2,0,-2,-2,0,-2,1,1,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2 
"guamO","ptemar",1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0 
"harpO","ptinod",1,0,-2,-2,-2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-2,0,0,0,0,0 
"coloR","ptyluc",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"flopR","pumcon",0,1,-2,-2,-2,0,0,0,1,-2,-2,1,-2,0,-2,-2,1,-2,0,0,0,0,0,0,-2,1,1,-2,-2,0,0,1,1,-2,1,0,0,-2 
"alamO","pyrneo",1,1,1,1,0,1,0,1,0,0,-2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,0,1,1,-2,1,1,0,-2 
"tombO","quasta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"saltO","raloob",1,1,1,1,-2,1,1,0,1,0,-2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"yumaO","raloyu",1,1,1,0,0,0,1,0,1,0,1,1,0,1,-1,0,0,0,1,-2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0 
"selkR","rantar",0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,-2,0,0,0,0,0,0,-2,0,0,0,0,-2,0,0,0,-2,1,0,0,-2 
"kendO","rhiosc",1,0,0,0,-2,1,1,0,0,0,1,1,-2,1,-2,0,0,1,0,0,0,1,0,0,-2,1,0,-2,-2,1,0,0,0,-2,0,0,0,-2 
"chapO","rhocha",0,1,-2,-2,-2,1,1,1,1,1,-2,1,1,1,0,1,0,-2,0,0,0,0,0,0,-2,0,0,0,0,-2,-2,-2,-2,-2,1,1,1,1 
"everR","rossoc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0 
"grpiR","sarore",0,1,-2,-2,-2,1,1,0,1,1,-2,1,0,1,1,0,0,-2,0,0,0,0,0,0,-2,0,0,1,0,0,1,-2,-2,-2,0,0,0,-2 
"pallO","scaalb",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"maplO","schhal",0,0,-2,-2,-2,0,0,-2,0,0,-2,0,0,0,0,0,0,-2,0,0,0,0,-2,-2,-2,0,0,0,0,-2,0,-2,-2,-2,0,0,0,-2 
"oahpO","schkaa",1,1,-2,-2,-2,-1,-2,1,1,-2,1,1,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,1,1,-2,1 
"oahpO","schkea",0,0,-2,-2,-2,0,0,0,0,0,0,0,0,0,-2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,-2,-2,-2,-2,1,1,0,-2 
"kaupO","schspe",1,1,-2,-2,-2,0,0,0,0,-2,-2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0 
"delmR","scinig",1,1,1,1,-2,1,1,1,1,0,1,1,1,1,1,1,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,1,-2,-2,1,-2,1,-2,1,1,1,-2 
"enruO","soldry",1,1,-2,-2,-2,1,1,0,1,1,1,1,1,1,1,1,0,-2,0,0,0,1,1,1,1,0,0,0,0,0,1,-2,-2,-2,1,1,1,-2 
"hougO","solhou",1,1,-2,-2,-2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,-2,-2,-2,-2,0,0,0,0 
"alabR","spepou",1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1 
"caleO","steant",1,1,1,1,0,0,0,0,0,-2,-2,1,0,1,-2,1,-2,-2,0,0,0,1,1,1,-2,-2,-2,-2,-2,-2,0,0,0,-2,1,0,0,-2 
"kaupO","stecam",1,1,-2,-2,-2,1,1,0,0,-2,-2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0 
"mexiO","strocc",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0 
"loweO","sylpal",0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,-2,0,0,0,0,-2,0,0,0,-2,0,0,0,-2 
"lanaO","tetrem",1,0,-2,-2,-2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,-2,1,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0 
"karsO","texred",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0 
"coolO","thacoo",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-2,1,1,0,1 
"pedaO","theste",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2 
"soccO","thethe",1,1,-2,-2,-2,1,1,0,0,-2,-2,1,-2,0,-2,1,0,-2,1,0,1,1,1,1,0,0,1,-2,-2,-2,0,0,1,-2,1,0,0,-2 
"prfeO","theyau",0,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0 
"bariO","tritri",0,0,-2,-2,-2,0,0,0,0,-2,-2,1,0,0,-2,-2,-2,-2,1,1,1,1,1,1,0,0,0,0,0,0,-2,-2,-2,-2,0,0,0,0 
"attwR","tymcup",0,0,0,1,-2,0,0,0,0,0,-2,1,0,0,-2,-2,-2,-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,0,1,0,0,0,-2,1,1,0,-2 
"grizR","ursarc",0,1,-2,-2,-2,1,1,0,1,0,-2,1,1,0,0,0,0,-2,0,0,0,0,-2,0,0,0,1,1,1,-2,1,0,0,0,-2,0,-2,-2 
"flscR","warcar",0,0,-2,-2,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0 
"cachO","xanriv",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 
"flscR","zizcel",0,1,-2,-2,-2,0,0,0,0,0,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,-2,-2,-2,0,0,0,-2 
"edwaR","ziztex",1,1,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,0,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,1,-2,-2,-2 
