"PLAN","SPECIES","89F","90F","91F","92F","93F","94F","95F","96F","97F","98F","99F","100F","101F","102F","103F","104F","105F","106F","107F","108F","109F","110F","111F","112F","113F","114F","115F","116F","117F","118F","119F","120F","121F","122F","123F","124F","125F","126F"
"ashmO","cennam",1,1,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,1,-2,-2,-2,1,1,1,-2,1,-2,-2,-2,-2,-2,1,1,-2,-2 
"cuiuR","chacuj",0,0,0,0,-2,1,0,0,0,0,-2,0,-2,0,-2,1,1,-2,0,0,0,0,1,0,-2,0,-2,-2,-2,-2,-2,0,-2,-2,0,-2,-2,-2 
"pineO","chagar",0,0,-2,-2,-2,0,0,0,1,0,0,0,1,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0 
"oahpO","charoc",1,1,-2,-2,-2,0,-2,0,1,-2,-2,1,-2,-2,-2,1,1,-2,1,1,-2,-2,1,1,-2,1,1,1,1,-2,1,-2,-2,-2,1,-2,-2,-2 
"flogO","chrflo",0,1,-2,-2,-2,0,0,0,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"nortO","cicdor",0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0 
"maskR","colvir",0,0,-2,-2,-2,0,-2,0,0,-2,-2,1,0,0,-2,1,-2,-2,1,0,1,1,1,1,-2,-2,-2,-2,-2,-2,1,0,0,-2,0,0,-2,-2 
"hawcO","corhaw",0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0 
"amcrR","croacu",1,1,-2,1,-2,1,1,1,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,1,1,-2,1,1,-2,1,-2,-2,-2,-2,-2,1,-2,-2,1,1,-2,-2 
"newmO","crowil",1,1,-2,-2,-2,1,1,0,1,1,0,1,0,1,-2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0 
"sccyO","cupabr",1,-1,-2,-2,-2,1,1,-2,1,0,-2,0,0,-2,-2,0,-2,-2,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"moloO","cyaman",0,1,-2,-2,-2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0 
"biplO","cyashi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"fishR","cypfor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","cyrcya",1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,-2,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0 
"biplO","cyrgif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 
"oahpO","cyrvir",0,0,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,-2,-2,0,1,1,0,0 
"kirtR","denkir",1,1,-2,1,1,-2,1,0,1,0,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"flomO","dicchr",1,1,-2,-2,-2,1,-1,1,1,1,-1,1,0,-2,-2,-2,-2,-2,-1,1,1,-2,-2,-1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,1,-2 
"tennR","echten",0,1,-2,-2,-2,0,0,0,1,0,-2,1,1,0,-2,1,-2,-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,1,1,1 
"tarrR","ellste",0,0,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,0,0,-2,-2 
"cavpO","eryari",0,1,-2,-2,-2,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,-2,0,-2,0,0,1,1,1,0,1,-2,-2,0,1,1,0,0 
"antiR","erycap",1,0,-2,-2,-2,0,0,-2,0,0,-2,1,-2,0,-2,-2,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",1,0,-2,-2,-2,1,0,-2,0,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2 
"seveO","erymen",1,1,-2,-2,-2,-2,-2,-2,0,0,-2,1,0,1,1,1,1,-2,1,0,1,1,1,1,-2,0,0,0,0,-2,1,1,-2,-2,1,1,1,-2 
"threO","eryter",0,1,-2,-2,-2,0,0,1,1,0,-1,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,1,1,-1 
"slacO","ethbos",1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0 
"edwaR","ethfon",1,1,1,0,0,0,0,0,0,0,-2,1,0,1,1,1,0,-2,0,0,0,0,1,0,-2,1,1,1,1,-2,0,1,1,-2,1,1,0,-2 
"wateR","ethnuc",1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0 
"okalO","ethoka",0,0,-2,-2,-2,0,0,0,0,0,-2,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2 
"bayoR","ethrub",1,1,-2,-2,-2,1,1,-2,1,-2,-2,-2,0,-2,-2,-2,-2,1,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2 
"maryR","ethsel",0,0,-2,-2,-2,-2,0,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2 
"elseO","eupbat",0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0 
"edwaR","eurnan",1,1,1,0,-2,1,1,0,0,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,1,-2,-2,-2 
"pereO","falper",0,0,1,1,1,1,1,1,1,0,-2,1,0,1,0,0,0,0,0,0,0,0,1,0,-2,0,0,0,0,-2,0,1,1,1,1,0,0,-2 
"ampeO","falper",0,1,1,1,1,1,1,1,1,-2,-2,1,0,1,1,1,0,-2,1,0,1,1,1,0,-2,-2,-2,-2,-2,-2,1,1,1,-2,1,0,-2,-2 
"hawwR","fulame",1,1,1,1,1,1,1,0,1,1,-2,1,1,1,1,0,0,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-2,1,1,1,1 
"lanaO","gahlan",0,0,-2,-2,-2,0,0,1,0,0,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2 
"hawwR","galchl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"edwaR","gamgeo",1,1,-2,-2,-2,1,1,0,1,-2,-2,1,-2,1,-2,0,0,-2,0,0,0,0,0,0,-2,0,-2,-2,-2,1,0,0,0,-2,0,0,0,-2 
"hawgO","garbri",0,0,-2,-2,-2,0,0,0,0,0,-2,0,0,1,-2,0,0,-2,0,1,0,0,0,0,-2,1,1,1,-2,-2,-2,-2,-2,-2,1,1,0,-2 
"unarR","gasacu",0,-2,-2,-2,-2,0,-2,0,1,-2,-2,-2,1,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,-2,0,-2,0,-2,-2,-2,0,0,-2,-3,-2,-2,-2 
"maplO","gerarb",0,0,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,0,0,0,0 
"humpR","gilcyp",1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,-2,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0 
"bonyR","gilele",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0 
"chihO","gilnig",0,0,0,0,-2,0,0,0,0,0,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2,-2,0,-2,-2,0,-2,-2,-2 
"fishR","gilpur",1,1,0,1,-2,0,0,0,0,0,-2,0,0,0,0,0,0,-2,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,-2 
"whooR","gruame",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
