"PLAN","SPECIES","347PP","348PP","349PP","350PP","351PP","352PP","353PP","354PP","355PP","356PP","357PP","358PP","359PP","360PP","361PP","362PP","363PP","364PP","365PP","366PP","367PP","368PP","369PP","370PP"
"ashmO","cennam",3,3,3,-2,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2 
"cuiuR","chacuj",-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"pineO","chagar",-2,2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2 
"oahpO","charoc",1,1,1,1,1,1,2,2,2,2,-2,2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,1,-2 
"flogO","chrflo",-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,2,-2,-2 
"nortO","cicdor",-2,1,1,1,1,1,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2 
"maskR","colvir",-2,1,1,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1 
"hawcO","corhaw",1,1,1,1,1,1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"amcrR","croacu",-2,2,2,-2,-2,-2,3,2,2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"newmO","crowil",-2,3,3,3,3,3,3,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"sccyO","cupabr",-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,2,-2,-2 
"moloO","cyaman",-2,3,3,3,3,-2,-2,3,3,-2,-2,3,3,-2,-2,-2,-2,1,-2,3,3,3,1,-2 
"biplO","cyashi",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",2,2,2,2,-2,2,2,2,2,3,-2,-2,-2,3,3,3,2,3,-2,2,2,2,2,-2 
"kauaO","cyrcya",1,1,1,1,-2,2,1,1,1,2,-2,1,2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2 
"biplO","cyrgif",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",-2,2,2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,2,-2 
"kirtR","denkir",-2,1,-2,-2,-2,-2,-2,-1,-2,-2,2,-2,-2,-2,3,-2,1,-2,-2,-2,-2,-2,2,-2 
"flomO","dicchr",-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2 
"tennR","echten",-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2 
"tarrR","ellste",2,2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cavpO","eryari",-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"antiR","erycap",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"seveO","erymen",-2,3,3,3,3,3,1,1,1,-2,-2,-2,-2,-2,-2,1,2,3,-2,3,-2,-2,-2,-2 
"threO","eryter",2,2,2,2,2,2,2,2,2,-1,-1,-1,2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1 
"slacO","ethbos",3,3,3,-2,-2,3,3,3,3,-2,3,3,-2,3,-2,3,-2,-2,-2,3,3,3,3,-2 
"edwaR","ethfon",1,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,-2,1,1,1,1,-2 
"wateR","ethnuc",-2,2,1,-2,-2,1,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"elseO","eupbat",2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","eurnan",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,2,-2,-2 
"pereO","falper",3,3,-2,-2,-2,3,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2 
"ampeO","falper",1,1,1,-2,-2,-2,3,-1,-2,-2,2,-2,2,-1,2,-2,2,-2,-2,2,-2,1,-2,1 
"hawwR","fulame",2,2,2,2,2,2,2,-1,-1,-1,1,-1,-2,2,1,1,2,2,-2,1,1,1,1,-2 
