"PLAN","SPECIES","308GG","309GG","310GG","311GG","312GG","313GG","314GG","315GG","316GG","317GG","318GG","319GG","320GG","321GG","322GG","323GG","324GG","325GG","326GG","327GG","328GG","329GG","330GG","331GG","332GG","333GG","334GG","335GG","336GG","337GG","338GG","339GG","340GG","341GG","342GG","343GG"
"neosO","notpla",-2,3,3,-2,3,-2,-2,-2,-2,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3 
"ringO","oboret",-2,2,-2,-2,2,1,-2,-2,-2,-2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,1,2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"coluR","odvile",1,-1,-1,-1,-2,1,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"antiR","oendel",-2,-1,-1,-2,-2,-2,-2,-2,2,-2,-2,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2 
"arizR","oncapa",-2,2,2,2,3,3,-2,-2,1,-2,-2,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"grcuR","onccla",-2,3,-2,3,3,3,-2,3,3,3,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"gilaR","oncgil",-2,2,-1,2,2,2,-2,-2,1,1,-2,2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","parcha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,1,3,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"furbR","pedfur",-2,3,-2,-2,-2,-2,-2,-2,-2,2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"prcrO","pellem",-2,2,2,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",-2,3,3,3,1,-2,1,-2,1,1,-2,1,1,-2,1,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"lanaO","phygla",-2,2,-2,-2,1,-2,-2,2,1,-2,1,2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"biadO","phyrac",-2,1,-2,-2,1,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,3,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3 
"ropiO","pleple",-2,3,-2,3,3,1,-2,-2,-2,-2,-2,1,2,-2,1,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2 
"shenO","pleshe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,3,-2,-2,-2,-2,1,-2,1,1,1,1,1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cavpO","pognud",-2,2,-2,2,2,-2,-2,-2,2,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1 
"flscR","polbas",-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,1,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2 
"fatpR","potcap",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",-2,1,1,-2,1,3,-2,-2,2,2,-2,2,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2 
"guamO","ptemar",3,3,-2,3,3,1,1,-2,1,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"harpO","ptinod",-2,3,-2,-2,3,1,-2,-2,-2,-2,-2,3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"coloR","ptyluc",-2,2,-2,1,2,1,-2,-2,1,-2,-2,1,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flopR","pumcon",3,1,-2,3,1,-2,-2,-2,-2,-2,-2,1,1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,2 
"alamO","pyrneo",-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,2,-2,2,-2,-2,-2,-2,1,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,3,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"selkR","rantar",3,1,-2,1,-2,1,-2,1,1,-2,1,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kendO","rhiosc",-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"chapO","rhocha",-2,3,-2,3,3,-2,-2,-2,-2,1,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"everR","rossoc",-2,3,-2,-2,3,-2,-2,-2,2,-2,-2,-2,-2,-2,1,2,2,2,2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"grpiR","sarore",-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"pallO","scaalb",1,1,-2,1,1,1,-2,-2,1,-2,-2,1,1,1,-2,1,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maplO","schhal",-2,2,-2,-2,1,-2,1,1,1,-2,1,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","schkaa",-2,-2,-2,-2,1,-2,1,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"oahpO","schkea",-2,2,-2,1,1,-2,1,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","schspe",-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"delmR","scinig",-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2 
"enruO","soldry",-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hougO","solhou",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"caleO","steant",2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,2,-2,-2,1,2,2,2,2,-2,3,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","stecam",-2,2,-2,-2,-2,-2,-2,1,1,1,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mexiO","strocc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,1,1,-2,1,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"loweO","sylpal",-2,3,-2,-2,3,1,2,-2,1,-2,2,1,1,-2,1,1,-2,1,-2,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"lanaO","tetrem",-2,2,-2,2,1,-2,-2,2,1,-2,1,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"karsO","texred",-2,-2,-2,-2,-2,1,1,-2,1,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"coolO","thacoo",-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"pedaO","theste",-2,2,2,2,-2,-2,2,-2,2,-2,-2,1,1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,1 
"soccO","thethe",-2,3,3,-2,1,-2,-2,-2,1,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"prfeO","theyau",-2,2,2,-2,2,-2,-2,-2,-2,-2,2,-2,1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,1 
"bariO","tritri",-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"attwR","tymcup",3,1,-2,-2,1,2,2,2,1,2,-2,1,1,1,-2,1,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1 
"grizR","ursarc",-2,-2,-2,1,-2,1,-2,-2,-2,-2,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,1,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"cachO","xanriv",-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"flscR","zizcel",-2,-2,1,-2,1,3,-2,-2,-2,-2,-2,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,3,-2,-2,-2 
"edwaR","ziztex",-2,1,-2,-2,1,-2,-2,-2,2,2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,2 
