"PLAN","SPECIES","308GG","309GG","310GG","311GG","312GG","313GG","314GG","315GG","316GG","317GG","318GG","319GG","320GG","321GG","322GG","323GG","324GG","325GG","326GG","327GG","328GG","329GG","330GG","331GG","332GG","333GG","334GG","335GG","336GG","337GG","338GG","339GG","340GG","341GG","342GG","343GG"
"palmO","calriv",-2,-2,2,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"grayO","canlup",-2,1,-2,2,-2,-2,-2,1,-2,-2,1,2,3,-2,-2,-2,3,-2,3,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"eastR","canlup",3,3,-2,3,-2,2,-2,2,-2,-2,-2,2,-2,3,2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redwR","canruf",-2,2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ashmO","cennam",-2,3,-2,-2,-2,-2,-2,-2,2,-2,2,2,1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cuiuR","chacuj",-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"pineO","chagar",-2,3,-2,-2,3,3,-2,-2,2,1,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"oahpO","charoc",-2,1,-2,-2,1,-2,-2,-2,1,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flogO","chrflo",-2,2,2,2,2,2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"nortO","cicdor",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
