"PLAN","SPECIES","405KKK","406KKK","407KKK","408KKK","409KKK","410KKK","411KKK","412KKK","413KKK","414KKK","415KKK","416KKK","417KKK","418KKK","419KKK","420KKK"
"flscR","erycun",-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,0,-2 
"seveO","erymen",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"threO","eryter",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-2 
"slacO","ethbos",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","ethfon",5,-2,-2,5,-2,-2,0,-2,-2,-1,-2,-2,0,-2,-2,-2 
"wateR","ethnuc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","eurnan",3,-2,-2,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2 
"pereO","falper",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ampeO","falper",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","fulame",1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-2 
"lanaO","gahlan",3,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","galchl",3,3,-2,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2 
