"PLAN","SPECIES","173P","174P","175P","176P","177P","178P","179P","180P","181P","182P","183P","184P","185P","186P","187P","188P","189P","190P","191P","192P","193P","194P","195P","196P","197P","198P","199P","200P","201P","202P","203P","204P","205P","206P","207P","208P","209P","210P","211P","212P","213P","214P","215P","216P","217P","218P","219P","220P","221P","222P","223P","224P","225P","226P","227P","228P","229P","230P","231P"
"ampeO","falper",-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2 
"hawwR","fulame",2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2 
"lanaO","gahlan",2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","galchl",2,2,-2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2 
"edwaR","gamgeo",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,2,-2,-2,-2,2,2,-2,-2,-2,-2,2,-2,-2,1,1,-2,-2,-2,2,-2,2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,1,-2,-2 
"hawgO","garbri",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,1,-1,1,-2,-2 
"unarR","gasacu",-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,2,-1,-2,-2,-2,-2,-2,2,-1,-1,-2,-2,-2,-2,2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2 
"maplO","gerarb",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-1,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-1,-2,2,-2,-2,-2,-1,-2,-2,-1,-2 
"humpR","gilcyp",-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,2,-1,2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,2,-2,-2,-1,-2,-2,1,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,2,2,-2,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-1,-2,-2,2,1,2,-2,-2,-2,-2,-2 
"chihO","gilnig",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-1,-2,-2 
"fishR","gilpur",-2,-2,-2,-2,-2,1,-2,2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-1,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-1,-2,-1,-2,-2 
"whooR","gruame",2,2,2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,2,2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1 
"missR","grucan",1,1,1,1,2,-2,0,-2,0,-2,1,-2,-2,0,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,1,1,-2,1,-2,-1,-1,-1,0,-2,-1,-2,2,2,-2 
"cacoR","gymcal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,2,-2,-1,-2,-2,-2,2 
"gnomO","gymlin",1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,1 
"todsO","hedtod",-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,2 
"oahpO","hesarb",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,1 
"moloO","hibarn",-1,-2,-2,-2,-2,-1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-1,-2,-2,2,-2 
"kaupO","hibcla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","hibwoo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-1,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,2,-2 
"hawwR","himmex",2,2,-2,2,2,1,-2,2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,-2,-2,0,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,2,-2,0,-2,2,-2,-2,-2,-2,-2,0,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2 
"flscO","hypcum",2,2,-2,-2,1,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2 
"smalR","isomed",2,2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"beacO","jacrec",2,2,-2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,1,2,-2,-2,-2,-2,2,2,-2 
"oahpO","labcyr",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,2,-2,-2,2,-2 
"pinkO","lamabr",-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,2,-2,2,1,-2,-2,-2,-2,2,-2,2,2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2 
"snakO","lanxsp",-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,0,-2,2,2,-2,2,-2,-2,2,2,2,-2,-2,-2,-2,2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"caroO","lasdec",-2,-1,-2,-2,-1,1,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,1,-1,2,-2,-2,-2,-2,-1,-2,2,-1,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2 
"praiO","leslep",1,-2,2,-2,1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",-1,-1,-2,1,1,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,2,-2,-2,-2,-1 
"kaupO","lipfau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","loboah",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,1,1 
"flscR","lupari",2,2,2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,0,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"lotiO","lycarg",-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-2,-1 
"roleO","lysasp",2,2,-2,-2,-1,-2,-2,-2,-2,-2,2,-2,2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,1,-2,-2,-2,-2,-1 
"apalO","macalb",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-1,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,2,-2,-2,-2,-2,-2,-2 
"mohrO","marmoh",-2,-2,-2,-1,2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,1,2,-2,-2,-2,-2,-2,-1 
"kaupO","melpal",2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,1,-2 
"oahpO","melsai",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,2,-2,-2,2,-2 
"armaO","miccal",2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,2,-2,-2,-2,2,-2,-2 
"hualO","micmex",-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,2,-2,-2,-1,-2,-2,-2,-2,-2,-1,2,-2,-1,-1,2,2,-2,-1 
"blacR","musnig",-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2 
"kaufO","myapal",-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,2,-1,-1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-1,-1,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-1 
"woodO","mycame",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"indiR","myosod",-2,-2,-2,-2,-2,2,-2,-1,-2,-2,-2,-2,-2,2,-1,-2,-2,-2,2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,1,-2,1,2,2,-2 
"oahpO","nothum",-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-1,-2 
"capeO","notmek",-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-1,-2 
"neosO","notpla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,1,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2 
"ringO","oboret",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,0,-2,2,-2,-2,-2,-2,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"coluR","odvile",1,2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,2,2,1,-2,1,1,0,0,1,2,-2,1,-2,2,-2,-2 
"antiR","oendel",-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,1 
"arizR","oncapa",-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-1,1,-1,-1,1,-2,-2,-2,-2 
"grcuR","onccla",-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,2,2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"nashR","orcsho",2,2,-2,-2,1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"flscR","parcha",2,2,1,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,2 
"mamoO","parfla",0,0,0,0,0,-2,0,0,0,0,0,0,2,0,0,0,2,0,0,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-2,-2,1,0,2,2,2,-2,0,0,0,0,0,-2,0,1,0,2,-2,0,0,0,0,-2 
"bradO","pedbra",-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,2,-2,2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,1,-2,-1,-2,-1 
"furbR","pedfur",1,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,2,-2,2 
"prcrO","pellem",2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,1,-2,-2 
"anasO","perpol",-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,2,-2,1,-2,-2,2,-2,2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"lanaO","phygla",1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-1,-2,-2,2,-2,-2,-2,-2,-2,2,-2,1,-2,-2,-2,2,-2,1,2,-2 
"biadO","phyrac",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2 
"redcR","picbor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-1,-2,-2,-1,-2 
"ropiO","pleple",-1,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-1,-2,-2,2,-2,2,-2,-2,2,-2,2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",0,0,0,0,0,-2,0,0,0,0,0,0,-2,0,2,0,2,0,0,-2,0,2,0,2,0,0,-2,0,0,0,0,0,0,0,0,-2,0,2,0,0,0,0,-2,0,0,0,0,0,-2,0,0,0,0,-2,0,0,0,0,-2 
"cavpO","pognud",2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,1,1,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,1,2,1,-2,1,-2,2,2,-2 
"flscR","polbas",1,2,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0 
"fatpR","potcap",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,1,-2,-2,-2,1,-2,-1,1,-2,2,-2,-2 
"flscR","prugen",2,2,-2,-2,2,1,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2 
"guamO","ptemar",-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2 
"harpO","ptinod",2,-2,1,-2,-2,-2,2,-2,-2,-2,2,-2,-2,2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,1,2,2,-2,-2,-2,-2,2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,2,-2,-2,-2,-1,-1,-1,-2 
