"PLAN","SPECIES","347WW","348WW","349WW","350WW","351WW","352WW","353WW","354WW","355WW","356WW","357WW","358WW","359WW","360WW","361WW","362WW","363WW","364WW","365WW","366WW","367WW","368WW","369WW","370WW"
"nortO","cicdor",-2,1,1,1,1,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2 
"maskR","colvir",-2,1,1,-2,-2,-2,2,2,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1 
"hawcO","corhaw",1,1,1,1,1,1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-1,-2,-2 
"amcrR","croacu",-3,2,2,-3,-3,-3,0,2,2,-3,2,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"newmO","crowil",-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"sccyO","cupabr",-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-3,-3,-2,-3,-2,-3,-2,-2 
"moloO","cyaman",-2,0,0,0,0,-2,-2,0,0,-2,-2,0,0,-2,-2,-2,-2,0,-2,0,0,0,0,-2 
"biplO","cyashi",0,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",1,1,1,1,-2,1,1,1,1,1,-2,-2,-2,0,0,0,0,0,-2,1,1,1,1,-2 
"kauaO","cyrcya",0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2 
"biplO","cyrgif",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",-2,1,1,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2 
