"PLAN","SPECIES","89D","90D","91D","92D","93D","94D","95D","96D","97D","98D","99D","100D","101D","102D","103D","104D","105D","106D","107D","108D","109D","110D","111D","112D","113D","114D","115D","116D","117D","118D","119D","120D","121D","122D","123D","124D","125D","126D"
"palmO","calriv",1,-2,-2,-2,-2,0,0,-2,5,-2,-2,5,5,-2,-2,-2,-2,-2,-2,1,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,0,-2,-2,-2 
"grayO","canlup",0,0,0,0,0,0,0,2,3,3,-2,3,-2,3,-2,5,-2,-2,-2,-2,4,1,1,1,-2,-2,-2,-2,-2,-2,5,1,4,5,3,-2,-2,-2 
"eastR","canlup",1,1,1,1,-2,3,3,1,1,1,-2,1,1,1,-2,-2,-2,-2,-2,2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,3,3,2,2,-2,-2 
"redwR","canruf",-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,5,-2,5,-2,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,2,-2,-2 
"ashmO","cennam",0,0,-2,-2,-2,-2,-2,1,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-1,-1,-2,-2,-2,-1,-1,-1,-2,0,-2,-2,-2,-2,-2,-1,-1,-2,-2 
"cuiuR","chacuj",1,2,2,2,-2,2,2,1,2,2,-2,2,-2,2,-2,2,-2,-2,2,2,2,2,2,3,-2,2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2 
"pineO","chagar",0,0,-2,-2,-2,0,0,0,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,1,-2 
"oahpO","charoc",0,1,-2,-2,-2,0,-2,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2 
"flogO","chrflo",0,3,-2,-2,-2,2,3,3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"nortO","cicdor",2,2,2,2,-2,2,2,2,2,-2,-2,5,-2,2,-2,-2,1,-2,-2,2,-2,-2,5,-2,-2,1,1,1,-2,-2,1,1,1,-2,1,-2,-2,-2 
"maskR","colvir",2,2,-2,-2,-2,2,-2,2,2,-2,-2,2,2,2,-2,2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,2,-2,-2 
"hawcO","corhaw",0,0,0,0,-2,-2,-2,4,3,-2,-2,3,3,-2,-2,2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2,3,0,-2,-2 
"amcrR","croacu",3,0,-2,3,-2,3,0,2,0,-2,-2,1,-2,1,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,0,-2,-2,0,0,-2,-2 
"newmO","crowil",3,3,-2,-2,-2,0,0,-2,3,3,-2,-2,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,4,4,3,-2,3,-2,-2,-2 
"sccyO","cupabr",0,0,-2,-2,-2,0,2,-2,0,3,-2,1,1,-2,-2,3,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"moloO","cyaman",0,2,-2,-2,-2,2,-2,0,0,-2,-2,3,3,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,2,0,-2,-2,-2,-2,-2,-2,-2,-2,2,2,0,-2 
"biplO","cyashi",2,-2,-2,-2,-2,-2,-2,4,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,0,-2,-2 
"fishR","cypfor",1,4,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2 
"kauaO","cyrcya",2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"biplO","cyrgif",4,-2,-2,-2,-2,-2,-2,4,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2 
"oahpO","cyrvir",5,3,-2,-2,-2,3,3,3,3,-2,-2,2,-2,3,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"kirtR","denkir",2,2,-2,0,5,-2,0,0,0,0,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2 
"flomO","dicchr",0,1,-2,-2,-2,2,2,1,1,3,1,1,-2,0,-2,-2,-2,0,1,0,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,0,-2,0,0,1,1,0 
"tennR","echten",3,0,-2,-2,-2,0,0,1,0,0,-2,3,0,0,-2,3,-2,-2,-2,3,3,-2,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,3,3,3 
"tarrR","ellste",-2,-2,-2,-2,-2,-2,-2,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,2,-2,2,2,-2,-2 
"cavpO","eryari",2,5,-2,-2,-2,2,2,2,2,5,-2,-2,-2,5,-2,-2,-2,-2,-2,5,-2,-2,-2,-2,-2,2,-2,-2,5,-2,5,-2,-2,-2,5,5,-2,-2 
"antiR","erycap",1,3,-2,-2,-2,-1,-1,-2,0,0,-2,3,-2,3,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",1,2,-2,-2,-2,1,1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,3,-2 
"seveO","erymen",-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,0,0,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,1,1,1,-2 
"threO","eryter",1,2,-2,-2,-2,0,0,-1,2,0,-1,2,2,2,-2,2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,0,0,-1 
"slacO","ethbos",1,1,-2,0,-2,0,0,-2,0,-2,-2,3,0,-2,-2,2,-2,-2,0,0,2,2,-2,-2,-2,1,-2,1,0,-2,-2,3,-2,-2,1,1,-2,-2 
"edwaR","ethfon",3,3,3,-2,-2,1,1,1,2,-2,-2,1,1,2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,3,3,3,3,-2,-2,1,0,-2,1,1,2,-2 
"wateR","ethnuc",1,2,2,2,-2,2,2,2,2,0,-2,2,-2,2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,1,1,2,1,2,-2,-2 
"okalO","ethoka",1,1,-2,-2,-2,1,1,1,1,4,-2,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"bayoR","ethrub",1,2,-2,-2,-2,0,0,-2,2,-2,-2,-2,2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2 
"maryR","ethsel",0,0,-2,-2,-2,-2,0,1,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2 
"elseO","eupbat",1,1,2,1,-2,-2,-2,1,2,0,-2,2,2,-2,-2,-2,-2,-2,0,0,1,0,-2,-2,-2,-2,-2,-2,-2,-2,1,0,1,-2,1,1,-2,-2 
"edwaR","eurnan",1,1,1,1,-2,1,1,1,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2 
"pereO","falper",4,1,0,1,1,1,1,1,1,-2,-2,1,1,1,-2,4,-2,1,-2,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,1,1,-2,-2 
"ampeO","falper",0,0,0,0,2,0,0,5,5,-2,-2,5,-2,5,4,2,-2,-2,-2,0,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,5,5,-2,1,0,-2,-2 
"hawwR","fulame",2,2,2,2,2,2,2,2,2,2,-2,2,2,2,2,-1,-1,-2,-1,2,2,-1,-1,-1,-2,-1,-1,-1,-1,-1,3,2,2,-2,2,2,2,-2 
"lanaO","gahlan",1,1,-2,-2,-2,4,2,4,0,4,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"hawwR","galchl",0,-2,5,1,-2,-2,-2,0,-2,-2,-2,0,-2,0,-2,-2,-2,-2,-2,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",1,1,-2,-2,-2,2,2,1,1,-2,-2,2,-2,2,-2,2,-2,-2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,0,-2,-2,-2 
"hawgO","garbri",3,5,-2,-2,-2,-2,5,4,4,0,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,3,0,-2,-2 
"unarR","gasacu",1,-2,-2,-2,-2,1,-2,0,0,-2,-2,-2,1,-2,-2,-2,-2,-2,0,1,1,-2,-2,-2,-2,1,-2,1,-2,-2,-2,1,1,-2,0,-2,-2,-2 
"maplO","gerarb",2,2,-2,-2,-2,2,2,2,2,2,-2,2,2,3,-2,-2,-2,-2,0,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,2,-2,0 
"humpR","gilcyp",2,2,-2,-2,-2,2,2,2,2,2,-2,2,2,0,-2,-2,-2,-2,-2,-2,-2,1,2,-2,-2,0,-2,-2,2,-2,-2,2,2,-2,1,-2,-2,-2 
"bonyR","gilele",2,1,-2,2,-2,1,1,2,2,0,-2,2,-2,3,-2,1,-2,-2,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,1,-2,-2,1 
"chihO","gilnig",3,2,2,2,-2,2,2,2,3,2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2 
"fishR","gilpur",-2,2,-2,-2,-2,2,1,1,2,1,-2,-2,2,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,0,-2,0,-2,-2 
"whooR","gruame",-2,-2,1,1,1,1,1,2,0,1,-2,0,0,0,-2,0,1,-2,4,0,4,4,-2,-2,-2,1,-2,-2,-2,-2,1,1,1,-2,0,-2,-2,-2 
"missR","grucan",3,3,0,0,-2,0,0,-2,0,-2,-2,3,-2,3,-2,3,-2,-2,-2,-2,3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,5,1,-2,0,-2,0,-2 
"cacoR","gymcal",-2,-2,5,5,-2,-2,-2,5,5,-2,2,5,5,5,-2,-2,5,-2,-2,-2,-2,-2,5,5,-2,3,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2 
"gnomO","gymlin",2,3,-2,-2,-2,3,3,3,3,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2 
"todsO","hedtod",4,3,0,0,0,0,0,0,1,1,3,0,1,3,3,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,3,0,0,3,3 
"oahpO","hesarb",2,-2,-2,-2,-2,-2,-2,1,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
