"PLAN","SPECIES","89D","90D","91D","92D","93D","94D","95D","96D","97D","98D","99D","100D","101D","102D","103D","104D","105D","106D","107D","108D","109D","110D","111D","112D","113D","114D","115D","116D","117D","118D","119D","120D","121D","122D","123D","124D","125D","126D"
"neosO","notpla",5,3,-2,-2,-2,5,3,5,5,0,-2,-2,3,0,0,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,5,-2,-2,-2,-2,4,2,-2,4,-2,1,-2 
"ringO","oboret",1,3,-2,-2,-2,3,3,2,3,-2,-2,-2,3,3,-2,-2,-2,-2,-2,1,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,1,-2,-2,-2 
"keydR","odvicl",1,-2,-2,-2,-2,-2,3,1,1,-2,-2,4,-2,4,-2,5,-2,-2,5,-2,5,5,5,-2,5,-2,-2,-2,-2,-2,-2,1,1,-2,0,-2,-2,-2 
"coluR","odvile",2,2,2,-2,-2,3,3,2,3,3,-2,2,2,2,3,3,-2,-2,-2,-2,3,-2,3,-2,-2,1,-2,-2,0,0,-2,2,2,-2,2,2,2,-2 
"antiR","oendel",1,0,-2,-2,-2,0,0,-2,3,1,-2,3,3,3,-2,-2,-2,-2,1,1,1,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,3,-2 
"arizR","oncapa",2,2,2,2,-2,2,2,2,2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,2,2,2,2,2,-2,-2,2,2,-2,2,0,-2,-2 
"grcuR","onccla",3,3,3,3,-2,-2,-2,1,1,-2,-2,3,3,-2,-2,-2,-2,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,3,3,-2,-2 
"gilaR","oncgil",4,1,-2,-2,-2,5,5,4,5,5,3,5,3,5,-2,-2,-2,-2,4,4,3,3,-2,-2,-2,5,-2,3,3,3,-2,4,1,-2,5,5,5,-2 
"nashR","orcsho",2,2,-2,-2,-2,2,-2,2,2,-2,-2,0,-2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2 
"flscR","parcha",1,1,-2,-2,-2,0,1,-2,0,1,-2,-2,-2,-2,-2,-2,-2,-2,3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2 
"mamoO","parfla",0,-2,-2,-2,-2,-2,-2,4,1,-2,-2,1,1,-2,-2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2 
"bradO","pedbra",1,3,-2,-2,-2,3,-2,1,2,2,0,3,0,2,-2,-2,-2,-2,0,0,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1 
"furbR","pedfur",2,2,-2,-2,-2,2,2,0,1,0,-2,2,2,2,3,2,1,-2,-2,1,1,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,2,1 
"prcrO","pellem",1,3,-2,-2,-2,-2,-2,0,0,-2,-2,0,0,0,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,1,-2,-2,-2,3,-2,-2,-2 
"anasO","perpol",3,3,-1,-1,-1,3,1,1,1,1,1,-1,1,1,-2,1,-1,-2,1,3,-1,1,1,1,1,-1,-1,-1,-1,-2,1,1,1,1,3,2,2,-2 
"snaiR","pertan",5,0,-2,-2,-2,0,-2,-2,0,2,-2,5,5,5,-2,2,-2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,-2,-2,-2 
"lanaO","phygla",0,1,-2,-2,-2,2,2,0,0,-2,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2 
"biadO","phyrac",1,-2,-2,-2,-2,1,0,0,0,0,-2,0,0,0,-2,0,0,-2,0,1,-2,-2,-2,-2,-2,1,1,0,-2,-2,0,-2,-2,-2,1,1,1,-2 
"redcR","picbor",5,-2,2,2,-2,2,2,5,2,2,-2,2,2,2,-2,1,-2,-2,-2,0,1,-2,-2,-2,1,0,-2,-2,0,-2,0,1,5,1,4,-2,1,-2 
"ropiO","pleple",2,2,-2,-2,-2,2,-2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,-2,-2,-2 
"shenO","pleshe",4,3,2,3,-2,1,1,4,1,1,-2,-2,3,3,1,-2,-2,-2,0,0,1,4,-2,4,4,0,0,-2,3,-2,0,1,0,-2,1,3,1,-2 
"fishR","poeocc",1,4,-2,-2,-2,4,4,1,-2,-2,-2,-2,-2,4,4,0,-2,-2,0,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"cavpO","pognud",0,0,-2,-2,-2,0,0,0,0,1,-2,-2,0,0,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,1,1,1,-2 
"flscR","polbas",1,1,-2,-2,-2,1,1,1,1,1,-2,1,1,1,-1,-2,-2,-2,2,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,1,-2 
"fatpR","potcap",1,1,-2,-2,-2,-2,-2,1,1,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2 
"littO","potcly",3,3,-2,-2,-2,3,3,3,3,-2,-2,3,3,2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,2,0,2,-2 
"flscR","prugen",2,2,-2,-2,-2,-2,1,-2,2,-2,-2,0,-2,0,-2,-2,1,-2,0,0,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"guamO","ptemar",2,2,1,1,-2,2,1,3,2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,1,1,3,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,2,-2,-2 
"harpO","ptinod",3,3,-2,-2,-2,3,-2,5,5,-2,0,5,5,0,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,3,3,3,-2,-2,0,-2,-2,-2,0,-2,3,-2 
"coloR","ptyluc",2,2,2,2,2,2,2,-1,2,1,-2,-2,1,2,-2,-2,-2,-2,-2,5,-2,2,-2,-2,1,-2,-2,-2,-2,-2,2,2,2,-2,2,2,2,-2 
"flopR","pumcon",3,2,-2,-2,-2,0,0,4,1,-2,-2,1,-2,0,-2,-2,0,-2,-2,2,3,3,-2,-2,-2,2,2,-2,-2,2,-2,1,2,-2,3,-2,-2,-2 
"alamO","pyrneo",0,3,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,2,-2,0,-2,-2,-2 
"tombO","quasta",1,1,-2,-2,-2,1,1,1,1,1,-2,-2,-2,2,2,-2,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2 
"saltO","raloob",2,2,2,2,-2,2,2,1,2,0,-2,2,2,2,2,2,-2,-3,-2,-2,2,-2,-2,-2,1,-2,-2,-2,3,-2,2,2,1,2,1,-2,1,-2 
"yumaO","raloyu",5,-2,-2,-2,-2,5,5,1,1,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,0,-2,-2,2,-2 
"selkR","rantar",1,1,1,1,1,3,-2,1,1,-2,-2,1,3,1,-2,3,-2,-2,3,3,3,3,3,3,-2,3,-2,-2,-2,-2,1,1,1,-2,1,3,1,-2 
"kendO","rhiosc",2,2,-2,-2,-2,0,0,0,0,3,-2,1,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",3,3,-2,-2,-2,3,3,3,3,3,-2,3,3,3,-2,3,-2,-2,3,3,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,3,3,3,3 
"everR","rossoc",0,4,4,4,-2,0,4,1,1,-2,-2,5,-2,5,-2,1,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,0,-2,0,0,0,-2 
"grpiR","sarore",2,2,-2,-2,-2,2,2,0,0,0,-2,0,-2,3,3,-2,-2,-2,-2,2,2,-2,-2,-2,-2,1,-2,-2,-2,-2,3,-2,-2,-2,1,1,-2,-2 
"pallO","scaalb",3,-2,3,2,2,2,2,2,2,0,-2,2,-2,1,-2,1,-2,-2,3,1,1,1,-2,-2,1,-2,-2,-2,0,1,0,2,-2,-2,2,4,4,1 
"maplO","schhal",3,3,-2,-2,-2,-2,-2,-2,3,-2,-2,3,-2,3,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,3,-2,3,-2 
"oahpO","schkaa",5,5,-2,-2,-2,5,-2,2,1,-2,2,2,-2,-2,-2,-2,-2,5,-2,3,-2,-2,-2,-2,-2,1,3,3,-2,-2,-2,3,-2,-2,3,3,-2,2 
"oahpO","schkea",2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,0,0,-2,-2,-2,-2,-2,0,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,0,-2,-2 
"kaupO","schspe",3,3,-2,-2,-2,-2,-2,0,3,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"delmR","scinig",1,3,3,1,-2,2,2,2,1,2,4,2,1,3,2,1,-2,-2,-2,3,1,-2,-2,-2,-2,1,1,1,-2,-2,4,-2,1,-2,2,3,2,-2 
"enruO","soldry",2,2,-2,-2,-2,2,2,2,2,2,2,3,2,2,2,2,-2,-2,-2,2,3,2,2,2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,2,2,-2 
"hougO","solhou",5,3,-2,-2,-2,2,2,1,1,1,-2,-2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,2,-1 
"alabR","spepou",3,-1,-1,-1,-1,-1,-1,3,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,3,-1,3,-1,-1,-1,-1,-1 
"caleO","steant",0,0,0,0,-1,2,1,4,2,-2,-2,1,2,1,-2,3,-2,-2,2,-1,2,2,1,2,-2,-2,-2,-2,-2,-2,-1,1,1,-2,1,-2,0,-2 
"kaupO","stecam",3,3,-2,-2,-2,3,3,0,0,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mexiO","strocc",1,1,1,1,1,1,1,1,1,1,-2,-2,1,1,1,1,-2,-2,1,-2,1,1,1,1,-2,1,1,1,1,-2,1,1,1,-2,3,3,1,-2 
"loweO","sylpal",3,3,3,3,-2,3,3,3,3,3,-2,3,3,3,-2,3,3,-2,3,3,3,3,3,3,-2,-2,-2,-2,3,-2,3,3,3,-2,3,-2,-2,-2 
"lanaO","tetrem",3,0,-2,-2,-2,0,2,0,0,-2,-2,3,3,3,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,0,-2,-2,-2,-2,3,-2,-2,-2 
"karsO","texred",1,1,-2,-2,-2,1,1,-2,1,1,-2,3,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,1,-2,1,1,2,-2 
"coolO","thacoo",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-2,1,1,1,1 
"pedaO","theste",0,5,-2,-2,-2,3,0,-2,0,0,-2,3,3,3,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,3,-2,-2,-2,0,-2,-2,-2 
"soccO","thethe",3,0,-2,-2,-2,-2,-2,3,3,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,3,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2 
"prfeO","theyau",4,4,-2,-2,-2,-2,-2,-2,4,-2,-2,2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",1,3,-2,-2,-2,-2,-2,1,1,-2,1,3,-2,3,-2,-2,-2,3,-2,0,1,2,-2,-2,3,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2 
"bariO","tritri",0,0,-2,-2,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",4,4,4,4,-2,0,0,5,0,2,-2,0,0,0,-2,-2,-2,-2,-2,0,2,-2,2,-2,-2,-2,-2,-2,0,-2,5,5,5,-2,0,0,0,-2 
"grizR","ursarc",1,2,-2,-2,-2,2,1,1,1,0,-2,2,2,4,1,3,1,-2,4,1,1,1,-2,1,1,1,1,1,1,-2,2,1,2,2,-2,0,-2,-2 
"flscR","warcar",1,1,-2,-2,-2,-2,1,2,3,-2,-2,-2,-2,-2,-2,-2,-2,1,0,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2 
"cachO","xanriv",3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,3,5,-2,-2,5,5,5,5,5,5,5,-2,-2,-2,-2,-2,-2,-2,1,-2,3,-2,-2,-2 
"flscR","zizcel",2,2,-2,-2,-2,3,3,2,2,2,-2,2,0,0,0,0,2,-2,2,2,2,0,0,0,-2,0,0,0,0,0,0,-2,-2,-2,0,0,2,-2 
"edwaR","ziztex",5,5,-2,-2,-2,5,-2,1,1,1,-2,-2,-2,3,-2,-2,-2,-2,-2,3,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,1,-2,-2,-2 
