"PLAN","SPECIES","347OO","348OO","349OO","350OO","351OO","352OO","353OO","354OO","355OO","356OO","357OO","358OO","359OO","360OO","361OO","362OO","363OO","364OO","365OO","366OO","367OO","368OO","369OO","370OO"
"tarrR","ellste",1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"cavpO","eryari",0,0,0,2,0,0,0,0,0,0,-2,-2,0,-2,0,0,0,0,0,0,0,1,1,0 
"antiR","erycap",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",3,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0 
"seveO","erymen",0,1,1,1,1,1,1,1,1,0,0,0,0,-2,0,1,1,1,0,1,0,0,0,0 
"threO","eryter",1,1,1,1,1,1,1,1,1,0,0,0,0,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1 
"slacO","ethbos",7,1,1,0,0,1,2,1,1,0,1,2,0,1,0,1,0,0,0,2,2,1,1,0 
"edwaR","ethfon",1,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,-2,1,1,1,1,-2 
"wateR","ethnuc",0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,4,0 
"okalO","ethoka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"bayoR","ethrub",4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0 
"maryR","ethsel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0 
"elseO","eupbat",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"edwaR","eurnan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0 
"pereO","falper",3,1,0,0,0,1,0,1,0,0,3,0,-2,0,0,0,0,0,-2,0,0,1,1,-2 
"ampeO","falper",1,1,1,0,0,0,2,1,0,0,2,0,2,3,2,0,3,0,0,2,0,11,0,5 
"hawwR","fulame",2,2,2,2,2,2,2,-1,-1,-1,1,-1,-2,1,3,7,3,2,-2,10,10,10,10,-2 
"lanaO","gahlan",0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0 
"hawwR","galchl",4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0 
"edwaR","gamgeo",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0 
"hawgO","garbri",0,17,0,1,0,0,3,0,0,29,-2,-2,-2,0,0,0,0,0,-2,0,0,0,0,-2 
"unarR","gasacu",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0 
"maplO","gerarb",0,2,2,2,2,0,2,0,2,0,-2,-2,0,-2,1,1,1,1,0,2,2,2,2,0 
"humpR","gilcyp",0,2,2,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0 
"bonyR","gilele",-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1 
"chihO","gilnig",0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0 
"fishR","gilpur",0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0 
"whooR","gruame",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0 
"missR","grucan",1,1,1,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"cacoR","gymcal",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0 
"gnomO","gymlin",1,1,1,1,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,2,1 
"todsO","hedtod",1,1,1,1,1,1,1,1,1,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0 
"oahpO","hesarb",1,1,0,1,0,1,0,0,1,0,-2,-2,-2,-2,1,0,0,1,0,0,0,0,0,0 
