"PLAN","SPECIES","130G","131G","132G","133G","134G","135G","136G","137G","138G","139G","140G","141G","142G","143G","144G","145G","146G","147G","148G","149G","150G","151G","152G","153G","154G","155G","156G","157G","158G","159G","160G","161G","162G","163G","164G","165G","166G","167UUU"
"flscR","prugen",0,2,0,0,0,1,0,0,0,0,-2,1,0,1,0,0,0,-2,0,0,0,0,0,0,-2,0,1,0,0,-2,-2,-2,-2,-2,0,0,1,-2 
"guamO","ptemar",3,3,0,2,-2,0,-2,-2,4,0,1,1,0,2,0,1,0,0,0,0,2,1,1,2,0,0,0,0,0,0,2,1,1,0,1,2,0,0 
"harpO","ptinod",2,2,0,0,0,1,0,0,0,0,0,2,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 
"coloR","ptyluc",3,3,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0 
"flopR","pumcon",0,4,-2,-2,-2,0,-2,0,4,0,0,4,-2,0,0,0,1,0,0,0,0,0,0,0,0,3,3,-2,-2,0,4,4,4,0,4,0,0,0 
"alamO","pyrneo",3,4,3,3,-2,3,-2,1,-2,-2,-2,3,3,3,-2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,4,1,-2,-2 
"tombO","quasta",1,1,1,1,-2,1,1,0,1,1,0,1,-2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1 
"saltO","raloob",2,1,1,1,-2,1,0,0,0,0,0,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,1,0 
"yumaO","raloyu",0,0,0,1,0,0,0,0,1,0,3,4,0,3,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0 
"selkR","rantar",1,4,3,1,1,2,1,0,3,0,0,1,0,4,0,5,4,0,0,0,0,0,4,2,0,1,1,0,0,0,0,0,0,0,-1,2,1,0 
"kendO","rhiosc",3,2,0,0,-2,2,2,0,0,0,1,1,-2,2,-2,0,0,2,1,0,1,1,0,0,-2,1,0,-2,-2,1,0,0,0,-2,0,0,0,-2 
"chapO","rhocha",0,6,-2,-2,-2,3,0,1,2,0,-2,3,1,3,3,1,3,-2,3,3,3,3,3,3,-2,3,3,3,3,3,3,-2,-2,-2,2,3,2,-2 
"everR","rossoc",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,2,1,2,1,0,0 
"grpiR","sarore",2,2,0,0,0,1,0,0,1,0,0,3,1,2,2,0,0,0,0,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0 
"pallO","scaalb",1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,2,-2,0,1,1,3,1,0,2,1,2,0,1,2 
"maplO","schhal",2,1,-2,-2,-2,0,0,0,0,0,1,3,0,0,0,2,1,1,1,1,1,1,1,1,-2,2,0,0,0,-2,1,-2,-2,-2,6,0,1,-2 
"oahpO","schkaa",0,5,0,0,0,4,1,0,2,1,1,6,0,3,0,3,1,4,1,4,1,2,-1,-1,1,3,2,2,1,0,0,0,0,0,6,0,0,3 
"oahpO","schkea",1,0,-2,-2,-2,0,0,0,1,0,0,1,1,0,-2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,-2,-2,-2,-2,1,2,0,0 
"kaupO","schspe",1,2,-2,-2,-2,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"delmR","scinig",4,3,0,0,0,0,0,0,2,1,2,4,1,3,1,2,0,0,0,1,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,0 
"enruO","soldry",1,1,-2,-2,-2,1,1,1,1,1,-2,1,1,1,1,1,1,-2,3,1,4,1,5,5,-2,0,0,0,0,0,2,-2,-2,-2,0,1,0,-2 
"hougO","solhou",0,4,-2,-2,-2,1,1,0,4,0,0,0,4,1,0,1,1,2,0,0,1,0,0,0,0,1,1,1,0,0,-2,-2,-2,-2,0,0,1,0 
"alabR","spepou",6,5,0,0,0,1,0,0,1,0,0,2,3,1,0,1,0,2,2,0,0,1,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3 
"caleO","steant",0,6,2,2,3,2,0,0,1,0,-2,1,1,1,0,1,0,-2,1,0,1,1,2,2,-2,0,0,0,0,-2,1,2,1,-2,1,0,0,-2 
"kaupO","stecam",1,2,-2,-2,-2,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"mexiO","strocc",0,15,0,0,0,15,8,0,0,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0 
"loweO","sylpal",2,2,0,0,0,0,0,0,0,0,-2,1,0,0,0,1,0,-2,0,0,0,0,0,0,-2,0,0,0,0,-2,0,0,0,-2,1,0,0,-2 
"lanaO","tetrem",1,1,-2,-2,-2,0,0,0,1,0,1,2,2,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,-2,-2,-2,-2,2,1,0,1 
"karsO","texred",0,9,0,0,0,5,3,0,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0 
"coolO","thacoo",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2 
"pedaO","theste",0,3,-2,-2,-2,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0 
"soccO","thethe",1,2,-2,-2,-2,1,1,0,0,0,-2,2,-2,1,-2,1,0,-2,1,0,1,1,1,1,-2,0,0,0,0,-2,0,0,1,-2,1,0,0,-2 
"prfeO","theyau",0,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",2,3,2,1,1,1,1,0,0,0,0,3,0,4,0,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,2,0,1,1,0,0,0,0 
"bariO","tritri",1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,-2,-2,-2,-2,0,0,0,0 
"attwR","tymcup",2,2,2,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,2,1,1,0,1,1,1,0,2,3,0,0 
"grizR","ursarc",3,3,3,3,3,3,3,3,1,1,3,1,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3,1,3 
"flscR","warcar",0,0,-2,-2,-2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0 
"cachO","xanriv",1,1,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"flscR","zizcel",1,0,-2,-2,-2,0,0,0,0,0,-2,0,0,0,0,0,1,-2,0,0,0,0,0,0,-2,0,0,0,0,-2,0,0,0,-2,0,0,0,-2 
"edwaR","ziztex",12,12,0,0,0,4,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0 
