"PLAN","SPECIES","130G","131G","132G","133G","134G","135G","136G","137G","138G","139G","140G","141G","142G","143G","144G","145G","146G","147G","148G","149G","150G","151G","152G","153G","154G","155G","156G","157G","158G","159G","160G","161G","162G","163G","164G","165G","166G","167UUU"
"pineO","chagar",2,2,-2,-2,-2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,-2,0,0,0,0,-2,0,-2,-2,-2,0,0,1,-2 
"oahpO","charoc",2,-2,-2,-2,-2,0,-1,0,1,-1,-1,1,-1,-1,-1,2,1,-1,1,1,-2,-2,1,1,-2,1,1,1,2,-2,1,-2,-2,-2,1,0,0,0 
"flogO","chrflo",0,1,-2,-2,-2,0,0,0,1,0,-2,1,1,0,0,0,0,-2,0,0,0,0,0,0,-2,0,0,0,0,-2,-2,-2,-2,-2,0,1,0,-2 
"nortO","cicdor",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0 
"maskR","colvir",5,3,4,2,-2,3,1,0,1,0,10,1,0,2,0,1,2,1,1,1,1,1,3,1,1,1,3,2,1,1,0,0,1,0,1,1,0,0 
"hawcO","corhaw",1,2,0,0,-2,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0 
"amcrR","croacu",11,11,2,5,-2,9,2,1,2,-2,0,2,0,2,0,3,0,0,3,0,3,2,5,3,0,1,0,0,0,0,0,0,0,0,6,6,0,0 
"newmO","crowil",2,2,0,0,0,0,0,0,1,0,0,2,2,2,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,1,1,2,2,2,0,0,0 
"sccyO","cupabr",-1,0,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,2,0,1,2,2,2,0,0,0,0,0,0,0,0,0 
"moloO","cyaman",1,1,-2,-2,-2,2,0,0,1,0,2,1,1,1,1,3,0,2,1,1,1,0,1,0,1,1,0,0,0,0,-2,-2,-2,-2,2,0,0,1 
"biplO","cyashi",2,0,-2,-2,-2,0,0,0,1,0,-2,2,2,1,0,1,0,-2,1,1,3,1,2,1,-2,0,0,0,0,-2,0,1,-2,-2,2,1,1,-2 
"fishR","cypfor",1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0 
"kauaO","cyrcya",0,0,-2,-2,-2,1,1,0,1,0,0,2,1,1,0,1,4,0,1,1,1,1,1,1,0,1,1,0,1,0,-2,-2,-2,-2,1,0,0,0 
"biplO","cyrgif",2,0,-2,-2,-2,0,0,0,1,0,-2,2,2,1,0,1,0,-2,1,1,3,1,2,1,-2,0,0,0,0,-2,0,1,-2,-2,2,1,1,-2 
