"PLAN","SPECIES","405FFF","406FFF","407FFF","408FFF","409FFF","410FFF","411FFF","412FFF","413FFF","414FFF","415FFF","416FFF","417FFF","418FFF","419FFF","420FFF"
"slacO","ethbos",-2,-2,2,2,-2,2,-2,2,3,1,-2,-2,-2,2,1,-2 
"edwaR","ethfon",2,-2,-2,2,-2,-2,2,-2,-2,3,-2,-2,2,-2,-2,-2 
"wateR","ethnuc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",-2,2,-2,-2,-2,2,-2,2,1,-2,-2,-2,-2,-2,1,-2 
"edwaR","eurnan",2,-2,-2,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2 
"pereO","falper",2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2 
"ampeO","falper",-2,-2,-2,-2,-2,-2,2,2,3,3,-2,2,-2,2,2,2 
"hawwR","fulame",2,2,2,2,2,2,2,2,1,1,-1,1,2,2,1,-2 
"lanaO","gahlan",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","galchl",2,2,-2,2,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",-1,-2,-2,-2,-2,-2,-1,2,-1,-1,-2,-2,-2,-2,-2,2 
"hawgO","garbri",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"unarR","gasacu",-2,2,-2,-2,-2,-2,-2,-2,-1,3,-2,-2,-2,-2,-2,-2 
"maplO","gerarb",2,2,2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"humpR","gilcyp",-2,3,-2,-2,-2,3,-2,-2,1,1,-2,-2,-2,-2,-2,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"chihO","gilnig",-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2 
"fishR","gilpur",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"whooR","gruame",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"missR","grucan",1,-2,-2,-2,-2,-2,-2,1,1,-2,1,-2,-2,1,-2,-2 
"cacoR","gymcal",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"gnomO","gymlin",-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"todsO","hedtod",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",3,2,2,-2,-2,-2,1,-2,1,1,-2,-2,-2,-2,-2,-2 
"moloO","hibarn",-2,2,2,-2,-2,2,-2,-2,-2,-1,-2,-2,-2,-2,-2,1 
"kaupO","hibcla",2,2,2,1,1,1,-2,-2,-2,1,1,-2,-2,1,-2,-2 
"kauaO","hibwoo",2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1 
"hawwR","himmex",1,-2,-2,-2,-2,-2,-2,2,-1,-2,-2,-2,-2,-2,-1,-2 
"flscO","hypcum",-2,-2,-2,-2,2,2,3,2,1,-2,-2,-2,-2,-2,3,-2 
"smalR","isomed",2,2,2,2,2,2,2,2,1,1,2,-2,-2,2,1,-2 
"beacO","jacrec",-2,2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","labcyr",-1,2,2,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1 
"pinkO","lamabr",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2 
"snakO","lanxsp",-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"caroO","lasdec",-2,2,-2,-2,-2,-2,2,2,1,-2,-2,-2,-2,-2,-2,-2 
"praiO","leslep",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",-2,2,-2,-2,2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2 
"kaupO","lipfau",2,2,2,1,1,1,-2,-2,-2,1,1,-2,-2,1,-2,-2 
"oahpO","loboah",2,2,2,-1,-1,-1,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,1 
"lotiO","lycarg",-2,2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"roleO","lysasp",-2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2 
"apalO","macalb",-2,2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"mohrO","marmoh",2,2,2,-2,-2,-2,1,3,1,-2,-2,-2,-2,-2,1,2 
"kaupO","melpal",2,2,2,2,2,2,2,-2,-2,-1,2,-2,-2,2,-2,-2 
"oahpO","melsai",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"armaO","miccal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hualO","micmex",-2,3,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2 
"blacR","musnig",2,2,2,-2,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2 
"kaufO","myapal",2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"indiR","myosod",-2,1,1,-2,1,1,-2,1,1,1,-2,-2,-2,-2,1,-2 
"oahpO","nothum",2,2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,2,-1,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2 
"neosO","notpla",-2,2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-1,-2 
"ringO","oboret",3,2,3,1,1,1,1,-2,1,1,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",2,-2,-2,2,-2,-2,2,2,2,2,2,-2,-2,-2,2,-2 
"coluR","odvile",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"antiR","oendel",2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"grcuR","onccla",2,2,2,2,2,2,-2,2,1,1,1,-2,-2,1,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",2,-2,-2,2,-2,-2,2,-1,2,1,-2,-2,-2,-2,1,2 
"flscR","parcha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"mamoO","parfla",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"bradO","pedbra",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"furbR","pedfur",2,2,2,2,2,2,2,2,1,1,-2,-2,1,-2,3,-2 
"prcrO","pellem",3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",3,3,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-2,2,2,2,-2,2,3,-2,-2,-2,-2,-2,-2,2,-2,1 
"lanaO","phygla",-2,2,2,-2,-2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,1 
"biadO","phyrac",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,2,2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,2,-2,-2,-2,3,-2,-2,1,2,1,-2,2,-2,-2,-2 
"cavpO","pognud",-2,-2,-2,2,-2,2,-2,-2,1,1,-2,-2,-2,-2,3,-2 
"flscR","polbas",-2,1,-2,-2,-2,-2,1,3,-2,-2,-2,-2,-2,-2,1,-2 
"fatpR","potcap",2,2,2,2,2,-2,1,1,-2,-2,2,-2,-2,2,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",2,-2,-2,2,-2,-2,-2,-1,-1,-1,-2,-1,-2,-2,-1,-2 
"guamO","ptemar",2,2,2,2,-2,-1,1,1,1,1,-1,-2,-2,1,1,-2 
"harpO","ptinod",-2,2,-2,-2,2,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2 
"coloR","ptyluc",-2,2,-2,-2,-2,3,-2,-2,-2,-1,-2,-2,-2,-2,3,-2 
"flopR","pumcon",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2 
"alamO","pyrneo",-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",2,-2,-2,2,-2,-2,1,1,-2,-2,-2,1,-2,-2,1,-2 
"selkR","rantar",-2,-2,-2,2,-2,3,3,2,1,-2,-2,-2,-2,-2,3,-2 
"kendO","rhiosc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
