"PLAN","SPECIES","173R","174R","175R","176R","177R","178R","179R","180R","181R","182R","183R","184R","185R","186R","187R","188R","189R","190R","191R","192R","193R","194R","195R","196R","197R","198R","199R","200R","201R","202R","203R","204R","205R","206R","207R","208R","209R","210R","211R","212R","213R","214R","215R","216R","217R","218R","219R","220R","221R","222R","223R","224R","225R","226R","227R","228R","229R","230R","231R"
"edwaR","ethfon",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,0,-2 
"wateR","ethnuc",3,3,-2,-2,2,-2,0,0,0,3,0,0,0,-2,-2,-2,-2,-2,-2,-2,3,3,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,1,-2 
"okalO","ethoka",-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-1,-2,-2 
"bayoR","ethrub",2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",3,3,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"edwaR","eurnan",-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,1,3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,2,-2,-2,-2,3,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"pereO","falper",-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ampeO","falper",-2,-2,3,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"hawwR","fulame",2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2 
"lanaO","gahlan",-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","galchl",2,2,-2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2,3,2,-2,-2,-2,2,2,-2,-2,-2,-2,2,-2,-2,2,2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,3,-2,-2 
"hawgO","garbri",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,-2,1,3,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-1,2,-2,-2 
"unarR","gasacu",-2,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,2,1,-2,-2,-2,-2,-2,3,2,2,-2,-2,-2,-2,1,-2,-2,3,3,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2 
