PLAN CODE,SPECIES CODE,PLAN NAME,SPECIES COMMON NAME,SPECIES SCIENTIFIC NAME,SCHOOL,REVISED?
thre,eryter,Three Plants and Two Insect (5 spp.),"Wallflower, Ben Lomond",Erysimum teretifolium,Wisconsin,No
slac,ethbos,Slackwater Darter,"Darter, slackwater",Etheostoma boschungi,Washington,No
edwa,ethfon,5 Edwards Aquifer Species (5 spp.),"Darter, fountain",Etheostoma fonticola,Davis,Yes
wate,ethnuc,Watercress Darter,"Darter, watercress",Etheostoma nuchale,Wisconsin,Yes
okal,ethoka,Okaloosa Darter,"Darter, Okaloosa",Etheostoma okaloosae,UCSB,No
bayo,ethrub,Bayou Darter,"Darter, bayou",Etheostoma rubrum,Davis,Yes
mary,ethsel,Maryland Darter,"Darter, Maryland",Etheostoma sellare,Washington,Yes
else,eupbat,El Segundo Blue Butterfly,"Butterfly, El Segundo blue",Euphilotes (=Shijimiaeoides) battoides allyni,Idaho,No
edwa,eurnan,5 Edwards Aquifer Species (5 spp.),"Salamander, San Marcos",Eurycea nana,Washington,Yes
ampe,falper,American Peregrine Falcon (Pacific),"Falcon, American peregrine",Falco peregrinus anatum,Iowa St.,No
pere,falper,Peregrine Falcon (Eastern pop.),"Falcon, American peregrine",Falco peregrinus anatum,Maine,Yes
haww,fulame,Hawaiian Waterbirds (4 spp.),"Coot, Hawaiian (=`alae-ke`oke`o)",Fulica americana alai (=F. americana alai),Tennessee,Yes
lana,gahlan,Lanai Plant Cluster (9 spp.),Gahnia lanaiensis (NCN),Gahnia lanaiensis,Maine,No
haww,galchl,Hawaiian Waterbirds (4 spp.),"Moorhen, Hawaiian common",Gallinula chloropus sandvicensis,Utah St.,Yes
bigb,gamgai,Big Bend Gambusia,"Gambusia, Big Bend",Gambusia gaigei,Berkeley,No
edwa,gamgeo,5 Edwards Aquifer Species (5 spp.),"Gambusia, San Marcos",Gambusia georgei,Davis,Yes
hawg,garbri,Hawaiian Gardenia,"Gardenia, Hawaiian (=na`u)",Gardenia brighamii,ASU,No
unar,gasacu,Unarmored Threespine Stickleback,"Stickleback, unarmored threespine",Gasterosteus aculeatus williamsoni,Duke,Yes
mapl,gerarb,Maui Plant Cluster (21 spp.),"Geranium, Hawaiian red-flowered",Geranium arboreum,Davis,No
