"PLAN","SPECIES","173Q","174Q","175Q","176Q","177Q","178Q","179Q","180Q","181Q","182Q","183Q","184Q","185Q","186Q","187Q","188Q","189Q","190Q","191Q","192Q","193Q","194Q","195Q","196Q","197Q","198Q","199Q","200Q","201Q","202Q","203Q","204Q","205Q","206Q","207Q","208Q","209Q","210Q","211Q","212Q","213Q","214Q","215Q","216Q","217Q","218Q","219Q","220Q","221Q","222Q","223Q","224Q","225Q","226Q","227Q","228Q","229Q","230Q","231Q"
"unarR","gasacu",-2,4,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,4,4,-2,-2,-2,-2,-2,4,3,3,-2,-2,-2,-2,3,-2,-2,4,4,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2 
"maplO","gerarb",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,1,-2,2,-2,-2,-2,3,-2,-2,3,-2 
"humpR","gilcyp",-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,4,-1,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,4,-2,-2,-1,-2,-2,3,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,4,4,-2,-1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,4,-2,-2,4,1,4,-2,-2,-2,-2,-2 
"chihO","gilnig",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,4,4,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,-2 
"fishR","gilpur",-2,-2,-2,-2,-2,3,-2,4,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,4,1,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,4,-1,-2,1,-2,-2 
"whooR","gruame",2,4,4,4,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,4,1,-2,-2,-2,-2,-2,-2,3,-2,4,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,4 
"missR","grucan",1,1,1,1,4,-2,4,-2,4,-2,4,-2,-2,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,4,-2,4,-2,4,4,4,4,-2,4,-2,4,4,-2 
"cacoR","gymcal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,4,-2,2,-2,-2,-2,4 
"gnomO","gymlin",2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,4,4 
"todsO","hedtod",-2,-2,-2,4,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,4,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,4 
"oahpO","hesarb",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,3,2 
"moloO","hibarn",3,-2,-2,-2,-2,3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,-2,-2,3,-2 
"kaupO","hibcla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","hibwoo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,1,-2,4,-2,3,-2,-2,3,-2 
"hawwR","himmex",4,4,-2,4,4,4,-2,4,-2,-2,-2,4,-2,-2,-2,-2,-2,1,-2,-2,-2,4,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,3,-2,4,-2,-2,-2,-2,-2,3,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2 
"flscO","hypcum",4,4,-2,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,4,4,-2,4,-2,-2,-2,-2,-2,-2 
"smalR","isomed",4,4,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"beacO","jacrec",4,4,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,4,4,4,-2,-2,-2,-2,4,4,-2 
"oahpO","labcyr",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,4,-2,-2,3,-2 
"pinkO","lamabr",-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,4,4,4,-2,-2,4,-2,4,4,-2,-2,-2,-2,4,-2,4,4,-2,-2,-2,4,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2 
"snakO","lanxsp",-2,-2,-2,4,-2,-2,-2,4,-2,-2,-2,4,4,-2,-2,-2,-2,-2,3,-2,4,4,-2,4,-2,-2,4,4,4,-2,-2,-2,-2,4,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2 
"caroO","lasdec",-2,4,-2,-2,-1,4,-2,-2,-2,-2,-2,-2,4,-2,4,-2,-2,-2,3,-1,4,-2,-2,-2,-2,4,-2,4,4,-2,-2,-2,-2,4,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2 
"praiO","leslep",4,-2,4,-2,4,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,4,4,-2,4,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",-1,-1,-2,2,2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,-2,-2,-2,4 
"kaupO","lipfau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","loboah",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,3,2 
"flscR","lupari",4,4,4,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"lotiO","lycarg",-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,-2,-2,-2,-2,1,4,-2,4 
"roleO","lysasp",4,4,-2,-2,-1,-2,-2,-2,-2,-2,4,-2,4,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,4,-2,-2,-2,-2,-1 
"apalO","macalb",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,4,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,-2,-2 
"mohrO","marmoh",-2,-2,-2,4,4,-2,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,4,4,-2,-2,-2,-2,-2,3 
"kaupO","melpal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,-2,4,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,4,-2 
"oahpO","melsai",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,4,-2 
"armaO","miccal",4,4,4,3,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,4,4,-2,-2,-2,4,-2,-2 
"hualO","micmex",-2,-2,-2,-2,1,4,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,4,-2,-2,4,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,4,-2,-2,-1,-2,-2,-2,-2,-2,-1,4,-2,-1,-1,4,4,-2,-1 
"blacR","musnig",-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,4,-2 
"kaufO","myapal",-2,4,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,1,4,-1,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,4,-2,4,4,4,-2,4,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,2 
"woodO","mycame",-2,2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"indiR","myosod",-2,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,-2,4,4,-2,-2,-2,4,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,-2,4,4,4,-2 
"oahpO","nothum",-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,3,-2 
"capeO","notmek",-2,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,3,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,3,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,3,-2 
"neosO","notpla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,4,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,-2 
"ringO","oboret",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,4,-1,-2,4,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",3,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,3,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"coluR","odvile",2,4,4,-2,4,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,4,4,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,-2,-2,-2,-2,-2,4,4,4,-2,4,3,1,1,4,4,-2,3,-2,4,-2,-2 
"antiR","oendel",-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,2 
"arizR","oncapa",-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,4,4,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,2,-2,-2,4,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,4,3,4,4,4,-2,-2,-2,-2 
"grcuR","onccla",-2,-2,-2,-2,-2,-2,-2,3,-2,-2,3,-2,-2,3,3,-2,3,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2 
"nashR","orcsho",2,2,-2,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2 
"flscR","parcha",4,4,4,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,4 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,4,4,4,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,4,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,4,-2,4 
"furbR","pedfur",4,4,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,4,-2,4 
"prcrO","pellem",4,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,4,-2,-2 
"anasO","perpol",2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-2,-2,-2,-2,-2,3,-2,4,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,4,-2,4,-2,-2,4,-2,3,4,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2 
"lanaO","phygla",3,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,3,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,3,-2,4,4,-2,-2,-2,-2,-2,4,-2,4,-2,-2,-2,4,-2,3,3,1 
"biadO","phyrac",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2 
"redcR","picbor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,4,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,4,-2,-2,-2,4,3,-2,-2,3,-2 
"ropiO","pleple",-1,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,4,4,4,4,-2,-1,-2,-2,4,-2,4,-2,-2,4,-2,4,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,4,4,-2,-2,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2 
"cavpO","pognud",4,4,-2,4,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,3,4,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,4,-2,-2,4,4,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,-2,-2,4,4,4,-2,4,-2,4,4,-2 
"flscR","polbas",4,4,-2,-2,4,1,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,2,-2,-2,-2,-2,-2,-2 
"fatpR","potcap",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,-2,-2,3,-2,-2,-2,4,-2,3,3,-2,4,-2,-2 
"flscR","prugen",2,2,-2,-2,2,1,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,2,-2,-2,-2,-2,-2,-2 
"guamO","ptemar",-2,4,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,1,-2,-2 
"harpO","ptinod",-2,-2,3,-2,-2,-2,4,-2,-2,-2,4,-2,-2,4,4,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,3,4,4,-2,-2,-2,-2,4,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,4,-2,-2,-2,4,4,4,-2 
"coloR","ptyluc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,4,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2 
"flopR","pumcon",4,4,4,4,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-1,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,4 
"alamO","pyrneo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,4,-2,3,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,4,3 
"tombO","quasta",-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,4,-2,-2,4,4,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,3,4 
"saltO","raloob",4,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,4,-2,1,4,4,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4,-2,-2,-2,4,-2,4 
"yumaO","raloyu",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,4,-2,4,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,4,-2,4,-2,-2,3,-2,4,-2,-2,-2,-2,4,-2,-2 
