"oahpO","hesarb",0,2,0,0,0,1,0,3,0,0,0 
"moloO","hibarn",0,0,0,0,0,1,0,3,0,0,2 
"kaupO","hibcla",3,0,0,0,0,1,0,2,0,0,0 
"kauaO","hibwoo",0,2,0,0,0,1,0,0,0,0,1 
"hawwR","himmex",1,0,0,0,0,3,0,0,2,0,0 
"flscO","hypcum",1,0,0,0,0,0,0,2,1,0,0 
"smalR","isomed",1,0,0,0,2,0,0,0,0,0,3 
"beacO","jacrec",1,1,0,0,0,1,0,0,0,0,0 
"oahpO","labcyr",0,2,0,0,0,1,0,3,0,0,0 
"pinkO","lamabr",1,2,3,0,0,0,2,0,0,0,0 
"snakO","lanxsp",0,1,0,0,0,0,2,0,0,3,0 
"caroO","lasdec",1,1,0,0,0,0,3,0,2,0,0 
"praiO","leslep",1,0,0,0,0,0,0,3,1,0,0 
"flscR","liaohl",1,3,0,0,0,0,0,2,0,0,0 
"kaupO","lipfau",3,0,0,0,0,1,0,2,0,0,0 
"oahpO","loboah",0,2,0,0,3,1,0,0,0,0,0 
"flscR","lupari",1,2,0,0,0,0,0,3,0,0,0 
"lotiO","lycarg",2,0,0,1,2,0,0,0,0,0,0 
"roleO","lysasp",1,0,0,0,3,0,0,1,0,0,0 
"apalO","macalb",0,1,0,0,0,0,0,1,1,0,0 
"mohrO","marmoh",1,0,0,0,3,0,0,0,2,0,0 
"kaupO","melpal",0,2,0,0,0,1,0,3,0,0,0 
"oahpO","melsai",2,2,0,0,0,1,0,0,0,0,0 
"armaO","miccal",1,1,0,0,0,2,0,0,3,0,0 
"hualO","micmex",1,1,0,0,0,0,0,0,0,2,0 
"blacR","musnig",1,0,0,0,0,2,0,0,0,0,0 
"kaufO","myapal",1,2,0,0,0,3,0,0,0,0,0 
"woodO","mycame",0,2,0,0,0,3,0,1,0,0,0 
"indiR","myosod",0,2,0,0,1,0,3,0,0,0,0 
"oahpO","nothum",0,0,0,0,0,1,0,1,0,1,0 
"capeO","notmek",1,1,0,0,0,0,0,3,0,0,0 
"neosO","notpla",1,2,0,0,0,0,3,0,0,0,0 
"ringO","oboret",0,1,0,0,0,0,3,0,0,3,0 
"keydR","odvicl",1,0,0,0,2,3,0,0,0,0,0 
"coluR","odvile",3,0,0,0,0,0,0,0,1,2,0 
"antiR","oendel",1,0,0,0,0,2,0,0,0,3,0 
"arizR","oncapa",2,0,0,0,0,1,0,0,0,3,0 
"grcuR","onccla",0,2,0,0,0,1,3,0,0,0,0 
"gilaR","oncgil",0,2,0,0,0,1,0,0,0,2,0 
"nashR","orcsho",0,1,0,0,0,0,2,0,2,0,0 
"flscR","parcha",1,2,0,0,0,0,0,3,0,0,0 
"mamoO","parfla",0,1,0,0,0,2,0,0,0,0,3 
"bradO","pedbra",2,0,0,0,1,0,0,0,0,3,0 
"furbR","pedfur",1,2,0,0,0,0,0,1,0,0,0 
"prcrO","pellem",1,0,0,0,0,0,0,0,3,2,0 
"anasO","perpol",1,2,0,0,0,3,0,0,0,0,0 
"snaiR","pertan",3,1,0,0,0,0,2,0,0,0,0 
"lanaO","phygla",1,3,0,0,0,2,0,0,0,0,0 
"biadO","phyrac",0,1,0,0,0,1,0,0,0,1,0 
"redcR","picbor",2,1,3,0,0,0,0,0,0,0,0 
"ropiO","pleple",0,1,0,0,0,0,0,3,0,2,0 
"shenO","pleshe",0,0,0,0,0,3,2,0,0,0,1 
"fishR","poeocc",1,0,0,0,0,3,0,0,0,2,0 
"cavpO","pognud",1,2,0,0,0,0,0,0,0,0,2 
"flscR","polbas",1,0,0,0,0,0,0,3,2,0,0 
"fatpR","potcap",2,1,0,0,0,0,0,3,0,0,0 
"littO","potcly",0,0,0,3,0,0,0,2,0,0,1 
"flscR","prugen",1,0,0,0,0,0,0,3,2,0,0 
"guamO","ptemar",0,3,0,0,1,2,0,0,0,0,0 
"harpO","ptinod",2,1,0,0,0,0,3,0,0,0,0 
"coloR","ptyluc",1,0,0,0,0,3,0,2,0,0,0 
"flopR","pumcon",1,0,0,0,2,0,0,0,0,0,3 
"alamO","pyrneo",0,2,0,0,0,0,3,0,0,1,0 
"tombO","quasta",1,2,3,0,0,0,0,0,0,0,0 
"saltO","raloob",1,2,0,0,0,0,0,3,0,0,0 
"yumaO","raloyu",2,3,0,0,0,0,0,1,0,0,0 
"selkR","rantar",0,2,0,1,3,0,0,0,0,0,0 
"kendO","rhiosc",0,1,0,0,3,0,2,0,0,0,0 
"chapO","rhocha",0,0,0,0,0,0,0,2,1,2,0 
"everR","rossoc",0,1,0,0,3,2,0,0,0,0,0 
