"PLAN","SPECIES","89E","90E","91E","92E","93E","94E","95E","96E","97E","98E","99E","100E","101E","102E","103E","104E","105E","106E","107E","108E","109E","110E","111E","112E","113E","114E","115E","116E","117E","118E","119E","120E","121E","122E","123E","124E","125E","126E"
"kaupO","briins",3,3,-2,-2,-2,-2,-2,2,3,3,3,3,-2,3,-2,-2,3,3,3,3,3,-2,3,-2,-2,3,3,-2,-2,-2,-2,3,-2,-2,3,-2,3,3 
"palmO","calriv",0,-2,-2,-2,-2,3,-2,-2,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2 
"grayO","canlup",3,3,3,3,3,3,3,4,0,0,-2,0,-2,0,-2,-2,-2,-2,-2,-2,2,4,2,4,-2,-2,-2,-2,-2,-2,2,4,1,-2,2,-2,-2,-2 
"eastR","canlup",3,3,3,3,-2,-2,-2,-2,3,3,-2,3,3,3,-2,-2,-2,-2,-2,4,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,4,2,2,3,3,-2,-2 
"redwR","canruf",-2,-2,-2,-2,-2,-2,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ashmO","cennam",1,-1,-2,-2,-2,-2,-2,4,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-1,-2,-2,-2,-1,-1,-1,-2,-1,-2,-2,-2,-2,-2,-1,-1,-2,-2 
"cuiuR","chacuj",2,1,3,3,-2,3,3,2,3,3,-2,3,-2,3,-2,3,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2 
"pineO","chagar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"oahpO","charoc",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flogO","chrflo",1,1,-2,-2,-2,0,1,0,1,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"nortO","cicdor",1,1,1,1,-2,1,1,1,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maskR","colvir",5,1,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
