"PLAN","SPECIES","89E","90E","91E","92E","93E","94E","95E","96E","97E","98E","99E","100E","101E","102E","103E","104E","105E","106E","107E","108E","109E","110E","111E","112E","113E","114E","115E","116E","117E","118E","119E","120E","121E","122E","123E","124E","125E","126E"
"capeO","notmek",5,0,-2,-2,-2,2,-2,1,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2 
"neosO","notpla",-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2,0,-2,-2,-2 
"ringO","oboret",3,2,-2,-2,-2,2,2,1,2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",-2,-2,-2,-2,-2,-2,1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,1,-2,0,-2,-2,-2 
"coluR","odvile",4,4,3,-2,-2,-2,2,4,2,-2,-2,3,3,3,2,2,-2,-2,-2,-2,2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,3,3,-2,3,3,3,-2 
"antiR","oendel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2 
"arizR","oncapa",-1,-1,0,2,-2,-1,-1,2,2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,2,1,-1,-2,-2,1,-1,2,2,1,-2,-2,2,-1,-2,0,0,-2,-2 
"grcuR","onccla",5,5,5,5,-2,-2,-2,3,3,-2,-2,5,5,-2,-2,-2,-2,-2,-2,5,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,3,3,-2,-2 
"gilaR","oncgil",1,5,-2,-2,-2,-2,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,5,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","parcha",3,2,-2,-2,-2,1,3,-2,1,0,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2 
"mamoO","parfla",0,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",2,2,-2,-2,-2,2,-2,0,3,0,0,2,3,0,-2,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2 
"furbR","pedfur",1,1,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,-2,2,1,2,-2,-2,2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,1,2 
"prcrO","pellem",2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,2,2,2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"anasO","perpol",0,0,-1,-1,-1,0,3,3,3,3,3,-1,3,3,-2,3,-1,-2,-1,-2,-1,-2,-2,-2,0,-1,-1,-1,-1,-2,-2,2,-2,-2,0,0,0,-2 
"snaiR","pertan",3,3,-2,-2,-2,1,-2,-2,1,1,-2,3,1,1,-2,1,-2,-2,3,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,3,1,-2,-2,1,-2,-2,-2 
"lanaO","phygla",-2,4,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"biadO","phyrac",-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,-2,3,3,-2,4,-2,-2,3,0,-2,3,3,1,-2,2,-2,-2,-2,-2,3,-2,-2,-2,2,-2,-2,-2,-2,-2,3,3,-2,2,-2,-2,2,-2 
"ropiO","pleple",1,1,-2,-2,-2,1,-2,1,1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2 
"shenO","pleshe",3,2,3,2,-2,3,-2,-2,3,4,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,0,0,-2,-2,-2,-2,4,-2,-2,3,0,3,-2 
"fishR","poeocc",3,2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"cavpO","pognud",-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","polbas",2,2,-2,-2,-2,2,2,2,2,2,-2,2,2,2,-1,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fatpR","potcap",3,3,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"littO","potcly",2,2,-2,-2,-2,3,0,0,0,-2,-2,0,0,3,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,0,2,0,-2 
"flscR","prugen",3,3,-2,-2,-2,-2,2,-2,3,-2,-2,0,-2,0,-2,-2,3,-2,0,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,-2 
"guamO","ptemar",-2,-2,2,2,-2,3,-2,2,1,-2,-2,2,-2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2 
"harpO","ptinod",5,-2,-2,-2,-2,1,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2 
"coloR","ptyluc",1,1,2,2,2,1,1,1,1,-2,-2,-2,2,2,-2,-2,-2,-2,-2,2,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,2,5,2,-2,4,4,4,-2 
"flopR","pumcon",4,-2,-2,-2,-2,-2,-2,4,3,-2,-2,2,-2,0,-2,-2,-1,-2,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,3,-2,2,4,-2,2,-2,-2,-2 
"alamO","pyrneo",2,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2 
"tombO","quasta",3,0,0,0,-2,0,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",5,2,2,2,-2,0,0,2,-2,-2,-2,-2,-2,-2,-2,1,-2,-3,-2,-2,1,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,1,2,0,2,-2,2,-2 
"yumaO","raloyu",-2,-2,-2,-2,-2,0,0,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,1,-2 
"selkR","rantar",3,3,3,3,3,-2,-2,3,3,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,-2,3,-2,-2,-2 
"kendO","rhiosc",0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",1,1,-2,-2,-2,1,1,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",5,5,5,5,-2,5,5,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,0,1,-2,-2,1,-2,-2 
"grpiR","sarore",3,3,-2,-2,-2,3,3,0,0,0,-2,0,-2,2,2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,3,-2,-2,-2,-2,2,-2,-2,-2,3,3,-2,-2 
"pallO","scaalb",2,-2,2,0,0,5,1,5,3,1,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,2,-2,-2,-2,-2,3,-2,1,-2,-2,0,-2,2,4 
"maplO","schhal",0,0,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,1,0,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,0,-2,-2,-2,0,-2,0,-2 
"oahpO","schkaa",-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,3,3,3,-2,-2,-2,3,-2,-2,2,2,-2,-2 
"oahpO","schkea",4,-2,-2,-2,-2,-2,-2,0,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","schspe",2,2,-2,-2,-2,-2,-2,3,3,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"delmR","scinig",4,0,2,2,-2,3,1,1,2,3,3,0,2,0,3,2,-2,-2,-2,1,2,-2,-2,-2,-2,2,2,2,-2,-2,2,-2,2,-2,4,1,3,-2 
"enruO","soldry",2,2,-2,-2,-2,2,2,2,2,2,2,3,3,3,3,3,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,2,2,-2 
"hougO","solhou",-2,2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"alabR","spepou",-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"caleO","steant",0,0,0,0,-1,0,0,1,4,-2,-2,2,2,1,-2,2,-2,-2,-1,-1,1,-1,2,-1,-2,-2,-2,-2,-2,-2,-1,1,-1,-2,1,-2,0,-2 
"kaupO","stecam",2,2,-2,-2,-2,3,3,3,3,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mexiO","strocc",2,2,2,2,2,2,2,3,3,-2,-2,-2,2,1,1,1,-2,-2,0,-2,1,-2,1,1,-2,-2,-2,-2,-2,-2,1,1,1,-2,2,2,-2,-2 
"loweO","sylpal",1,1,1,1,-2,1,1,1,1,1,-2,1,1,1,-2,1,1,-2,1,1,1,1,1,1,-2,-2,-2,-2,1,-2,1,1,1,-2,1,-2,-2,-2 
"lanaO","tetrem",0,3,-2,-2,-2,1,0,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2 
"karsO","texred",5,5,-2,-2,-2,5,5,-2,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2 
"coolO","thacoo",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-2,-2,5,5,5,5 
"pedaO","theste",-2,-2,-2,-2,-2,0,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2 
"soccO","thethe",0,3,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"prfeO","theyau",2,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",5,2,-2,-2,-2,-2,-2,2,2,-2,2,1,-2,1,-2,-2,-2,1,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,4,5,5,-2,-2,-2,-2 
"bariO","tritri",1,1,-2,-2,-2,1,1,1,1,-2,-2,3,3,0,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",2,2,2,2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,1,-2 
"grizR","ursarc",2,0,-2,-2,-2,4,2,0,4,-2,-2,0,0,0,2,2,2,-2,2,2,2,2,-2,3,2,4,2,2,2,-2,0,2,1,1,-2,-2,-2,-2 
"flscR","warcar",2,2,-2,-2,-2,-2,0,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"cachO","xanriv",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2 
"flscR","zizcel",3,3,-2,-2,-2,2,2,3,3,3,-2,3,0,0,0,0,3,-2,3,3,3,0,0,0,-2,0,0,0,0,0,0,-2,-2,-2,0,0,0,-2 
"edwaR","ziztex",5,5,-2,-2,-2,5,-2,1,1,1,-2,-2,-2,3,-2,-2,-2,-2,-2,3,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,1,-2,-2,-2 
